web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669950779-3571","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Q7VKnRYAAAAJ&hl=en&oi=ao","Yuhong Guo","ai"
"1669950779-3572","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=IfvyBBUAAAAJ&hl=en&oi=ao","Oliver van Kaick","graphics"
"1669950779-3573","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=wg8yZz8AAAAJ&hl=en&oi=ao","Sonia Chiasson","hci,security"
"1669950779-3574","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=wP7xkUEAAAAJ&hl=en&oi=ao","Audrey Girouard","hci"
"1669950779-3575","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=MQI9NXEAAAAJ&hl=en&oi=ao","Pat Morin","theory"
"1669950779-3576","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=CMRzTi8AAAAJ&hl=en&oi=ao","Paul C. van Oorschot","security"
"1669950779-3577","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=DA68vjUAAAAJ&hl=en&oi=ao","Ahmed El-Roby","db"
"1669950779-3578","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=1jR53ZQAAAAJ&hl=en&oi=ao","Prosenjit Bose","theory"
"1669950779-3579","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=qEl1DpQAAAAJ&hl=en&oi=ao","AbdelRahman Abdou","security"
"1669950779-3580","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Per9R0UAAAAJ&hl=en&oi=ao","Ali Arya",""
"1669950779-3581","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=1yuYTRAAAAAJ&hl=en&oi=ao","Olga Baysal","se"
"1669950779-3582","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=TeBUgNcAAAAJ&hl=en&oi=ao","Leopoldo E. Bertossi",""
"1669950779-3583","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=nHJDhwoAAAAJ&hl=en&oi=ao","Frank Dehne",""
"1669950779-3584","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/l/Liu:Mengchi","Mengchi Liu",""
"1669950779-3585","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/s/Smid:Michiel_H%3D_M%3D","Michiel H. M. Smid",""
"1669950779-3586","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=cQUT9bAAAAAJ&hl=en&oi=ao","Anil Somayaji",""
