web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669950588-3478","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=BSORuFoAAAAJ&hl=en&oi=ao","Gregory Dudek","robotics"
"1669950588-3479","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Um-wmYQAAAAJ&hl=en&oi=ao","Jackie Chi Kit Cheung","nlp"
"1669950588-3480","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=gFwEytkAAAAJ&hl=en&oi=ao","David Meger","robotics"
"1669950588-3481","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=nCZ2PMcAAAAJ&hl=en&oi=ao","Derek Nowrouzezahrai","graphics"
"1669950588-3482","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=LZZAAtoAAAAJ&hl=en&oi=ao","Siva Reddy","nlp"
"1669950588-3483","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=DJmwoRYAAAAJ&hl=en&oi=ao","Adrian Vetta","ecom"
"1669950588-3484","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=IROzEKQAAAAJ&hl=en&oi=ao","Prakash Panangaden","logic"
"1669950588-3485","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=ss6bWnwAAAAJ&hl=en&oi=ao","Robert Robere","theory"
"1669950588-3486","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=XlDo0wgAAAAJ&hl=en&oi=ao","Martin P. Robillard","se"
"1669950588-3487","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Ru-jrx4AAAAJ&hl=en&oi=ao","Xujie Si","ml,logic"
"1669950588-3488","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=1jEAOVcAAAAJ&hl=en&oi=ao","Kaleem Siddiqi","vision"
"1669950588-3489","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=iYjXhYwAAAAJ&hl=en&oi=ao","Timothy J. O'Donnell","nlp"
"1669950588-3490","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=WZWeI0MAAAAJ&hl=en&oi=ao","Derek Ruths","nlp"
"1669950588-3491","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Uro_AS0AAAAJ&hl=en&oi=ao","Paul G. Kry","graphics"
"1669950588-3492","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=SX7AzekAAAAJ&hl=en&oi=ao","Brigitte Pientka","pl"
"1669950588-3493","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Foh_c-QAAAAJ&hl=en&oi=ao","Reihaneh Rabbany","ml"
"1669950588-3494","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=IVZp2gQAAAAJ&hl=en&oi=ao","Jérôme Waldispühl","comp. bio"
"1669950588-3495","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=8vXnOQsAAAAJ&hl=en&oi=ao","Mathieu Blanchette","comp. bio"
"1669950588-3496","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=DINh8bYAAAAJ&hl=en&oi=ao","Christophe Dubach","arch"
"1669950588-3497","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=4WQnb8IAAAAJ&hl=en&oi=ao","Hamed Hatami","theory"
"1669950588-3498","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/c/Chang:Xiao%3DWen","Xiao-Wen Chang",""
"1669950588-3499","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=vLbmweYAAAAJ&hl=en&oi=ao","Bettina Kemme","db"
"1669950588-3500","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=ki4fG10AAAAJ&hl=en&oi=ao","Bruce A. Reed","theory"
"1669950588-3501","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=NsYQCXsAAAAJ&hl=en&oi=ao","Michael S. Langer",""
