web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669950535-3429","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=XhyKVFMAAAAJ&hl=en&oi=ao","Ping Tan","vision"
"1669950535-3430","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/z/Zhang:Hao_(Richard)","Hao (Richard) Zhang","graphics"
"1669950535-3431","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=9WfDSNwAAAAJ&hl=en&oi=ao","Xing-Dong Yang","hci"
"1669950535-3432","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=wCxzFrMAAAAJ&hl=en&oi=ao","Yasutaka Furukawa","vision"
"1669950535-3433","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=1RmD-YsAAAAJ&hl=en&oi=ao","Andrea Tagliasacchi","vision"
"1669950535-3434","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=fKV65XQAAAAJ&hl=en&oi=ao","Jiannan Wang","db"
"1669950535-3435","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=8gfs8XIAAAAJ&hl=en&oi=ao","Angel X. Chang","vision"
"1669950535-3436","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=ZYwC_CQAAAAJ&hl=en&oi=ao","Martin Ester","ml,web+ir,ai"
"1669950535-3437","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=4D2vsdYAAAAJ&hl=en&oi=ao","Manolis Savva","vision"
"1669950535-3438","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=43LLX2kAAAAJ&hl=en&oi=ao","Sheelagh Carpendale","visualization"
"1669950535-3439","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=wWhVnqkAAAAJ&hl=en&oi=ao","Parmit K. Chilana","hci"
"1669950535-3440","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=KhJJchQAAAAJ&hl=en&oi=ao","Anoop Sarkar","nlp"
"1669950535-3441","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=tACpr20AAAAJ&hl=en&oi=ao","Tianzheng Wang 0001","db"
"1669950535-3442","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=KJbsVl8AAAAJ&hl=en&oi=ao","Hang Ma 0001","ai"
"1669950535-3443","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=rPCzqN4AAAAJ&hl=en&oi=ao","Richard T. Vaughan","robotics"
"1669950535-3444","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=FwxfQosAAAAJ&hl&hl=en&oi=ao","Xue Bin Peng","graphics,robotics"
"1669950535-3445","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=4372x88AAAAJ&hl=en&oi=ao","Mo Chen","robotics"
