web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669950621-3502","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=zvC19mQAAAAJ&hl=en&oi=ao","Csaba Szepesvári","ml"
"1669950621-3503","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=xaQuPloAAAAJ&hl=en&oi=ao","Dale Schuurmans","ml"
"1669950621-3504","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=PYtPCHoAAAAJ&hl=en&oi=ao","Michael H. Bowling","ai"
"1669950621-3505","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=32UrMrQAAAAJ&hl=en&oi=ao","Lili Mou","nlp,ai"
"1669950621-3506","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=t5zdD_IAAAAJ&hl=en&oi=ao","Martha White","ml"
"1669950621-3507","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=kxAlIY4AAAAJ&hl=en&oi=ao","Martin Jägersand","robotics"
"1669950621-3508","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=3utEUeoAAAAJ&hl=en&oi=ao","Nathan R. Sturtevant","ai"
"1669950621-3509","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/z/Zhang_0013:Hong","Hong Zhang 0013","robotics"
"1669950621-3510","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=eoXoLFgAAAAJ&hl=en&oi=ao","Levi Lelis","ai"
"1669950621-3511","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=edQgLXcAAAAJ&hl=en&oi=ao","Matthew E. Taylor","ai"
"1669950621-3512","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=TV3Tl_sAAAAJ&hl=en&oi=ao","Grzegorz Kondrak","nlp"
"1669950621-3513","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=CXPlI08AAAAJ&hl=en&oi=ao","Robert C. Holte","ai"
"1669950621-3514","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=hNTyptAAAAAJ&hl=en&oi=ao","Richard S. Sutton","ml"
"1669950621-3515","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=UedjBD4AAAAJ&hl=en&oi=ao","Martin Müller 0003","ai"
"1669950621-3516","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Rn7APGIAAAAJ&hl=en&oi=ao","Russell Greiner","ml"
"1669950621-3517","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=usr3H7gAAAAJ&hl=en&oi=ao","Denilson Barbosa","nlp"
"1669950621-3518","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=dDNv_sAAAAAJ&hl=en&oi=ao","Yee-Hong Yang","vision"
"1669950621-3519","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=YwB8XM4AAAAJ&hl=en&oi=ao","A. Rupam Mahmood","ml,robotics"
"1669950621-3520","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=j-W_RNYAAAAJ&hl=en&oi=ao","Osmar R. Zaïane","nlp,ai"
"1669950621-3521","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/f/Friggstad:Zachary","Zachary Friggstad","theory"
"1669950621-3522","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/y/You:Jia%3DHuai","Jia-Huai You","ai"
"1669950621-3523","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/b/Buro:Michael","Michael Buro","ai"
"1669950621-3524","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=-BEP3TYAAAAJ&hl=en&oi=ao","James R. Wright","ml,ecom"
"1669950621-3525","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Vw8z7qwAAAAJ&hl=en&oi=ao","Alona Fyshe","nlp"
"1669950621-3526","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=lNxSDIwAAAAJ&hl=en&oi=ao","Davood Rafiei","web+ir"
"1669950621-3527","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=q4QmSekAAAAJ&hl=en&oi=ao","Mohammad R. Salavatipour","theory"
"1669950621-3528","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=jKqmTbIAAAAJ&hl=en&oi=ao","Matthew Guzdial","ai"
"1669950621-3529","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=vuT1ZlUAAAAJ&hl=en&oi=ao","Abram Hindle","se"
"1669950621-3530","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=W6WwvbQAAAAJ&hl=en&oi=ao","Jonathan Schaeffer","ai"
"1669950621-3531","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=v2FRdPYAAAAJ&hl=en&oi=ao","Duane Szafron","ai"
"1669950621-3532","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=a93MQNQAAAAJ&hl=en&oi=ao","Vadim Bulitko","ai"
"1669950621-3533","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=fTgRyn4AAAAJ&hl=en&oi=ao","Randy Goebel","nlp"
"1669950621-3534","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=h-VFYuUAAAAJ&hl=en&oi=ao","Ryan B. Hayward","ai"
"1669950621-3535","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=PxNO2g8AAAAJ&hl=en&oi=ao","Sarah Nadi","se"
"1669950621-3536","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=VGQmtWEAAAAJ&hl=en&oi=ao","Patrick M. Pilarski",""
"1669950621-3537","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=E3wuLqAAAAAJ&hl=en&oi=ao","Nilanjan Ray",""
"1669950621-3538","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=QzFTFLEAAAAJ&hl=en&oi=ao","Jörg Sander 0001",""
"1669950621-3539","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=TC8495oAAAAJ&hl=en&oi=ao","Karim Ali 0001",""
"1669950621-3540","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/a/Amaral:Jos%3Deacute%3D_Nelson","José Nelson Amaral",""
"1669950621-3541","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=27IhNIMAAAAJ&hl=en&oi=ao","Pierre Boulanger",""
