web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669950693-3542","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=kukA0LcAAAAJ&hl=en&oi=ao","Yoshua Bengio","ml"
"1669950693-3543","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=km6CP8cAAAAJ&hl=en&oi=ao","Aaron C. Courville","ml"
"1669950693-3544","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=1ScWJOoAAAAJ&hl=en&oi=ao","Christopher Joseph Pal","ml"
"1669950693-3545","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=H9xADK0AAAAJ&hl=en&oi=ao","Liam Paull","robotics"
"1669950693-3546","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=oejm5IUAAAAJ&hl=en&oi=ao","Simon Lacoste-Julien","ml"
"1669950693-3547","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=W7uYg0UAAAAJ&hl=en&oi=ao","Jian-Yun Nie","web+ir"
"1669950693-3548","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=K757SxgAAAAJ&hl=en&oi=ao","Ioannis Mitliagkas","ml"
"1669950693-3549","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=9H77FYYAAAAJ&hl=en&oi=ao","Pierre-Luc Bacon","ai,ml"
"1669950693-3550","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Avse5gIAAAAJ&hl=en&oi=ao","Irina Rish","ai,ml"
"1669950693-3551","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=-WZcuuwAAAAJ&hl=en&oi=ao","Glen Berseth","robotics,graphics"
"1669950693-3552","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=pLurJcoAAAAJ&hl=en&oi=ao","Aishwarya Agrawal","nlp,vision"
"1669950693-3553","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=ifu_7_0AAAAJ&hl=en&oi=ao","Guillaume Lajoie","ml"
"1669950693-3554","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=t2i4V4EAAAAJ&hl=en&oi=ao","Guillaume Rabusseau","ml"
"1669950693-3555","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=EUzwk5cAAAAJ&hl=en&oi=ao","Mikhail Bessmeltsev","graphics"
"1669950693-3556","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/l/Langlais:Philippe","Philippe Langlais","nlp"
"1669950693-3557","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=al5P0bAAAAAJ&hl=en&oi=ao","Pierre Poulin","graphics"
"1669950693-3558","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/s/Salvail:Louis","Louis Salvail","crypto"
"1669950693-3559","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=tAM57M8AAAAJ&hl=en&oi=ao","Alain Tapp",""
"1669950693-3560","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=KfWhAlsAAAAJ&hl=en&oi=ao","Sébastien Roy 0001","vision"
"1669950693-3561","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/e/El=Mabrouk:Nadia","Nadia El-Mabrouk","comp. bio"
"1669950693-3562","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Rh7_srgAAAAJ&hl=en&oi=ao","Gilles Brassard",""
"1669950693-3563","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=UHwqGG4AAAAJ&hl=en&oi=ao","Claude Frasson",""
"1669950693-3564","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/h/Hamel:Sylvie","Sylvie Hamel",""
"1669950693-3565","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=0fRlG8oAAAAJ&hl=en&oi=ao","Guy Lapalme",""
"1669950693-3566","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/m/Major:Fran%3Dccedil%3Dois","François Major",""
"1669950693-3567","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=fA1ZOmMAAAAJ&hl=en&oi=ao","Pierre McKenzie",""
"1669950693-3568","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=El03_L8AAAAJ&hl=en&oi=ao","Jean Meunier",""
"1669950693-3569","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/m/Mignotte:Max","Max Mignotte",""
"1669950693-3570","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/m/Monnier:Stefan","Stefan Monnier",""
