web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669950412-3188","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=CUlqK5EAAAAJ&hl=en&oi=ao","Sanja Fidler","vision"
"1669950412-3189","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=EZgkJ3sAAAAJ&hl=en&oi=ao","Tovi Grossman","hci"
"1669950412-3190","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=x3hvdTsAAAAJ&hl=en&oi=ao","Daniel J. Wigdor","hci"
"1669950412-3191","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=GCvk26UAAAAJ&hl=en&oi=ao","Nisarg Shah 0001","ai"
"1669950412-3192","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=zp8V7ZMAAAAJ&hl=en&oi=ao","Animesh Garg","robotics"
"1669950412-3193","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=qc6jW8sAAAAJ&hl=en&oi=ao","Fanny Chevalier","hci"
"1669950412-3194","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=kB8UPNIAAAAJ&hl=en&oi=ao","Scott Sanner","ai"
"1669950412-3195","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=hy6wONIAAAAJ&hl=en&oi=ao","Karan Singh","hci,graphics,ml"
"1669950412-3196","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=N_vPIhoAAAAJ&hl=en&oi=ao","Tim D. Barfoot","robotics"
"1669950412-3197","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=lSJavJUAAAAJ&hl=en&oi=ao","Alec Jacobson","graphics"
"1669950412-3198","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=0_vvBZkAAAAJ&hl=en&oi=ao","Eitan Grinspun","graphics"
"1669950412-3199","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=xgQd1qgAAAAJ&hl=en&oi=ao","Roger B. Grosse","ml"
"1669950412-3200","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=ZLpO3XQAAAAJ&hl=en&oi=ao","David Duvenaud","ml"
"1669950412-3201","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=U3w720cAAAAJ&hl=en&oi=ao","Yu Sun 0001","robotics"
"1669950412-3202","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=WtijM48AAAAJ&hl=en&oi=ao","Ravin Balakrishnan","hci"
"1669950412-3203","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=D2VLt-8AAAAJ&hl=en&oi=ao","Andreas Moshovos","arch"
"1669950412-3204","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=ZgqVLuMAAAAJ&hl=en&oi=ao","Gennady Pekhimenko","arch"
"1669950412-3205","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Nuw1Y4oAAAAJ&hl=en&oi=ao","Igor Gilitschenski","robotics"
"1669950412-3206","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=sb1-HK8AAAAJ&hl=en&oi=ao","Sushant Sachdeva","theory,ml"
"1669950412-3207","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=BDmtLHsAAAAJ&hl=en&oi=ao","Florian Shkurti","robotics"
"1669950412-3208","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=n9Kg_LUAAAAJ&hl=en&oi=ao","Azadeh Farzan","pl"
"1669950412-3209","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=KtSR8_0AAAAJ&hl=en&oi=ao","Jonathan Kelly","robotics"
"1669950412-3210","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=WjCG3owAAAAJ&hl=en&oi=ao","Chris J. Maddison","ml"
"1669950412-3211","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=cGxq0cMAAAAJ&hl=en&oi=ao","Nicolas Papernot","security,ml"
