web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669950921-3587","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=M_Ne0psAAAAJ&hl=en&oi=ao","Miguel A. Nacenta","hci"
"1669950921-3588","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=raZc4aoAAAAJ&hl=en&oi=ao","Charles Perin","visualization"
"1669950921-3589","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=DC4stPEAAAAJ&hl=en&oi=ao","Teseo Schneider","graphics"
"1669950921-3590","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=WhjQewkAAAAJ&hl=en&oi=ao","Margaret-Anne D. Storey","se"
"1669950921-3591","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=szORzAoAAAAJ&hl=en&oi=ao","Alex Thomo","db"
"1669950921-3592","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=xn6BVdoAAAAJ&hl=en&oi=ao","S. Venkatesh 0001","db"
"1669950921-3593","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=B-1karUAAAAJ&hl=en&oi=ao","Daniela E. Damian","se"
"1669950921-3594","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=hpxl9PEAAAAJ&hl=en&oi=ao","Daniel M. Germán","se"
"1669950921-3595","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=CCXustMAAAAJ&hl=en&oi=ao","Bruce M. Kapron","crypto,logic"
"1669950921-3596","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=YGeqVQkAAAAJ&hl=en&oi=ao","Nishant A. Mehta","ml"
"1669950921-3597","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=R9ar1NkAAAAJ&hl=en&oi=ao","Sowmya Somanath","hci"
"1669950921-3598","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=ZxNF5OYAAAAJ&hl=en&oi=ao","Sean Chester","db"
"1669950921-3599","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=XS-XGGoAAAAJ&hl=en&oi=ao","Valerie King","theory"
"1669950921-3600","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=e0RbIYEAAAAJ&hl=en&oi=ao","Brian Wyvill","graphics"
"1669950921-3601","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=YW2PefUAAAAJ&hl=en&oi=ao","Kui Wu 0001",""
"1669950921-3602","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=te8YRSAAAAAJ&hl=en&oi=ao","Ibrahim Numanagic","comp. bio"
"1669950921-3603","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=mlUYzYcAAAAJ&hl=en&oi=ao","Jianping Pan 0001",""
"1669950921-3604","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/l/Lu_0001:Yun","Yun Lu 0001",""
"1669950921-3605","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=byBabzAAAAAJ&hl=en&oi=ao","Neil A. Ernst",""
"1669950921-3606","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Tf_natAAAAAJ&hl=en&oi=ao","Sajin Koroth",""
