web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669950453-3277","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Yi5nK1EAAAAJ&hl=en&oi=ao","Daniel Vogel 0001","hci"
"1669950453-3278","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=0EWw1z8AAAAJ&hl=en&oi=ao","Jimmy Lin","nlp,web+ir"
"1669950453-3279","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=loh7ivYAAAAJ&hl=en&oi=ao","Richard Peng","theory"
"1669950453-3280","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=zbXIQMsAAAAJ&hl=en&oi=ao","Yaoliang Yu","ml"
"1669950453-3281","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=h6_PdYsAAAAJ&hl=en&oi=ao","Yuri Boykov","vision"
"1669950453-3282","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=KhAJWroAAAAJ&hl=en&oi=ao","Pascal Poupart","ai,ml"
"1669950453-3283","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=MK6zHkYAAAAJ&hl=en&oi=ao","Gautam Kamath 0001","ml,theory"
"1669950453-3284","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=aP-_mb8AAAAJ&hl=en&oi=ao","Florian Kerschbaum","security,db"
"1669950453-3285","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=U8ShbhUAAAAJ&hl=en&oi=ao","Wenhu Chen","nlp"
"1669950453-3286","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","Edward Lank","hci"
"1669950453-3287","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=5v0elikAAAAJ&hl=en&oi=ao","Jian Zhao 0010","visualization"
"1669950453-3288","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=YG6mTEIAAAAJ&hl=en&oi=ao","Ihab F. Ilyas","db"
"1669950453-3289","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=WHTB3_MAAAAJ&hl=en&oi=ao","Arie Gurfinkel","logic"
"1669950453-3290","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=sx3vhoMAAAAJ&hl=en&oi=ao","Yousra Aafer","security"
"1669950453-3291","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=6V4WUckAAAAJ&hl=en&oi=ao","Christopher Batty","graphics"
"1669950453-3292","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=YP23eR0AAAAJ&hl=en&oi=ao","Vijay Ganesh","ai,logic"
"1669950453-3293","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=r5QkMysAAAAJ&hl=en&oi=ao","Olga Veksler","vision"
"1669950453-3294","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=wSstCv0AAAAJ&hl=en&oi=ao","Hongyang Zhang 0001","ml"
"1669950453-3295","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=0MqQ8AgAAAAJ&hl=en&oi=ao","N. Asokan","security,eda"
"1669950453-3296","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/g/Goldberg:Ian","Ian Goldberg","security"
"1669950453-3297","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=QK-c5esAAAAJ&hl=en&oi=ao","Kate Larson","ai"
