web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669950943-3607","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Gv1QGSMAAAAJ&hl=en&oi=ao","Michael S. Brown","vision"
"1669950943-3608","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=3Br8x_gAAAAJ&hl=en&oi=ao","Konstantinos G. Derpanis","vision"
"1669950943-3609","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=x2wyjkAAAAAJ&hl=en&oi=ao","Marcus A. Brubaker","vision,ml"
"1669950943-3610","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=1vEw_kgAAAAJ&hl=en&oi=ao","Richard P. Wildes","vision"
"1669950943-3611","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=lQi05ZkAAAAJ&hl=en&oi=ao","Hui Jiang 0001","nlp"
"1669950943-3612","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=gzyZhcgAAAAJ&hl=en&oi=ao","Song Wang 0009","se"
"1669950943-3613","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=O7p7lRAAAAAJ&hl=en&oi=ao","Ruth Urner","ml"
"1669950943-3614","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=noDDU_0AAAAJ&hl=en&oi=ao","Michael R. M. Jenkin","robotics"
"1669950943-3615","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=dbzTZhcAAAAJ&hl=en&oi=ao","Zhen Ming (Jack) Jiang","se"
"1669950943-3616","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/g/Godfrey:Parke","Parke Godfrey","db"
"1669950943-3617","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=LcD8HZcAAAAJ&hl=en&oi=ao","Jarek Gryz","db"
"1669950943-3618","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=Ic6ZXhUAAAAJ&hl=en&oi=ao","John K. Tsotsos","vision"
"1669950943-3619","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=2eUL7eEAAAAJ&hl=en&oi=ao","Aijun An",""
"1669950943-3620","https://csrankings.org/#/index?all&ca","","https://dblp.org/pers/hd/b/Breugel:Franck_van","Franck van Breugel",""
"1669950943-3621","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=i1ZltlsAAAAJ&hl=en&oi=ao","Patrick W. Dymond",""
"1669950943-3622","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=AjD7zfgAAAAJ&hl=en&oi=ao","Jeff Edmonds",""
"1669950943-3623","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=OBAePKYAAAAJ&hl=en&oi=ao","Scott MacKenzie",""
"1669950943-3624","https://csrankings.org/#/index?all&ca","","https://scholar.google.com/citations?user=1WtE__IAAAAJ&hl=en&oi=ao","Manos Papagelis",""
