web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669948689-1464","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=wlosgkoAAAAJ&hl=en&oi=ao","Graham Neubig","nlp"
"1669948689-1465","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/g/Gupta_0001:Abhinav","Abhinav Gupta 0001","vision"
"1669948689-1466","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=kMmxbbIAAAAJ&hl=en&oi=ao","David P. Woodruff","ml,theory"
"1669948689-1467","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=4fvo61oAAAAJ&hl=en&oi=ao","Howie Choset","robotics"
"1669948689-1468","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=0DpK1EMAAAAJ&hl=en&oi=ao","Tuomas Sandholm","ai,ml"
"1669948689-1469","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=0ytii2EAAAAJ&hl=en&oi=ao","Martial Hebert","vision"
"1669948689-1470","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Q4DTPw4AAAAJ&hl=en&oi=ao","Pradeep Ravikumar","ml"
"1669948689-1471","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=9B8PoXUAAAAJ&hl=en&oi=ao","Deva Ramanan","vision"
"1669948689-1472","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Ic8NqXwAAAAJ&hl=en&oi=ao","Maxim Likhachev","robotics"
"1669948689-1473","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=rejzeocAAAAJ&hl=en&oi=ao","Elaine Shi","security"
"1669948689-1474","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=36HRdqMAAAAJ&hl=en&oi=ao","Chris Harrison 0001","hci"
"1669948689-1475","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=juRk4lQAAAAJ&hl=en&oi=ao","Vincent Conitzer","ai"
"1669948689-1476","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=UXh1I6UAAAAJ&hl=en&oi=ao","J. Zico Kolter","ml"
"1669948689-1477","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=nd8lQQIAAAAJ&hl=en&oi=ao","Christos Faloutsos","ml"
"1669948689-1478","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=5V852JcAAAAJ&hl=en&oi=ao","Vyas Sekar","networks"
"1669948689-1479","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=MbF6rTEAAAAJ&hl=en&oi=ao","Zhiwei Steven Wu","ml"
"1669948689-1480","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=APgaFK0AAAAJ&hl=en&oi=ao","Louis-Philippe Morency","nlp"
"1669948689-1481","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=6YU6_QoAAAAJ&hl=en&oi=ao","Scott E. Hudson","hci"
"1669948689-1482","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=7t4jbPQAAAAJ&hl=en&oi=ao","J. Andrew Bagnell","robotics"
"1669948689-1483","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=_ZVyA_gAAAAJ&hl=en&oi=ao","Tom M. Mitchell","nlp"
"1669948689-1484","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=BYLsgysAAAAJ&hl=en&oi=ao","Vipul Goyal","crypto"
"1669948689-1485","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Es6jE1kAAAAJ&hl=en&oi=ao","Venkatesan Guruswami","theory"
"1669948689-1486","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/l/Li:Yuanzhi","Yuanzhi Li","ml"
"1669948689-1487","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=UdpacsMAAAAJ&hl=en&oi=ao","Jun-Yan Zhu","vision"
"1669948689-1488","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=QuwaU-8AAAAJ&hl=en&oi=ao","Anupam Gupta 0001","theory"
"1669948689-1489","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=LWlN_BUAAAAJ&hl=en&oi=ao","Maria-Florina Balcan","ml"
"1669948689-1490","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=MlZq4XwAAAAJ&hl=en&oi=ao","Yiming Yang","ml,nlp"
"1669948689-1491","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=MhYrLJAAAAAJ&hl=en&oi=ao","Srinivasa G. Narasimhan","vision"
"1669948689-1492","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=kIUqgbcAAAAJ&hl=en&oi=ao","Lorrie Faith Cranor","hci,security"
"1669948689-1493","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=VdZQ1EgAAAAJ&hl=en&oi=ao","Fei Fang","ai"
"1669948689-1494","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=X5buTmMAAAAJ&hl=en&oi=ao","Nicolas Christin","security"
"1669948689-1495","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=u1UDm4wAAAAJ&hl=en&oi=ao","Andrew Pavlo","db"
"1669948689-1496","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=32eGduMAAAAJ&hl=en&oi=ao","Mayank Goel","hci"
"1669948689-1497","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=hIq09eUAAAAJ&hl=en&oi=ao","Bernhard Haeupler","theory"
"1669948689-1498","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=WfaqxlgAAAAJ&hl=en&oi=ao","Swarun Kumar","mobile,networks"
"1669948689-1499","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/h/Hodgins:Jessica_K%3D","Jessica K. Hodgins","graphics"
"1669948689-1500","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=MoFbcc0AAAAJ&hl=en&oi=ao","Jason I. Hong","hci"
"1669948689-1501","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=PR-ZnJUAAAAJ&hl=en&oi=ao","Christian Kästner","se"
"1669948689-1502","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=AEsPCAUAAAAJ&hl=en&oi=ao","Deepak Pathak","ml"
"1669948689-1503","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=06rffEkAAAAJ&hl=en&oi=ao","Shubham Tulsiani","vision"
"1669948689-1504","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=bWoGh8UAAAAJ&hl=en&oi=ao","Yonatan Bisk","nlp"
"1669948689-1505","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=0OY5L3UAAAAJ&hl=en&oi=ao","Geoffrey J. Gordon","ml"
"1669948689-1506","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=2vZ5zRQAAAAJ&hl=en&oi=ao","Aniket Kittur","hci"
