web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669949347-2117","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=MGVrVSIAAAAJ&hl=en&oi=ao","Thomas Ristenpart","security"
"1669949347-2118","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Db4BCX8AAAAJ&hl=en&oi=ao","Noah Snavely","vision"
"1669949347-2119","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=jsxk8vsAAAAJ&hl=en&oi=ao","Kilian Q. Weinberger","ml"
"1669949347-2120","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=VX7d5EQAAAAJ&hl=en&oi=ao","Jon M. Kleinberg","ml,web+ir,ecom"
"1669949347-2121","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=LIjnUGgAAAAJ&hl=en&oi=ao","Alexander M. Rush","nlp"
"1669949347-2122","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=ex9BQiIAAAAJ&hl=en&oi=ao","Claire Cardie","nlp"
"1669949347-2123","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=FjCbjDYAAAAJ&hl=en&oi=ao","Fei Wang 0001","ml"
"1669949347-2124","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=3hdbdBoAAAAJ&hl=en&oi=ao","Carla P. Gomes","ai"
"1669949347-2125","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/l/Lee:Daniel_D%3D","Daniel D. Lee","robotics"
"1669949347-2126","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=TpglobcAAAAJ&hl=en&oi=ao","Bharath Hariharan","vision"
"1669949347-2127","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/p/Pass:Rafael","Rafael Pass","crypto,theory"
"1669949347-2128","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=zkvW8FQAAAAJ&hl=en&oi=ao","Robert D. Kleinberg","theory,ecom"
"1669949347-2129","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=x05pUHsAAAAJ&hl=en&oi=ao","Zhiru Zhang","eda"
