web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669949564-2369","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=8kA3eDwAAAAJ&hl=en&oi=ao","James M. Rehg","vision"
"1669949564-2370","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=06hgT8gAAAAJ&hl=en&oi=ao","Taesoo Kim","security"
"1669949564-2371","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=ZxXBaswAAAAJ&hl=en&oi=ao","Frank Dellaert","robotics"
"1669949564-2372","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=j9jhYqQAAAAJ&hl=en&oi=ao","Diyi Yang","nlp"
"1669949564-2373","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=EJXN6tYAAAAJ&hl=en&oi=ao","Tuo Zhao","ml"
"1669949564-2374","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=nfkH5V4AAAAJ&hl=en&oi=ao","Wenke Lee","security"
"1669949564-2375","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en&oi=ao","Seth Hutchinson 0001","robotics"
"1669949564-2376","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=vjZrDKQAAAAJ&hl=en&oi=ao","James Hays","vision"
"1669949564-2377","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=CeEO6SIAAAAJ&hl=en&oi=ao","Chao Zhang 0014","ml"
"1669949564-2378","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=EWU0STsAAAAJ&hl=en&oi=ao","Moinuddin K. Qureshi","arch"
"1669949564-2379","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=EYo_WkEAAAAJ&hl=en&oi=ao","Sonia Chernova","robotics"
"1669949564-2380","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=sMnocAYAAAAJ&hl=en&oi=ao","Michael Bailey","security,metrics"
"1669949564-2381","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=BqkyhDEAAAAJ&hl=en&oi=ao","Daniel Genkin","security"
"1669949564-2382","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=kM95eWgAAAAJ&hl=en&oi=ao","Thomas Plötz","hci"
"1669949564-2383","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Z9Pfp6UAAAAJ&hl=en&oi=ao","Munmun De Choudhury","hci"
"1669949564-2384","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=2a5XgNAAAAAJ&hl=en&oi=ao","Zsolt Kira","vision,robotics"
"1669949564-2385","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=hRggMmIAAAAJ&hl=en&oi=ao","Santosh S. Vempala","theory"
"1669949564-2386","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=mqpjAt4AAAAJ&hl=en&oi=ao","Judy Hoffman","vision"
"1669949564-2387","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=FDu4ciwAAAAJ&hl=en&oi=ao","Jacob D. Abernethy","ml"
"1669949564-2388","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=XM97iScAAAAJ&hl=en&oi=ao","Irfan A. Essa","vision,hci"
"1669949564-2389","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=_ZIAy3cAAAAJ&hl=en&oi=ao","Alex Endert","visualization"
"1669949564-2390","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=P__ztgcAAAAJ&hl=en&oi=ao","Tushar Krishna","arch,eda"
"1669949564-2391","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=1vwuDM4AAAAJ&hl=en&oi=ao","Vladimir Kolesnikov","security,crypto"
"1669949564-2392","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=qr8Vo9IAAAAJ&hl=en&oi=ao","Thad Starner","hci"
"1669949564-2393","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=jIs-Y2gAAAAJ&hl=en&oi=ao","Andrea Thomaz","robotics"
"1669949564-2394","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=mncyWbcAAAAJ&hl=en&oi=ao","Angelos D. Keromytis","security"
"1669949564-2395","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=G6kA1CMAAAAJ&hl=en&oi=ao","Haesun Park","ml,ai"
"1669949564-2396","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=unXtH3IAAAAJ&hl=en&oi=ao","Alan Ritter","nlp"
"1669949564-2397","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=J5D4kcoAAAAJ&hl=en&oi=ao","Danfei Xu","robotics,vision"
"1669949564-2398","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Iv7K07UAAAAJ&hl=en&oi=ao","Frank Li 0001","security"
"1669949564-2399","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=YON32W4AAAAJ&hl=en&oi=ao","Polo Chau","visualization,ml"
"1669949564-2400","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=RqkqRnUAAAAJ&hl=en&oi=ao","Xu Chu","db"
"1669949564-2401","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=2PxFftgAAAAJ&hl=en&oi=ao","John T. Stasko","visualization,hci"
"1669949564-2402","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=rp8dOfAAAAAJ&hl=en&oi=ao","Joy Arulraj","db"
"1669949564-2403","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=BfOdG-oAAAAJ&hl=en&oi=ao","Wei Xu 0004","nlp"
"1669949564-2404","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=P6VJcVIAAAAJ&hl=en&oi=ao","Manos Antonakakis","security"
"1669949564-2405","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=KhnJQ20AAAAJ&hl=en&oi=ao","Raheem A. Beyah","security"
"1669949564-2406","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Yg_QjxcAAAAJ&hl=en&oi=ao","Mark O. Riedl","ai"
"1669949564-2407","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=CCGI7x4AAAAJ&hl=en&oi=ao","Richard W. Vuduc","hpc"
"1669949564-2408","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=BHZT068AAAAJ&hl=en&oi=ao","Sahil Singla 0001","theory"
"1669949564-2409","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=YOGOScoAAAAJ&hl=en&oi=ao","Srinivas Aluru","hpc,comp. bio"
"1669949564-2410","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=7OvZhQIAAAAJ&hl=en&oi=ao","Hyesoon Kim","arch"
"1669949564-2411","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=zh8E4voAAAAJ&hl=en&oi=ao","Andrea G. Parker","hci"
"1669949564-2412","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=C-NftTgAAAAJ&hl=en&oi=ao","B. Aditya Prakash","ml,ai"
"1669949564-2413","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Q_4d9N0AAAAJ&hl=en&oi=ao","Greg Turk","graphics,robotics"
"1669949564-2414","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=oZNdAREAAAAJ&hl=en&oi=ao","Alberto Dainotti","metrics"
"1669949564-2415","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=M3VZmxIAAAAJ&hl=en&oi=ao","Alexander G. Gray","ml"
