web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669948867-1743","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=910z20QAAAAJ&hl=en&oi=ao","Daniela Rus","robotics"
"1669948867-1744","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=8cxDHS4AAAAJ&hl=en&oi=ao","Antonio Torralba 0001","vision"
"1669948867-1745","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=0zZnyMEAAAAJ&hl=en&oi=ao","William T. Freeman","vision"
"1669948867-1746","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=wbIMbL8AAAAJ&hl=en&oi=ao","Wojciech Matusik","graphics"
"1669948867-1747","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=NJ9c4ygAAAAJ&hl=en&oi=ao","Frédo Durand","graphics"
"1669948867-1748","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/k/Kaelbling:Leslie_Pack","Leslie Pack Kaelbling","robotics"
"1669948867-1749","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/b/Barzilay:Regina","Regina Barzilay","nlp"
"1669948867-1750","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=nst5fHgAAAAJ&hl=en&oi=ao","Dina Katabi","networks"
"1669948867-1751","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=iTv2cOgAAAAJ&hl=en&oi=ao","Constantinos Daskalakis","theory"
"1669948867-1752","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/j/Jaakkola:Tommi_S%3D","Tommi S. Jaakkola","ml"
"1669948867-1753","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/l/Lozano=P=eacute=rez:Tom%3Daacute%3Ds","Tomás Lozano-Pérez","robotics"
"1669948867-1754","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=a1ngrCIAAAAJ&hl=en&oi=ao","Samuel Madden","db"
"1669948867-1755","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=6_cxCKQAAAAJ&hl=en&oi=ao","Mohammad Alizadeh","networks"
"1669948867-1756","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=gTWUZlsAAAAJ&hl=en&oi=ao","Stefanie Jegelka","ml"
"1669948867-1757","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/s/Shah:Julie_A%3D","Julie A. Shah","robotics,ai"
"1669948867-1758","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=nxNkEiYAAAAJ&hl=en&oi=ao","Russ Tedrake","robotics"
"1669948867-1759","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=a8jIPIkAAAAJ&hl=en&oi=ao","Vinod Vaikuntanathan","crypto"
"1669948867-1760","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=8BX3BokAAAAJ&hl=en&oi=ao","Armando Solar-Lezama","ml,pl"
"1669948867-1761","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=oOwNKsAAAAAJ&hl=en&oi=ao","Piotr Indyk","theory,ml"
"1669948867-1762","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=ROILf3EAAAAJ&hl=en&oi=ao","Phillip Isola","vision"
"1669948867-1763","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=dnZ8udEAAAAJ&hl=en&oi=ao","Jacob Andreas","nlp"
"1669948867-1764","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=hxlxVEUAAAAJ&hl=en&oi=ao","Martin C. Rinard","pl,se"
"1669948867-1765","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Wph6P_IAAAAJ&hl=en&oi=ao","Virginia Vassilevska Williams","theory"
"1669948867-1766","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=DJ6--hMAAAAJ&hl=en&oi=ao","Nickolai Zeldovich","os"
"1669948867-1767","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=pImSVwoAAAAJ&hl=en&oi=ao","Justin Solomon 0001","ml,graphics"
"1669948867-1768","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=umFQktIAAAAJ&hl=en&oi=ao","Ankur Moitra","theory"
"1669948867-1769","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Qf4bw4UAAAAJ&hl=en&oi=ao","Hari Balakrishnan","networks"
"1669948867-1770","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=LfcroyAAAAAJ&hl=en&oi=ao","David A. Sontag","ml"
"1669948867-1771","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=ki5wlPEAAAAJ&hl=en&oi=ao","Stefanie Müller 0001","hci"
"1669948867-1772","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=gzIKHjIAAAAJ&hl=en&oi=ao","Daniel Sánchez 0003","arch"
"1669948867-1773","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/d/Devadas:Srini","Srini Devadas","arch,security"
"1669948867-1774","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=3qPiYJoAAAAJ&hl=en&oi=ao","Devavrat Shah","ml,metrics"
"1669948867-1775","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Wp38QQYAAAAJ&hl=en&oi=ao","R. Ryan Williams","theory"
"1669948867-1776","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=SupjsEUAAAAJ&hl=en&oi=ao","Aleksander Madry","ml,theory"
"1669948867-1777","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=ND0FM6EAAAAJ&hl=en&oi=ao","Patrick Jaillet","ml"
"1669948867-1778","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/g/Ghaffari_0001:Mohsen","Mohsen Ghaffari 0001","theory"
"1669948867-1779","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/g/Guttag:John_V%3D","John V. Guttag","ml,vision"
"1669948867-1780","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=2vQRGrYAAAAJ&hl=en&oi=ao","David R. Karger","hci"
