web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669950105-3085","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=0RAmmIAAAAAJ&hl=en&oi=ao","Kyunghyun Cho","nlp"
"1669950105-3086","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=ktwwLjsAAAAJ&hl=en&oi=ao","Mehryar Mohri","ml"
"1669950105-3087","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=twWX2LIAAAAJ&hl=en&oi=ao","Andrew Gordon Wilson","ml"
"1669950105-3088","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=XUp6qhMAAAAJ&hl=en&oi=ao","Daniele Panozzo","graphics"
"1669950105-3089","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=pT8-2f0AAAAJ&hl=en&oi=ao","Damon McCoy","security"
"1669950105-3090","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/z/Zorin:Denis","Denis Zorin","graphics"
"1669950105-3091","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=L4bNmsMAAAAJ&hl=en&oi=ao","Joan Bruna","ml"
"1669950105-3092","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=3yPEc4YAAAAJ&hl=en&oi=ao","Yevgeniy Dodis","crypto"
"1669950105-3093","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=YIwiAAsAAAAJ&hl=en&oi=ao","Cláudio T. Silva","visualization"
"1669950105-3094","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=kV9XRxYAAAAJ&hl=en&oi=ao","Samuel R. Bowman","nlp"
"1669950105-3095","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=YeG8ZM0AAAAJ&hl=en&oi=ao","Chen Feng 0002","vision,robotics"
"1669950105-3096","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=K-isjagAAAAJ&hl=en&oi=ao","He He 0001","nlp"
