web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669949308-2049","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=rDfyQnIAAAAJ&hl=en&oi=ao","Li Fei-Fei 0001","vision"
"1669949308-2050","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=5JlEyTAAAAAJ&hl=en&oi=ao","Leonidas J. Guibas","vision"
"1669949308-2051","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=ImpbxLsAAAAJ&hl=en&oi=ao","Silvio Savarese","vision,robotics"
"1669949308-2052","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/e/Ermon:Stefano","Stefano Ermon","ml"
"1669949308-2053","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=1zmDOdwAAAAJ&hl=en&oi=ao","Christopher D. Manning","nlp"
"1669949308-2054","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=vfPE6hgAAAAJ&hl=en&oi=ao","Chelsea Finn","ml"
"1669949308-2055","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=DnnCWN0AAAAJ&hl=en&oi=ao","Christopher Ré","ml"
"1669949308-2056","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=2efgcS0AAAAJ&hl=en&oi=ao","Jiajun Wu 0001","vision,ml"
"1669949308-2057","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=YPzKczYAAAAJ&hl=en&oi=ao","Maneesh Agrawala","hci"
"1669949308-2058","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=SWqd2rgAAAAJ&hl=en&oi=ao","Aaron Sidford","theory"
"1669949308-2059","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=VOf45S0AAAAJ&hl=en&oi=ao","Gordon Wetzstein","graphics,vision"
"1669949308-2060","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=MwLqCs4AAAAJ&hl=en&oi=ao","Dan Boneh","security,crypto"
