web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669949533-2279","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=8R35rCwAAAAJ&hl=en&oi=ao","Sergey Levine","ml,robotics"
"1669949533-2280","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=vtwH6GkAAAAJ&hl=en&oi=ao","Pieter Abbeel","ml,robotics"
"1669949533-2281","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=bh-uRFMAAAAJ&hl=en&oi=ao","Trevor Darrell","vision"
"1669949533-2282","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=yxUduqMAAAAJ&hl=en&oi=ao","Michael I. Jordan","ml"
"1669949533-2283","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=oY9R5YQAAAAJ&hl=en&oi=ao","Jitendra Malik","vision"
"1669949533-2284","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=vN-is70AAAAJ&hl=en&oi=ao","Ion Stoica","networks"
"1669949533-2285","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=d97bGd8AAAAJ&hl=en&oi=ao","Alexei A. Efros","vision"
"1669949533-2286","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=8fztli4AAAAJ&hl=en&oi=ao","Kenneth Y. Goldberg","robotics"
"1669949533-2287","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=gM2WW9UAAAAJ&hl=en&oi=ao","Joseph Gonzalez 0001","ml"
"1669949533-2288","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=UgHB5oAAAAAJ&hl=en&oi=ao","Anca D. Dragan","robotics"
"1669949533-2289","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=IzaagZkAAAAJ&hl=en&oi=ao","Kurt Keutzer","vision,ml,ai"
"1669949533-2290","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=mx9gMZ4AAAAJ&hl=en&oi=ao","Ronald S. Fearing","robotics"
