web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669950125-3145","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Wy89g4IAAAAJ&hl=en&oi=ao","Cho-Jui Hsieh","ml"
"1669950125-3146","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=GU9HgNAAAAAJ&hl=en&oi=ao","Quanquan Gu","ml"
"1669950125-3147","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=fqDBtzYAAAAJ&hl=en&oi=ao","Kai-Wei Chang","nlp"
"1669950125-3148","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=DZ3S--MAAAAJ&hl=en&oi=ao","Mihaela van der Schaar","ml"
"1669950125-3149","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=gqB23VMAAAAJ&hl=en&oi=ao","Amit Sahai","crypto"
"1669950125-3150","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=9D4aG8AAAAAJ&hl=en&oi=ao","Bolei Zhou","vision"
"1669950125-3151","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=XxRXvX0AAAAJ&hl=en&oi=ao","Nanyun Peng","nlp"
"1669950125-3152","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=UvFrX04AAAAJ&hl=en&oi=ao","Rafail Ostrovsky","crypto"
"1669950125-3153","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=TQgOjK0AAAAJ&hl=en&oi=ao","Yizhou Sun","ml"
"1669950125-3154","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=UVGe0gQAAAAJ&hl=en&oi=ao","Jason Cong","eda"
"1669950125-3155","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/w/Wang_0010:Wei","Wei Wang 0010","ml"
"1669950125-3156","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=d0KQ9z0AAAAJ&hl=en&oi=ao","Guy Van den Broeck","ai,ml"
"1669950125-3157","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=DS6rCasAAAAJ&hl=en&oi=ao","Guoqing Harry Xu","os,arch,pl"
"1669950125-3158","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=a_50FBsAAAAJ&hl=en&oi=ao","Miryung Kim","se"
"1669950125-3159","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=pygPWvEAAAAJ&hl=en&oi=ao","Adnan Darwiche","ai"
"1669950125-3160","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=oOhnPUgAAAAJ&hl=en&oi=ao","Aditya Grover","ml"
"1669950125-3161","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=xuDZ9-sAAAAJ&hl=en&oi=ao","Raghu Meka","theory"
"1669950125-3162","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=u_tOExoAAAAJ&hl=en&oi=ao","Todd D. Millstein","networks"
"1669950125-3163","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=PVdTviYAAAAJ&hl=en&oi=ao","Songwu Lu","mobile"
