web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669948895-1836","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=q0MzO6cAAAAJ&hl=en&oi=ao","Ravi Ramamoorthi","graphics,vision"
"1669948895-1837","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=oPFCNk4AAAAJ&hl=en&oi=ao","Manmohan Krishna Chandraker","vision"
"1669948895-1838","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Fykyo9gAAAAJ&hl=en&oi=ao","Nuno Vasconcelos","vision"
"1669948895-1839","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=1P8Zu04AAAAJ&hl=en&oi=ao","Hao Su 0001","vision"
"1669948895-1840","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=mN6_BKAAAAAJ&hl=en&oi=ao","Taylor Berg-Kirkpatrick","nlp"
"1669948895-1841","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=DulpV-cAAAAJ&hl=en&oi=ao","Daniel M. Kane","theory,ml"
"1669948895-1842","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=icbo4M0AAAAJ&hl=en&oi=ao","Julian J. McAuley","nlp"
"1669948895-1843","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=3XnMVUAAAAAJ&hl=en&oi=ao","Farinaz Koushanfar","eda"
"1669948895-1844","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=HQB8W_IAAAAJ&hl=en&oi=ao","Xinyu Zhang 0003","mobile"
"1669948895-1845","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=9oz-dvgAAAAJ&hl=en&oi=ao","Zhuowen Tu","vision"
"1669948895-1846","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Y8O9N_0AAAAJ&hl=en&oi=ao","Xiaolong Wang 0004","vision"
"1669948895-1847","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=_JhgbioAAAAJ&hl=en&oi=ao","Stefan Savage","metrics,security"
"1669948895-1848","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=MA8rI0MAAAAJ&hl=en&oi=ao","Henrik I. Christensen","robotics"
"1669948895-1849","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=CeieiIgAAAAJ&hl=en&oi=ao","Tajana Rosing","eda"
"1669948895-1850","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=zCO_h3cAAAAJ&hl=en&oi=ao","Andrew B. Kahng","eda"
"1669948895-1851","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=ZfDtNpUAAAAJ&hl=en&oi=ao","Geoffrey M. Voelker","metrics"
"1669948895-1852","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=N7_xhHoAAAAJ&hl=en&oi=ao","Zhiting Hu","ml,nlp"
"1669948895-1853","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=f6JF7BkAAAAJ&hl=en&oi=ao","Shachar Lovett","theory"
"1669948895-1854","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=I-DJ7EsAAAAJ&hl=en&oi=ao","Kamalika Chaudhuri","ml"
"1669948895-1855","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=lBzZU1IAAAAJ&hl=en&oi=ao","Alex C. Snoeren","metrics,networks"
"1669948895-1856","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=RTkSatQAAAAJ&hl=en&oi=ao","Nikolay Atanasov","robotics"
"1669948895-1857","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=0SkFI4MAAAAJ&hl=en&oi=ao","Jingbo Shang","nlp"
"1669948895-1858","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=MtkNrygAAAAJ&hl=en&oi=ao","Jishen Zhao","arch,eda"
"1669948895-1859","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=2pW1g5IAAAAJ&hl=en&oi=ao","Mihir Bellare","crypto"
"1669948895-1860","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=cnncomYAAAAJ&hl=en&oi=ao","Pengtao Xie","ml,ai,nlp"
"1669948895-1861","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=5SjaXJsAAAAJ&hl=en&oi=ao","Dinesh Bharadia","networks,mobile"
"1669948895-1862","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/o/Orlitsky:Alon","Alon Orlitsky","ml"
"1669948895-1863","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=jz1YYgwAAAAJ&hl=en&oi=ao","Steven Swanson","arch"
"1669948895-1864","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=H3wb878AAAAJ&hl=en&oi=ao","Ranjit Jhala","pl"
"1669948895-1865","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=BsmjRdoAAAAJ&hl=en&oi=ao","Barna Saha","theory"
"1669948895-1866","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=hZQ57XcAAAAJ&hl=en&oi=ao","Arun Kumar 0001","db"
"1669948895-1867","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=9tjQU1EAAAAJ&hl=en&oi=ao","Arya Mazumdar","ml"
"1669948895-1868","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=BEEuinQAAAAJ&hl=en&oi=ao","Dean M. Tullsen","arch"
"1669948895-1869","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=qTVj7nwAAAAJ&hl=en&oi=ao","Deian Stefan","security,pl"
"1669948895-1870","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=CKXeqHoAAAAJ&hl=en&oi=ao","Philip J. Guo","hci"
"1669948895-1871","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=C6Pd5zoAAAAJ&hl=en&oi=ao","Sorin Lerner","pl,hci,security"
"1669948895-1872","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=gSYxbCYAAAAJ&hl=en&oi=ao","Michael C. Yip","robotics"
"1669948895-1873","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=ywTbDsQAAAAJ&hl=en&oi=ao","Steven Dow","hci"
"1669948895-1874","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=8U4q0sIAAAAJ&hl=en&oi=ao","Haijun Xia","hci"
"1669948895-1875","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/d/Dasgupta:Sanjoy","Sanjoy Dasgupta","ml"
"1669948895-1876","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=lfLiQmcAAAAJ&hl=en&oi=ao","Ryan Kastner","eda"
"1669948895-1877","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=OP27m34AAAAJ&hl=en&oi=ao","Aaron Schulman","metrics"
"1669948895-1878","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=L7jhqMIAAAAJ&hl=en&oi=ao","Yusu Wang","ml"
"1669948895-1879","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=4HTITaMAAAAJ&hl=en&oi=ao","Rose Yu","ml"
"1669948895-1880","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=I1w51gUAAAAJ&hl=en&oi=ao","Rajesh K. Gupta 0001","eda"
"1669948895-1881","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Iwd9DdkAAAAJ&hl=en&oi=ao","Mikhail Belkin","ml"
"1669948895-1882","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=8rjreLIAAAAJ&hl=en&oi=ao","Daniele Micciancio","crypto"
"1669948895-1883","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=rWl0U0oAAAAJ&hl=en&oi=ao","Yuanyuan Zhou 0001","os,se"
"1669948895-1884","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=okx33sUAAAAJ&hl=en&oi=ao","Nadia Heninger","security"
"1669948895-1885","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/n/Nakashole:Ndapandula","Ndapandula Nakashole","nlp"
"1669948895-1886","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=0fq5QeIAAAAJ&hl=en&oi=ao","Pavel A. Pevzner","comp. bio"
"1669948895-1887","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=OSPeHGAAAAAJ&hl=en&oi=ao","Earlence Fernandes","security"
"1669948895-1888","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=UmyrEtcAAAAJ&hl=en&oi=ao","Sicun Gao","ai,ml,logic"
"1669948895-1889","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=G5Sg9DEAAAAJ&hl=en&oi=ao","Tara Javidi","ml,vision,eda"
"1669948895-1890","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Y7MCOdYAAAAJ&hl=en&oi=ao","Tzu-Mao Li","graphics"
"1669948895-1891","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=CxzUX0EAAAAJ&hl=en&oi=ao","Nadia Polikarpova","pl"
"1669948895-1892","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=mc9BzYwAAAAJ&hl=en&oi=ao","Tauhidur Rahman","hci"
"1669948895-1893","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=0kOHVOkAAAAJ&hl=en&oi=ao","Michael Thomas Tolley","robotics"
"1669948895-1894","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=KMVQjuQAAAAJ&hl=en&oi=ao","Nadir Weibel","hci"
"1669948895-1895","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=5Aut7EEAAAAJ&hl=en&oi=ao","Garrison W. Cottrell","ai"
"1669948895-1896","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=IivlhesAAAAJ&hl=en&oi=ao","Haojian Jin","hci"
