web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669949765-2471","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=X08l_4IAAAAJ&hl=en&oi=ao","Dinesh Manocha","robotics"
"1669949765-2472","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=PbEw81gAAAAJ&hl=en&oi=ao","Hal Daumé III","nlp"
"1669949765-2473","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=BT4XTP4AAAAJ&hl=en&oi=ao","Jordan L. Boyd-Graber","nlp"
"1669949765-2474","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=QgDpfCQAAAAJ&hl=en&oi=ao","John P. Dickerson","ai,ml"
"1669949765-2475","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=KmSuVtgAAAAJ&hl=en&oi=ao","Tom Goldstein","ml"
"1669949765-2476","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=SQ1eGN4AAAAJ&hl=en&oi=ao","MohammadTaghi Hajiaghayi","theory"
"1669949765-2477","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=pp848fYAAAAJ&hl=en&oi=ao","Jia-Bin Huang","vision"
"1669949765-2478","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=mIF9BowAAAAJ&hl=en&oi=ao","Abhinav Shrivastava","vision"
"1669949765-2479","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=5ExRjncAAAAJ&hl=en&oi=ao","Michelle L. Mazurek","security"
"1669949765-2480","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=H4rKFc8AAAAJ&hl=en&oi=ao","Jonathan Katz","security,crypto"
"1669949765-2481","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=LoQXe24AAAAJ&hl=en&oi=ao","Niklas Elmqvist","visualization"
"1669949765-2482","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=ugFNit4AAAAJ&hl=en&oi=ao","Ming C. Lin","graphics,robotics"
"1669949765-2483","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=7QmEsOwAAAAJ&hl=en&oi=ao","Yiannis Aloimonos","robotics"
"1669949765-2484","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=lptAmrMAAAAJ&hl=en&oi=ao","Soheil Feizi","ml"
"1669949765-2485","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=KW0FmzgAAAAJ&hl=en&oi=ao","Matthias Zwicker","vision,graphics,ai"
"1669949765-2486","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=WH2KmRgAAAAJ&hl=en&oi=ao","David Jacobs 0001","vision"
