web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669950060-2961","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=WHOHV3AAAAAJ&hl=en&oi=ao","Dan Roth","nlp"
"1669950060-2962","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=h6h5FdoAAAAJ&hl=en&oi=ao","Vijay Kumar 0001","robotics"
"1669950060-2963","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=dGs2BcIAAAAJ&hl=en&oi=ao","Kostas Daniilidis","robotics,vision"
"1669950060-2964","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=kLUQrrYAAAAJ&hl=en&oi=ao","Aaron Roth 0001","ml,theory,ecom"
"1669950060-2965","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=6zm5XD8AAAAJ&hl=en&oi=ao","Mark Yim","robotics"
"1669950060-2966","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=nv-MV58AAAAJ&hl=en&oi=ao","Chris Callison-Burch","nlp"
"1669950060-2967","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Kia-4B0AAAAJ&hl=en&oi=ao","George J. Pappas","robotics"
"1669950060-2968","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=HriWXcEAAAAJ&hl=en&oi=ao","Sanjeev Khanna","theory"
"1669950060-2969","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=jTivVMEAAAAJ&hl=en&oi=ao","Chenfanfu Jiang","graphics"
"1669950060-2970","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=cxYepGkAAAAJ&hl=en&oi=ao","Osbert Bastani","ml"
"1669950060-2971","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=KCiDjbkAAAAJ&hl=en&oi=ao","Lyle H. Ungar","nlp"
"1669950060-2972","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Sm14jYIAAAAJ&hl=en&oi=ao","Jianbo Shi","vision"
"1669950060-2973","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/h/Hassani:Seyed_Hamed","Seyed Hamed Hassani","ml"
"1669950060-2974","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=fmsV6nEAAAAJ&hl=en&oi=ao","Mayur Naik","pl"
"1669950060-2975","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=kBGGEjUAAAAJ&hl=en&oi=ao","Insup Lee","embedded"
"1669950060-2976","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=kWnv_YkAAAAJ&hl=en&oi=ao","Rajeev Alur","logic"
"1669950060-2977","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=8iQk0DIAAAAJ&hl=en&oi=ao","Michael Kearns","ml"
"1669950060-2978","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/k/Koditschek:Daniel_E%3D","Daniel E. Koditschek","robotics"
"1669950060-2979","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=lPM8k54AAAAJ&hl=en&oi=ao","Anindya De","theory"
"1669950060-2980","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=z7lkXXkAAAAJ&hl=en&oi=ao","Shivani Agarwal 0001","ml"
"1669950060-2981","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Bh8bGCYAAAAJ&hl=en&oi=ao","M. Ani Hsieh","robotics"
"1669950060-2982","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=QxLpghAAAAAJ&hl=en&oi=ao","Dinesh Jayaraman","vision,ml"
"1669950060-2983","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=ojH7GEgAAAAJ&hl=en&oi=ao","Linh T. X. Phan","embedded"
"1669950060-2984","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=vMDCJHcAAAAJ&hl=en&oi=ao","Camillo J. Taylor","robotics"
"1669950060-2985","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=HZPnJ9gAAAAJ&hl=en&oi=ao","Lingjie Liu","vision"
"1669950060-2986","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=z84dqmcAAAAJ&hl=en&oi=ao","Vincent Liu","networks"
"1669950060-2987","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/b/Bajcsy:Ruzena","Ruzena Bajcsy","robotics"
"1669950060-2988","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/d/Devietti:Joseph","Joseph Devietti","arch"
"1669950060-2989","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=HF2G3LAAAAAJ&hl=en&oi=ao","Boon Thau Loo","networks,db"
"1669950060-2990","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=vXQdb5kAAAAJ&hl=en&oi=ao","Ani Nenkova","nlp"
"1669950060-2991","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=6RxMYNEAAAAJ&hl=en&oi=ao","Mark Yatskar","nlp"
"1669950060-2992","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=kqPhodQAAAAJ&hl=en&oi=ao","Andreas Haeberlen","os,networks"
"1669950060-2993","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=pNaNj8EAAAAJ&hl=en&oi=ao","Sebastian Angel","security,os"
"1669950060-2994","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=RtNVud4AAAAJ&hl=en&oi=ao","Yuxin Chen 0002","ml"
"1669950060-2995","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=0gkajvEAAAAJ&hl=en&oi=ao","Jacob R. Gardner","ml"
"1669950060-2996","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Zqz4CQoAAAAJ&hl=en&oi=ao","Surbhi Goel","ml"
"1669950060-2997","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Uhf4nBkAAAAJ&hl=en&oi=ao","Weijie J. Su","ml"
"1669950060-2998","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Yh0IoBgAAAAJ&hl=en&oi=ao","Erik Waingarten","theory"
"1669950060-2999","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=19kNRU0AAAAJ&hl=en&oi=ao","Steve Zdancewic","pl"
"1669950060-3000","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=c_z5hWEAAAAJ&hl=en&oi=ao","Pratik Chaudhari","ml,robotics"
"1669950060-3001","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=2kkddh0AAAAJ&hl=en&oi=ao","Benjamin C. Pierce","pl"
"1669950060-3002","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/s/Sung:Cynthia_R%3D","Cynthia R. Sung","robotics"
"1669950060-3003","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=vPOl-IwAAAAJ&hl=en&oi=ao","Ryan Marcus","db"
"1669950060-3004","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=lccNQ3AAAAAJ&hl=en&oi=ao","Andrew Head","hci"
"1669950060-3005","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=2wJaIkEAAAAJ&hl=en&oi=ao","Zachary G. Ives","db,nlp"
"1669950060-3006","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=aiPgs4oAAAAJ&hl=en&oi=ao","Sampath Kannan","theory,security,ecom"
"1669950060-3007","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=4Tnj6PcAAAAJ&hl=en&oi=ao","Benjamin C. Lee","arch"
"1669950060-3008","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=fds2VpgAAAAJ&hl=en&oi=ao","Alexander Rakhlin","ml"
"1669950060-3009","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=F5PfbSwAAAAJ&hl=en&oi=ao","Mingmin Zhao","vision,mobile"
"1669950060-3010","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Po0BT08AAAAJ&hl=en&oi=ao","Gushu Li","arch"
"1669950060-3011","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=URyAEqUAAAAJ&hl=en&oi=ao","Pratyush Mishra","security,crypto"
"1669950060-3012","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=LW4lnZYAAAAJ&hl=en&oi=ao","Susan B. Davidson","db"
"1669950060-3013","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=nintPk8AAAAJ&hl=en&oi=ao","André DeHon","security,arch,pl"
"1669950060-3014","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=DCSFMuAAAAAJ&hl=en&oi=ao","Michael Posa","robotics"
"1669950060-3015","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=pWnTMRkAAAAJ&hl=en&oi=ao","Eric Wong 0001","ml"
"1669950060-3016","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=QGYL3tAAAAAJ&hl=en&oi=ao","Jing Li 0073","arch,eda"
"1669950060-3017","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=zHCTHbYAAAAJ&hl=en&oi=ao","Sudipto Guha","ml,theory"
"1669950060-3018","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=aF8rREMAAAAJ&hl=en&oi=ao","Jonathan M. Smith","arch,security,metrics"
"1669950060-3019","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=b9WsJN4AAAAJ&hl=en&oi=ao","Rahul Mangharam","embedded"
"1669950060-3020","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=18exh0MAAAAJ&hl=en&oi=ao","Tal Rabin","security,crypto"
"1669950060-3021","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=niE2OkIAAAAJ&hl=en&oi=ao","Mitchell P. Marcus","nlp"
"1669950060-3022","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=LhOAiXMAAAAJ&hl=en&oi=ao","Duncan J. Watts","ecom"
"1669950060-3023","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/w/Weirich:Stephanie","Stephanie Weirich","pl"
"1669950060-3024","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=e8e5qGcAAAAJ&hl=en&oi=ao","Norman I. Badler","robotics"
"1669950060-3025","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=6pA2wn4AAAAJ&hl=en&oi=ao","Danaë Metaxa","hci"
"1669950060-3026","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/t/Tannen:Val","Val Tannen","db"
"1669950060-3027","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=JnWSU4oAAAAJ&hl=en&oi=ao","Rakesh V. Vohra","ecom"
