Source,Target,Type,Id,Label
S Chang,K McKeown,Undirected,1,17.333333333333336
S Chang,J Yang,Undirected,2,80.94285714285715
S Chang,M Kim,Undirected,3,0.2857142857142857
Z Yu,C Zheng,Undirected,4,9.0
Z Yu,K McKeown,Undirected,5,0.0
E Bareinboim,C Vondrick,Undirected,6,1.714285714285714
D Blei,C Vondrick,Undirected,7,0.0
D Blei,I Pe'er,Undirected,8,0.0
D Blei,V Misra,Undirected,9,3.0
S Jana,C Vondrick,Undirected,10,1.0
S Jana,B Ray,Undirected,11,1653.4000000000003
S Jana,R Gu,Undirected,12,55.19999999999999
S Jana,J Nieh,Undirected,13,15.999999999999998
S Jana,A Cidon,Undirected,14,4.4
S Jana,S Stolfo,Undirected,15,120.0
C Zheng,D Blei,Undirected,16,0.0
C Zheng,C Vondrick,Undirected,17,14.4
C Zheng,S Nayar,Undirected,18,3.5
T Roughgarden,C Papadimitriou,Undirected,19,73.33333333333334
T Roughgarden,R Wright,Undirected,20,0.0
S Song,C Zheng,Undirected,21,0.0
S Song,C Vondrick,Undirected,22,66.71428571428572
S Song,B Ray,Undirected,23,53.714285714285715
K McKeown,J Hirschberg,Undirected,24,402.79999999999995
E Katz-Bassett,G Zussman,Undirected,25,17.142857142857142
J Yang,E Bareinboim,Undirected,26,1.714285714285714
J Yang,S Jana,Undirected,27,1974.5666666666673
J Yang,C Vondrick,Undirected,28,221.42857142857147
J Yang,S Song,Undirected,29,53.714285714285715
J Yang,B Ray,Undirected,30,439.58095238095234
J Yang,R Gu,Undirected,31,65.80952380952382
J Yang,J Nieh,Undirected,32,28.5
J Yang,A Cidon,Undirected,33,9.142857142857142
J Yang,G Kaiser,Undirected,34,4.0
J Yang,S Stolfo,Undirected,35,77.0
J Yang,J Hirschberg,Undirected,36,14.0
P Allen,S Feiner,Undirected,37,28.333333333333332
A Andoni,J Alman,Undirected,38,0.0
B Ray,C Vondrick,Undirected,39,203.51428571428576
B Ray,K McKeown,Undirected,40,6.4
B Ray,G Kaiser,Undirected,41,49.828571428571436
J Nieh,R Gu,Undirected,42,61.009523809523806
J Nieh,G Kaiser,Undirected,43,110.00000000000001
J Nieh,S Stolfo,Undirected,44,0.0
J Nieh,V Misra,Undirected,45,448.60000000000014
T Jebara,P Allen,Undirected,46,145.5
T Jebara,G Kaiser,Undirected,47,42.666666666666664
T Jebara,S Stolfo,Undirected,48,12.0
L Carloni,S Edwards,Undirected,49,0.0
T Malkin,A Andoni,Undirected,50,16.0
T Malkin,S Stolfo,Undirected,51,24.666666666666668
T Malkin,V Misra,Undirected,52,850.3333333333331
T Malkin,Y Erlich,Undirected,53,0.0
M Yannakakis,C Papadimitriou,Undirected,54,6661.666666666668
M Yannakakis,G Zussman,Undirected,55,102.66666666666666
L Chilton,K McKeown,Undirected,56,0.0
A Chaintreau,V Misra,Undirected,57,156.0
S Feiner,K McKeown,Undirected,58,198.54285714285712
K Ross,S Feiner,Undirected,59,4.285714285714286
K Ross,M Kim,Undirected,60,0.0
K Ross,L Gravano,Undirected,61,0.0
P Belhumeur,P Allen,Undirected,62,3.0
P Belhumeur,S Nayar,Undirected,63,885.0666666666667
P Belhumeur,S Feiner,Undirected,64,171.4285714285714
M Kim,B Ray,Undirected,65,763.5
M Kim,S Edwards,Undirected,66,8.0
S Bellovin,T Jebara,Undirected,67,0.0
S Bellovin,R Wright,Undirected,68,0.0
S Stolfo,G Kaiser,Undirected,69,80.33333333333333
L Gravano,S Feiner,Undirected,70,154.00000000000003
V Misra,G Kaiser,Undirected,71,110.00000000000001
V Misra,G Zussman,Undirected,72,40.5
V Misra,S Stolfo,Undirected,73,97.66666666666667
