Source,Target,Type,Id,Label
T Ristenpart,N Dell,Undirected,1,218.53333333333336
N Snavely,B Hariharan,Undirected,2,167.79999999999995
N Snavely,S Marschner,Undirected,3,74.66666666666666
N Snavely,K Bala,Undirected,4,1944.5999999999997
N Snavely,Y Artzi,Undirected,5,196.00000000000003
N Snavely,D Bindel,Undirected,6,65.33333333333333
N Snavely,R Zabih,Undirected,7,0.0
N Snavely,A Davis,Undirected,8,33.0
J Kleinberg,A Benson,Undirected,9,40.0
J Kleinberg,C Danescu-Niculescu-Mizil,Undirected,10,1525.6666666666667
J Kleinberg,L Lee,Undirected,11,1512.0
J Kleinberg,É Tardos,Undirected,12,17446.800000000003
J Kleinberg,D Bindel,Undirected,13,305.3333333333333
C Cardie,K Weinberger,Undirected,14,115.2
C Cardie,A Rush,Undirected,15,17.0
C Cardie,B Hariharan,Undirected,16,61.14285714285715
C Cardie,K Bala,Undirected,17,0.0
C Cardie,Y Artzi,Undirected,18,3.2
C Cardie,P Sengers,Undirected,19,0.8
C Gomes,B Selman,Undirected,20,694.0333333333333
C Gomes,D Shmoys,Undirected,21,140.0
B Hariharan,E Andersen,Undirected,22,2.0
R Kleinberg,J Kleinberg,Undirected,23,623.7333333333332
R Kleinberg,C Cardie,Undirected,24,203.0
R Kleinberg,T Joachims,Undirected,25,1031.3333333333333
R Kleinberg,N Foster,Undirected,26,360.2857142857142
R Kleinberg,É Tardos,Undirected,27,766.3999999999997
R Kleinberg,K Birman,Undirected,28,36.0
Z Zhang,N Snavely,Undirected,29,32.53333333333334
Z Zhang,B Hariharan,Undirected,30,31.2
Z Zhang,S Marschner,Undirected,31,12.0
Z Zhang,M Udell,Undirected,32,0.4
Z Zhang,S Azenkot,Undirected,33,15.833333333333332
Z Zhang,C Batten,Undirected,34,28.495238095238093
Z Zhang,A Sampson,Undirected,35,0.0
T Joachims,P Sengers,Undirected,36,45.333333333333336
A Juels,T Ristenpart,Undirected,37,3700.628571428572
H Kress-Gazit,B Hariharan,Undirected,38,0.6666666666666666
H Kress-Gazit,G Hoffman,Undirected,39,73.66666666666667
K Bala,B Hariharan,Undirected,40,96.26666666666667
K Bala,S Marschner,Undirected,41,410.02857142857135
Y Artzi,M Naaman,Undirected,42,521.3333333333335
N Kallus,M Udell,Undirected,43,404.9333333333333
N Dell,P Sengers,Undirected,44,150.0
F Guimbretière,S Marschner,Undirected,45,261.0
F Guimbretière,N Dell,Undirected,46,166.0
F Guimbretière,M Jung,Undirected,47,0.6666666666666666
F Guimbretière,P Sengers,Undirected,48,150.0
F Guimbretière,E Andersen,Undirected,49,58.4
N Foster,J Hsu,Undirected,50,46.95238095238096
N Foster,D Kozen,Undirected,51,1156.8857142857144
N Foster,K Birman,Undirected,52,1.6666666666666667
S Banerjee,J Kleinberg,Undirected,53,0.0
S Banerjee,R Kleinberg,Undirected,54,0.0
S Banerjee,T Joachims,Undirected,55,58.5
S Banerjee,A Ghosh,Undirected,56,1.5333333333333334
S Banerjee,M Jung,Undirected,57,4.0
S Banerjee,D Estrin,Undirected,58,95.33333333333331
L Lee,C Cardie,Undirected,59,140.0
L Lee,J Hsu,Undirected,60,0.0
L Lee,C Danescu-Niculescu-Mizil,Undirected,61,3196.9333333333334
L Lee,D Mimno,Undirected,62,117.33333333333334
L Lee,R Zabih,Undirected,63,0.0
K Sridharan,J Acharya,Undirected,64,42.0
K Sridharan,É Tardos,Undirected,65,44.26666666666666
D Mimno,T Joachims,Undirected,66,652.0
D Mimno,D Bindel,Undirected,67,37.333333333333336
M Naaman,T Ristenpart,Undirected,68,70.40000000000002
M Naaman,N Dell,Undirected,69,2.6666666666666665
M Naaman,S Azenkot,Undirected,70,2.0
M Naaman,D Estrin,Undirected,71,73.33333333333333
L Alvisi,R Renesse,Undirected,72,0.0
D Bindel,S Marschner,Undirected,73,2.0
A Ghosh,J Kleinberg,Undirected,74,72.0
A Ghosh,R Kleinberg,Undirected,75,163.0
A Ghosh,T Joachims,Undirected,76,57.333333333333336
D Kozen,J Hsu,Undirected,77,46.95238095238096
R Zabih,T Joachims,Undirected,78,28.0
M Jung,M Naaman,Undirected,79,5.6
M Jung,T Bhattacharjee,Undirected,80,0.2857142857142857
M Jung,E Andersen,Undirected,81,49.2
H Weatherspoon,R Kleinberg,Undirected,82,1.9999999999999998
H Weatherspoon,P Sengers,Undirected,83,2.6666666666666665
H Weatherspoon,J Martínez,Undirected,84,0.0
H Weatherspoon,K Birman,Undirected,85,242.59999999999997
D Estrin,T Joachims,Undirected,86,0.0
D Estrin,A Juels,Undirected,87,18.0
D Estrin,N Dell,Undirected,88,80.33333333333334
K Birman,C Cardie,Undirected,89,0.0
K Birman,B Hariharan,Undirected,90,14.000000000000002
K Birman,K Bala,Undirected,91,0.0
K Birman,R Renesse,Undirected,92,854.0857142857143
