Source,Target,Type,Id,Label
T Kim,A Endert,Undirected,1,7.0
T Kim,T Krishna,Undirected,2,2.4
T Kim,J Stasko,Undirected,3,2.0
T Kim,J Arulraj,Undirected,4,19.2
T Kim,B Saltaformaggio,Undirected,5,20.571428571428573
T Kim,A Boldyreva,Undirected,6,4.0
F Dellaert,J Rehg,Undirected,7,0.0
F Dellaert,Z Kira,Undirected,8,118.93333333333331
F Dellaert,I Essa,Undirected,9,88.0
F Dellaert,G Turk,Undirected,10,5.0
F Dellaert,T Balch,Undirected,11,3419.3714285714286
D Yang,T Zhao,Undirected,12,0.0
D Yang,J Hays,Undirected,13,1.0
D Yang,H Park,Undirected,14,1.1428571428571428
D Yang,S Kumar,Undirected,15,80.6
D Yang,A Bruckman,Undirected,16,58.400000000000006
D Yang,M Ahamad,Undirected,17,0.0
W Lee,T Kim,Undirected,18,957.3904761904764
W Lee,M Bailey,Undirected,19,0.0
W Lee,I Essa,Undirected,20,44.0
W Lee,V Kolesnikov,Undirected,21,137.83333333333331
W Lee,A Keromytis,Undirected,22,0.0
W Lee,H Park,Undirected,23,8.2
W Lee,M Antonakakis,Undirected,24,2345.5
W Lee,B Saltaformaggio,Undirected,25,51.33333333333333
W Lee,A Orso,Undirected,26,108.83333333333333
W Lee,V Sarkar,Undirected,27,1293.5714285714284
W Lee,A Boldyreva,Undirected,28,64.66666666666667
W Lee,S Pande,Undirected,29,58.5
W Lee,M Ahamad,Undirected,30,10.285714285714286
W Lee,C Pu,Undirected,31,27.085714285714285
J Hays,Z Kira,Undirected,32,815.1666666666665
J Hays,J Hoffman,Undirected,33,73.0
J Hays,G Turk,Undirected,34,200.0
M Qureshi,M Prvulovic,Undirected,35,0.0
S Chernova,T Plötz,Undirected,36,0.0
S Chernova,Z Kira,Undirected,37,43.0
S Chernova,I Essa,Undirected,38,9.0
S Chernova,A Thomaz,Undirected,39,1.7142857142857142
S Chernova,M Gombolay,Undirected,40,15.333333333333332
S Chernova,H Ravichandar,Undirected,41,364.095238095238
M Bailey,M Antonakakis,Undirected,42,2324.0666666666666
T Plötz,I Essa,Undirected,43,110.66666666666666
T Plötz,T Starner,Undirected,44,20.25
T Plötz,L Wilcox,Undirected,45,4.0
S Vempala,G Turk,Undirected,46,0.0
S Vempala,E Zegura,Undirected,47,0.0
J Hoffman,Z Kira,Undirected,48,0.0
J Abernethy,J Hays,Undirected,49,808.5
J Abernethy,Z Kira,Undirected,50,808.5
I Essa,J Rehg,Undirected,51,155.14285714285714
I Essa,J Hays,Undirected,52,754.4285714285714
I Essa,J Hoffman,Undirected,53,47.33333333333333
I Essa,T Starner,Undirected,54,741.0333333333335
I Essa,G Turk,Undirected,55,1656.4
I Essa,M Ahamad,Undirected,56,22.0
I Essa,U Ramachandran,Undirected,57,4.8
A Endert,J Stasko,Undirected,58,377.5142857142857
A Endert,S Navathe,Undirected,59,74.85714285714286
T Krishna,U Ramachandran,Undirected,60,0.0
V Kolesnikov,A Keromytis,Undirected,61,0.0
V Kolesnikov,D Devecsery,Undirected,62,11.0
T Starner,R Arriaga,Undirected,63,0.0
T Starner,R Grinter,Undirected,64,12.0
T Starner,U Ramachandran,Undirected,65,0.0
T Starner,M Jackson,Undirected,66,59.028571428571425
H Park,T Kim,Undirected,67,1.6666666666666667
H Park,J Hoffman,Undirected,68,1.0
H Park,A Endert,Undirected,69,199.73333333333332
H Park,J Stasko,Undirected,70,359.557142857143
H Park,R Vuduc,Undirected,71,23.19047619047619
H Park,A Gray,Undirected,72,0.0
H Park,M Ahamad,Undirected,73,129.33333333333334
D Xu,T Kim,Undirected,74,80.31587301587302
D Xu,J Arulraj,Undirected,75,20.0
D Xu,M Singh,Undirected,76,82.0
D Xu,B Saltaformaggio,Undirected,77,513.604761904762
D Xu,S Navathe,Undirected,78,20.0
D Xu,M Ammar,Undirected,79,41.0
P Chau,A Endert,Undirected,80,0.0
J Stasko,G Turk,Undirected,81,1.0
J Stasko,A Gray,Undirected,82,0.0
J Stasko,M Ahamad,Undirected,83,156.00000000000003
J Stasko,R Basole,Undirected,84,0.0
J Stasko,S Navathe,Undirected,85,0.0
M Antonakakis,M Ahamad,Undirected,86,181.0
R Beyah,B Saltaformaggio,Undirected,87,0.6666666666666666
M Riedl,A Thomaz,Undirected,88,60.0
M Riedl,A Ritter,Undirected,89,36.0
M Riedl,R Arriaga,Undirected,90,11.333333333333334
S Aluru,M Ahamad,Undirected,91,0.0
H Kim,T Kim,Undirected,92,179.16666666666666
H Kim,W Lee,Undirected,93,3.2
