Source,Target,Type,Id,Label
D Rus,W Matusik,Undirected,1,165.39047619047625
D Rus,D Katabi,Undirected,2,1193.9333333333334
D Rus,S Madden,Undirected,3,116.2
D Rus,R Tedrake,Undirected,4,371.46666666666664
D Rus,A Solar-Lezama,Undirected,5,108.57142857142857
D Rus,H Balakrishnan,Undirected,6,118.60000000000002
D Rus,F Adib,Undirected,7,236.4
D Rus,S Amarasinghe,Undirected,8,0.0
D Rus,E Demaine,Undirected,9,1089.6
D Rus,S Teller,Undirected,10,1319.0
D Rus,N Lynch,Undirected,11,2.0
W Freeman,P Isola,Undirected,12,0.0
W Freeman,A Willsky,Undirected,13,296.0
W Matusik,W Freeman,Undirected,14,139.77142857142854
W Matusik,J Ragan-Kelley,Undirected,15,189.0
W Matusik,S Amarasinghe,Undirected,16,0.0
F Durand,W Freeman,Undirected,17,1182.7714285714283
F Durand,W Matusik,Undirected,18,2265.1380952380946
F Durand,D Katabi,Undirected,19,615.2
F Durand,P Isola,Undirected,20,28.133333333333333
F Durand,F Adib,Undirected,21,439.2
F Durand,J Ragan-Kelley,Undirected,22,2166.0666666666657
F Durand,S Amarasinghe,Undirected,23,1503.0
F Durand,S Teller,Undirected,24,0.0
D Katabi,F Adib,Undirected,25,6031.833333333332
D Katabi,D Perreault,Undirected,26,115.0
C Daskalakis,A Moitra,Undirected,27,19.2
C Daskalakis,A Ozdaglar,Undirected,28,36.0
C Daskalakis,E Demaine,Undirected,29,5.866666666666668
S Madden,F Durand,Undirected,30,0.0
S Madden,D Katabi,Undirected,31,0.0
S Madden,M Alizadeh,Undirected,32,6.0
S Madden,A Solar-Lezama,Undirected,33,488.3333333333333
S Madden,P Indyk,Undirected,34,240.66666666666666
S Madden,J Andreas,Undirected,35,20.0
S Madden,N Zeldovich,Undirected,36,66.66666666666667
S Madden,J Shun,Undirected,37,12.8
S Madden,R Rubinfeld,Undirected,38,141.33333333333334
S Jegelka,T Broderick,Undirected,39,56.0
V Vaikuntanathan,N Zeldovich,Undirected,40,948.9999999999999
A Solar-Lezama,M Carbin,Undirected,41,65.33333333333334
A Solar-Lezama,C Leiserson,Undirected,42,26.0
P Indyk,W Matusik,Undirected,43,0.0
P Indyk,D Katabi,Undirected,44,1620.0833333333333
P Indyk,F Adib,Undirected,45,232.0
P Indyk,R Rubinfeld,Undirected,46,280.3285714285715
J Andreas,A Solar-Lezama,Undirected,47,9.333333333333334
M Rinard,D Katabi,Undirected,48,4.0
M Rinard,A Solar-Lezama,Undirected,49,215.83333333333337
M Rinard,M Carbin,Undirected,50,685.6
M Rinard,S Amarasinghe,Undirected,51,146.85714285714286
M Rinard,A Agarwal,Undirected,52,567.2666666666667
M Rinard,N Lynch,Undirected,53,0.0
N Zeldovich,D Katabi,Undirected,54,90.0
N Zeldovich,A Solar-Lezama,Undirected,55,194.0
N Zeldovich,A Chlipala,Undirected,56,299.19999999999993
A Moitra,D Sontag,Undirected,57,497.75
A Moitra,A Madry,Undirected,58,2.0
A Moitra,S Hopkins,Undirected,59,200.00000000000003
H Balakrishnan,D Katabi,Undirected,60,732.0
H Balakrishnan,S Madden,Undirected,61,4700.266666666665
H Balakrishnan,M Alizadeh,Undirected,62,878.7238095238095
H Balakrishnan,N Zeldovich,Undirected,63,3444.000000000002
H Balakrishnan,A Belay,Undirected,64,219.6
H Balakrishnan,E Demaine,Undirected,65,1136.4999999999998
H Balakrishnan,S Teller,Undirected,66,2796.5
H Balakrishnan,A Agarwal,Undirected,67,44.4
D Sontag,B Berger,Undirected,68,18.666666666666668
D Shah,M Alizadeh,Undirected,69,0.0
D Shah,H Balakrishnan,Undirected,70,1167.0
D Shah,A Ozdaglar,Undirected,71,59.166666666666686
D Shah,D Boning,Undirected,72,13.0
D Shah,C Uhler,Undirected,73,7.2
D Shah,A Agarwal,Undirected,74,91.53333333333333
D Shah,A Willsky,Undirected,75,30.666666666666668
D Shah,M Médard,Undirected,76,1283.1999999999998
D Shah,P Golland,Undirected,77,4.0
D Shah,P Parrilo,Undirected,78,0.0
R Williams,V Williams,Undirected,79,3.0
D Karger,S Madden,Undirected,80,735.2857142857142
D Karger,P Indyk,Undirected,81,2.4000000000000004
D Karger,H Balakrishnan,Undirected,82,34930.466666666674
D Karger,D Sontag,Undirected,83,40.4
D Karger,D Shah,Undirected,84,1069.3333333333333
D Karger,M Médard,Undirected,85,223.71428571428575
J Ragan-Kelley,A Chlipala,Undirected,86,6.0
J Ragan-Kelley,S Amarasinghe,Undirected,87,1620.0000000000002
M Carbin,A Chlipala,Undirected,88,7.0
M Carbin,S Amarasinghe,Undirected,89,837.0000000000002
S Amarasinghe,B Berger,Undirected,90,15.6
T Broderick,C Uhler,Undirected,91,18.666666666666668
L Daniel,D Boning,Undirected,92,324.2857142857143
M Ghobadi,M Alizadeh,Undirected,93,15.142857142857142
J Shun,S Amarasinghe,Undirected,94,105.33333333333333
A Ozdaglar,D Boning,Undirected,95,0.0
A Ozdaglar,M Médard,Undirected,96,272.5
A Ozdaglar,J Tsitsiklis,Undirected,97,70.66666666666667
A Ozdaglar,P Parrilo,Undirected,98,45.666666666666664
A Belay,M Alizadeh,Undirected,99,17.0
A Belay,N Zeldovich,Undirected,100,22.8
E Demaine,P Indyk,Undirected,101,1.5
E Demaine,S Teller,Undirected,102,1134.5
E Demaine,C Leiserson,Undirected,103,0.0
M Ghassemi,P Szolovits,Undirected,104,943.6952380952379
M Ghassemi,A Lo,Undirected,105,0.0
P Szolovits,D Sontag,Undirected,106,0.0
P Szolovits,D Boning,Undirected,107,0.0
S Teller,R Tedrake,Undirected,108,0.0
A Agarwal,D Katabi,Undirected,109,54.6
A Agarwal,M Alizadeh,Undirected,110,45.2
A Agarwal,M Carbin,Undirected,111,433.66666666666663
A Agarwal,S Amarasinghe,Undirected,112,550.8333333333334
A Agarwal,A Belay,Undirected,113,6.666666666666667
A Agarwal,C Uhler,Undirected,114,7.2
M Kellis,P Indyk,Undirected,115,32.0
M Kellis,B Berger,Undirected,116,143.2
M Kellis,M Médard,Undirected,117,469.5
M Kellis,P Golland,Undirected,118,6.0
C Leiserson,S Amarasinghe,Undirected,119,2.0
C Leiserson,R Rivest,Undirected,120,196.33333333333331
C Leiserson,J Tsitsiklis,Undirected,121,0.0
M Médard,D Katabi,Undirected,122,5718.333333333334
M Médard,J Tsitsiklis,Undirected,123,0.0
P Golland,S Jegelka,Undirected,124,0.0
H Lee,V Williams,Undirected,125,7.0
H Lee,M Kellis,Undirected,126,4.0
H Lee,M Médard,Undirected,127,110.0
N Lynch,D Katabi,Undirected,128,0.0
N Lynch,A Agarwal,Undirected,129,0.0
N Lynch,M Médard,Undirected,130,110.2
P Parrilo,A Willsky,Undirected,131,1.3333333333333333
R Weiss,B Berger,Undirected,132,4.666666666666667
R Weiss,R Sarpeshkar,Undirected,133,5.333333333333333
