Source,Target,Type,Id,Label
K Cho,J Bruna,Undirected,1,61.42857142857142
K Cho,S Bowman,Undirected,2,30.333333333333332
K Cho,R Grishman,Undirected,3,702.0
K Cho,R Bonneau,Undirected,4,34.333333333333336
A Wilson,D Neill,Undirected,5,56.96666666666667
D Panozzo,J Bruna,Undirected,6,276.4666666666666
D Panozzo,C Silva,Undirected,7,215.3809523809524
D McCoy,R Greenstadt,Undirected,8,314.7714285714286
J Bruna,S Chopra,Undirected,9,302.6666666666667
Y Dodis,V Shoup,Undirected,10,380.6666666666667
C Silva,K Cho,Undirected,11,68.85714285714286
C Silva,J Bruna,Undirected,12,213.6666666666667
C Silva,O Nov,Undirected,13,141.14285714285714
C Silva,R Bonneau,Undirected,14,29.6
C Musco,C Hegde,Undirected,15,0.0
A Panda,D Panozzo,Undirected,16,5.333333333333333
A Panda,A Sivaraman,Undirected,17,32.34285714285714
R Ranganath,J Bruna,Undirected,18,43.0
R Ranganath,L Subramanian,Undirected,19,2.4
S Garg,Y Dodis,Undirected,20,0.9999999999999999
S Garg,R Karri,Undirected,21,302.552380952381
S Garg,C Hegde,Undirected,22,11.999999999999996
S Garg,M Walfish,Undirected,23,80.4
S Garg,B Dolan-Gavitt,Undirected,24,2328.1666666666665
R Karri,B Dolan-Gavitt,Undirected,25,35.60000000000001
R Karri,N Memon,Undirected,26,30.6
M Ren,G Gerig,Undirected,27,15.399999999999999
J Bonneau,M Walfish,Undirected,28,0.8
J Freire,K Cho,Undirected,29,23.142857142857142
J Freire,C Silva,Undirected,30,940.647619047619
J Freire,C Musco,Undirected,31,12.6
J Freire,D Shasha,Undirected,32,658.5999999999999
J Freire,R Bonneau,Undirected,33,1.1428571428571428
T Wies,R Ranganath,Undirected,34,0.6666666666666666
T Wies,M Walfish,Undirected,35,41.714285714285715
T Wies,L Subramanian,Undirected,36,49.466666666666676
T Wies,J Cappos,Undirected,37,0.5
T Wies,D Shasha,Undirected,38,23.166666666666668
O Nov,M Ball,Undirected,39,19.900000000000002
O Nov,N Memon,Undirected,40,172.0
J Stoyanovich,O Nov,Undirected,41,5.0
B Dolan-Gavitt,D McCoy,Undirected,42,20.4
B Dolan-Gavitt,N Memon,Undirected,43,20.4
J Cappos,B Dolan-Gavitt,Undirected,44,35.0
J Cappos,N Memon,Undirected,45,12.0
D Huang,J Tassarotti,Undirected,46,12.333333333333334
N Memon,D McCoy,Undirected,47,20.4
N Memon,C Hegde,Undirected,48,0.0
D Shasha,L Subramanian,Undirected,49,14.666666666666666
D Shasha,R Bonneau,Undirected,50,97.93333333333334
T Suel,N Memon,Undirected,51,520.6666666666666
A Nealen,O Nov,Undirected,52,37.6
J Togelius,K Cho,Undirected,53,60.0
J Togelius,O Nov,Undirected,54,37.6
J Togelius,N Memon,Undirected,55,168.4
J Togelius,A Nealen,Undirected,56,677.3666666666663
E Wong,N Memon,Undirected,57,8.0
D Geiger,B Goldberg,Undirected,58,0.0
