Source,Target,Type,Id,Label
Y Wang,X Lin,Undirected,1,2865.603174603176
Y Wang,H Nguyen,Undirected,2,11.5
Y Wang,C Wilson,Undirected,3,18.0
Y Wang,E Elhamifar,Undirected,4,8.0
Y Wang,J Dy,Undirected,5,12.666666666666666
Y Wang,C Nita-Rotaru,Undirected,6,0.0
Y Wang,S Ioannidis,Undirected,7,10.0
Y Wang,D Kaeli,Undirected,8,106.85714285714286
Y Wang,T Padir,Undirected,9,0.0
Y Wang,H Jiang,Undirected,10,80.9
Y Wang,A Oprea,Undirected,11,0.0
Y Wang,G Noubir,Undirected,12,22.499999999999993
D Wichs,J Ullman,Undirected,13,25.5
D Wichs,A Shelat,Undirected,14,57.666666666666664
G Abowd,E Mynatt,Undirected,15,8.285714285714285
G Abowd,M Goodwin,Undirected,16,81.5
H Nguyen,C Amato,Undirected,17,3.8666666666666663
A Mislove,D Choffnes,Undirected,18,1379.6190476190477
C Wilson,A Mislove,Undirected,19,2024.166666666667
C Wilson,D Choffnes,Undirected,20,266.6666666666667
C Wilson,E Kirda,Undirected,21,253.6
C Wilson,W Robertson,Undirected,22,378.6
C Wilson,D Lazer,Undirected,23,1011.7333333333333
J Ullman,A Shelat,Undirected,24,20.0
J Ullman,A Oprea,Undirected,25,116.26666666666668
J Ullman,R Sundaram,Undirected,26,2.6666666666666665
B Wallace,C Brodley,Undirected,27,49.16666666666666
C Amato,T Padir,Undirected,28,2.0
E Kirda,W Robertson,Undirected,29,3766.876190476191
S Behnezhad,M Derakhshan,Undirected,30,594.4666666666662
E Bertini,Y Wang,Undirected,31,2.4
J Dy,E Elhamifar,Undirected,32,1.3333333333333333
J Dy,C Brodley,Undirected,33,62.666666666666664
C Nita-Rotaru,A Mislove,Undirected,34,310.79999999999995
C Nita-Rotaru,D Choffnes,Undirected,35,262.0
C Nita-Rotaru,A Oprea,Undirected,36,634.4
C Nita-Rotaru,S Tripakis,Undirected,37,5.0
C Nita-Rotaru,T Eliassi-Rad,Undirected,38,0.0
S Ioannidis,E Kirda,Undirected,39,7.0
S Ioannidis,J Dy,Undirected,40,130.26666666666662
D Kaeli,X Lin,Undirected,41,40.0
D Kaeli,J Dy,Undirected,42,278.9079365079366
D Kaeli,S Ioannidis,Undirected,43,20.0
D Kaeli,T Padir,Undirected,44,0.0
D Kaeli,C Dunne,Undirected,45,1.0
D Kaeli,H Jiang,Undirected,46,0.0
D Kaeli,J Aslam,Undirected,47,220.2857142857143
D Kaeli,G Cooperman,Undirected,48,11.0
T Padir,E Elhamifar,Undirected,49,28.0
C Dunne,W Gatterbauer,Undirected,50,41.2
M Borkin,C Dunne,Undirected,51,2.0
H Jiang,T Padir,Undirected,52,0.0
H Jiang,R Miller,Undirected,53,2.3333333333333335
H Jiang,M Borkin,Undirected,54,179.33333333333334
M Riedewald,A Mislove,Undirected,55,88.0
M Riedewald,W Gatterbauer,Undirected,56,84.8
M Riedewald,C Dunne,Undirected,57,14.000000000000002
M Riedewald,P Manolios,Undirected,58,5.333333333333333
D Lazer,A Mislove,Undirected,59,590.3999999999999
D Lazer,T Eliassi-Rad,Undirected,60,4.0
D Lazer,A Vespignani,Undirected,61,2795.5
A Oprea,E Kirda,Undirected,62,433.1428571428573
A Oprea,W Robertson,Undirected,63,461.1428571428573
A Oprea,P Hand,Undirected,64,0.0
A Oprea,S Tripakis,Undirected,65,2.6666666666666665
A Oprea,T Eliassi-Rad,Undirected,66,12.8
P Radivojac,O Vitek,Undirected,67,2.2857142857142856
F Tip,J Vitek,Undirected,68,86.53333333333336
H Zhang,Y Wang,Undirected,69,406.1674603174605
H Zhang,X Lin,Undirected,70,378.2626984126985
H Zhang,D Choffnes,Undirected,71,2.0
H Zhang,J Dy,Undirected,72,6.888888888888889
H Zhang,R Miller,Undirected,73,82.95238095238092
H Zhang,H Jiang,Undirected,74,187.33333333333334
H Zhang,E Viola,Undirected,75,0.0
H Zhang,S Holtzen,Undirected,76,5.333333333333333
H Zhang,H Singh,Undirected,77,0.0
H Zhang,A Vespignani,Undirected,78,4.083333333333333
H Zhang,J Shin,Undirected,79,2.857142857142857
G Noubir,E Kirda,Undirected,80,117.0
A Ranganathan,E Kirda,Undirected,81,0.0
A Ranganathan,G Noubir,Undirected,82,82.0
S Tripakis,C Amato,Undirected,83,0.0
J Vitek,O Vitek,Undirected,84,88.80000000000001
