Source,Target,Type,Id,Label
F Heide,S Rusinkiewicz,Undirected,1,24.8
J Lee,M Martonosi,Undirected,2,94.0
J Lee,S Arora,Undirected,3,166.66666666666666
J Lee,K Jamieson,Undirected,4,59.14285714285715
J Lee,S Rusinkiewicz,Undirected,5,23.142857142857142
J Lee,D Chen,Undirected,6,70.0
J Lee,A Finkelstein,Undirected,7,0.0
J Lee,R Lee,Undirected,8,2.857142857142857
P Mittal,J Rexford,Undirected,9,277.65714285714296
P Mittal,A Narayanan,Undirected,10,24.0
P Mittal,R Lee,Undirected,11,5.6
J Rexford,R Netravali,Undirected,12,0.0
J Rexford,M Freedman,Undirected,13,187.9714285714286
S Arora,E Hazan,Undirected,14,2329.9999999999995
S Arora,D Chen,Undirected,15,34.8
K Narasimhan,O Russakovsky,Undirected,16,84.33333333333333
K Narasimhan,R Netravali,Undirected,17,19.833333333333336
K Jamieson,R Netravali,Undirected,18,1.0
D Walker,J Rexford,Undirected,19,4896.433333333335
D Wentzlaff,P Mittal,Undirected,20,49.0
D Wentzlaff,M Martonosi,Undirected,21,2.0
D Wentzlaff,J Rexford,Undirected,22,98.33333333333333
D Wentzlaff,D Walker,Undirected,23,98.33333333333333
D Chen,K Narasimhan,Undirected,24,4.0
H Yu,J Rexford,Undirected,25,38.0
H Yu,G Kol,Undirected,26,21.333333333333336
H Yu,M Freedman,Undirected,27,2.4000000000000004
A Narayanan,O Russakovsky,Undirected,28,0.0
A Narayanan,J Mayer,Undirected,29,251.33333333333331
A Gupta,J Lee,Undirected,30,4.75
A Gupta,M Martonosi,Undirected,31,609.0
A Gupta,J Rexford,Undirected,32,198.71428571428572
A Gupta,S Arora,Undirected,33,5.0
A Gupta,D Walker,Undirected,34,404.5
A Gupta,O Russakovsky,Undirected,35,103.46666666666668
R Raz,G Kol,Undirected,36,567.0
A Finkelstein,S Rusinkiewicz,Undirected,37,1880.1999999999998
A Monroy-Hernández,O Russakovsky,Undirected,38,0.0
R Lee,J Rexford,Undirected,39,2.0
R Lee,D August,Undirected,40,0.0
Z Dvir,R Raz,Undirected,41,24.0
A Levy,W Lloyd,Undirected,42,0.0
B Chazelle,S Arora,Undirected,43,38.0
B Chazelle,S Rusinkiewicz,Undirected,44,236.8
B Chazelle,A Finkelstein,Undirected,45,140.8
