Source,Target,Type,Id,Label
D Xu,N Li,Undirected,1,0.0
D Xu,M Yin,Undirected,2,4.0
D Xu,J Neville,Undirected,3,0.0
D Xu,S Bagchi,Undirected,4,0.0
D Xu,A Bianchi,Undirected,5,67.3142857142857
D Xu,E Bertino,Undirected,6,0.0
D Xu,D Aliaga,Undirected,7,4.0
D Xu,D Kihara,Undirected,8,0.5
D Xu,Y Lu,Undirected,9,34.0
D Xu,S Prabhakar,Undirected,10,0.0
N Li,D Goldwasser,Undirected,11,0.0
N Li,J Honorio,Undirected,12,17.5
N Li,J Neville,Undirected,13,0.0
N Li,J Blocki,Undirected,14,567.3571428571429
N Li,A Kate,Undirected,15,58.95238095238095
N Li,C Clifton,Undirected,16,13.75
D Goldwasser,J Honorio,Undirected,17,5.0
M Yin,D Goldwasser,Undirected,18,1.7142857142857142
M Yin,Y Hu,Undirected,19,0.75
J Neville,D Goldwasser,Undirected,20,24.666666666666668
J Neville,V Rao,Undirected,21,123.49999999999999
J Ma,N Li,Undirected,22,140.5
J Ma,J Neville,Undirected,23,26.4
J Ma,J Tian,Undirected,24,340.79999999999995
J Ma,Y Hu,Undirected,25,0.5
J Ma,D Kihara,Undirected,26,4.285714285714286
S Bagchi,N Li,Undirected,27,30.0
S Bagchi,D Goldwasser,Undirected,28,101.33333333333333
S Bagchi,A Kate,Undirected,29,0.8
S Bagchi,E Bertino,Undirected,30,5.6
S Bagchi,A Grama,Undirected,31,139.68571428571428
Y Hu,J Tian,Undirected,32,0.3333333333333333
Y Hu,Y Lu,Undirected,33,18.88888888888889
A Bianchi,J Blocki,Undirected,34,0.0
A Kate,H Maji,Undirected,35,5.0
R Yeh,X Tricoche,Undirected,36,15.666666666666668
E Bertino,N Li,Undirected,37,3239.788095238094
E Bertino,J Neville,Undirected,38,0.0
E Bertino,A Elmagarmid,Undirected,39,496.8
E Bertino,C Clifton,Undirected,40,47.54999999999999
E Bertino,S Prabhakar,Undirected,41,485.0
S Jagannathan,R Samanta,Undirected,42,19.0
S Jagannathan,B Delaware,Undirected,43,19.0
A Grama,N Li,Undirected,44,30.0
A Grama,D Gleich,Undirected,45,0.0
A Grama,S Jagannathan,Undirected,46,1086.7333333333327
A Grama,P Drineas,Undirected,47,14.133333333333333
A Grama,A Pothen,Undirected,48,0.0
S Rao,T Rompf,Undirected,49,3.0
W Aref,E Bertino,Undirected,50,0.0
W Aref,A Elmagarmid,Undirected,51,81.0952380952381
W Aref,S Prabhakar,Undirected,52,154.0
Y Zhang,D Xu,Undirected,53,15.0
Y Zhang,N Li,Undirected,54,17.5
Y Zhang,C Jung,Undirected,55,1.0
Y Zhang,B Benes,Undirected,56,1.0
Y Zhang,J Honorio,Undirected,57,17.5
Y Zhang,J Ma,Undirected,58,3.5
Y Zhang,Y Hu,Undirected,59,3.8571428571428568
Y Zhang,E Bertino,Undirected,60,486.5
Y Zhang,B Bullins,Undirected,61,44.0
Y Zhang,D Kihara,Undirected,62,287.87619047619046
Y Zhang,Y Lu,Undirected,63,6.0
Y Zhang,S Prabhakar,Undirected,64,422.0
D Aliaga,B Benes,Undirected,65,11.333333333333334
A Elmagarmid,J Neville,Undirected,66,0.0
E Grigorescu,J Blocki,Undirected,67,27.666666666666668
E Grigorescu,K Quanrud,Undirected,68,6.666666666666667
S Basu,E Bertino,Undirected,69,0.0
C Clifton,A Elmagarmid,Undirected,70,356.0
Y Lu,V Zikas,Undirected,71,15.133333333333331
K Park,J Honorio,Undirected,72,0.0
S Prabhakar,N Li,Undirected,73,0.0
S Prabhakar,J Neville,Undirected,74,377.3333333333333
S Prabhakar,A Elmagarmid,Undirected,75,6.666666666666667
S Prabhakar,D Kihara,Undirected,76,10.0
S Prabhakar,C Clifton,Undirected,77,0.0
S Prabhakar,K Park,Undirected,78,4.0
