Source,Target,Type,Id,Label
P Tan,Y Furukawa,Undirected,1,50.0
P Tan,R Vaughan,Undirected,2,66.8
P Tan,X Peng,Undirected,3,0.2857142857142857
X Yang,J Wang,Undirected,4,12.3
A Tagliasacchi,P Tan,Undirected,5,0.0
A Tagliasacchi,Y Furukawa,Undirected,6,0.0
A Tagliasacchi,A Mahdavi-Amiri,Undirected,7,18.285714285714285
A Tagliasacchi,G Hamarneh,Undirected,8,27.2
J Wang,P Tan,Undirected,9,357.9333333333334
J Wang,S Carpendale,Undirected,10,1.0
J Wang,Z Fang,Undirected,11,3.904761904761905
J Wang,R Shea,Undirected,12,20.1
A Chang,M Savva,Undirected,13,1585.028571428572
M Ester,L Chindelevitch,Undirected,14,1.0
M Savva,Y Furukawa,Undirected,15,9.6
A Sarkar,M Ester,Undirected,16,13.333333333333334
A Sarkar,F Popowich,Undirected,17,110.83333333333333
M Chen,P Tan,Undirected,18,100.4
M Chen,J Wang,Undirected,19,63.37222222222222
M Chen,S Carpendale,Undirected,20,16.666666666666668
M Chen,R Vaughan,Undirected,21,5.333333333333334
M Chen,A Shriraman,Undirected,22,4.4
A Shriraman,R Shea,Undirected,23,3.0
J Liu,P Tan,Undirected,24,0.2857142857142857
J Liu,X Yang,Undirected,25,181.5357142857143
J Liu,J Wang,Undirected,26,110.8952380952381
J Liu,X Peng,Undirected,27,0.2857142857142857
J Liu,M Chen,Undirected,28,194.14285714285717
J Liu,A Shriraman,Undirected,29,3.0
J Liu,M Hefeeda,Undirected,30,10.666666666666666
J Liu,R Shea,Undirected,31,1427.633333333334
K Yin,J Wang,Undirected,32,33.66666666666667
G Hamarneh,S Carpendale,Undirected,33,11.0
G Hamarneh,Z Fang,Undirected,34,42.0
L Chindelevitch,M Libbrecht,Undirected,35,9.73333333333333
