Source,Target,Type,Id,Label
L Guibas,S Savarese,Undirected,1,345.71428571428567
L Guibas,G Wetzstein,Undirected,2,0.0
L Guibas,P Hanrahan,Undirected,3,9074.333333333332
L Guibas,C Piech,Undirected,4,605.0
L Guibas,J Mitchell,Undirected,5,0.0
L Guibas,M Sahami,Undirected,6,366.0
S Savarese,C Finn,Undirected,7,71.53333333333332
C Finn,C Manning,Undirected,8,6.666666666666667
C Finn,D Sadigh,Undirected,9,83.8
C Finn,C Piech,Undirected,10,5.0
C Ré,C Finn,Undirected,11,18.0
C Ré,D Jurafsky,Undirected,12,0.0
C Ré,G Valiant,Undirected,13,55.5
C Ré,C Potts,Undirected,14,0.0
C Ré,K Fatahalian,Undirected,15,77.94285714285715
C Ré,T Hashimoto,Undirected,16,0.0
C Ré,M Wootters,Undirected,17,2.4
C Ré,S Batzoglou,Undirected,18,14.0
M Agrawala,G Wetzstein,Undirected,19,1.3333333333333333
M Agrawala,S Follmer,Undirected,20,82.86666666666666
M Agrawala,P Hanrahan,Undirected,21,866.6380952380953
M Agrawala,K Fatahalian,Undirected,22,49.0
A Sidford,G Valiant,Undirected,23,36.333333333333336
A Sidford,J Duchi,Undirected,24,101.0
A Sidford,O Reingold,Undirected,25,34.0
G Wetzstein,K Winstein,Undirected,26,0.0
D Boneh,C Kozyrakis,Undirected,27,0.0
D Boneh,M Horowitz,Undirected,28,1176.1904761904761
D Boneh,N McKeown,Undirected,29,1777.4666666666667
D Boneh,O Reingold,Undirected,30,112.0
D Boneh,K Winstein,Undirected,31,29.333333333333332
D Jurafsky,C Manning,Undirected,32,89.99999999999997
D Jurafsky,C Finn,Undirected,33,2.4
D Jurafsky,C Potts,Undirected,34,1180.9333333333334
D Jurafsky,T Hashimoto,Undirected,35,6.857142857142857
D Jurafsky,C Piech,Undirected,36,3.2
E Brunskill,C Finn,Undirected,37,0.0
E Brunskill,D Jurafsky,Undirected,38,113.33333333333333
E Brunskill,M Bernstein,Undirected,39,0.8
E Brunskill,G Valiant,Undirected,40,14.666666666666666
E Brunskill,J Landay,Undirected,41,16.666666666666668
E Brunskill,T Hashimoto,Undirected,42,0.0
E Brunskill,C Piech,Undirected,43,2.6666666666666665
M Zaharia,C Ré,Undirected,44,10.0
M Zaharia,D Boneh,Undirected,45,41.0
M Zaharia,A Aiken,Undirected,46,918.9333333333334
M Zaharia,C Kozyrakis,Undirected,47,146.03809523809522
M Zaharia,P Hanrahan,Undirected,48,37.333333333333336
M Zaharia,S Katti,Undirected,49,8.57142857142857
M Zaharia,C Potts,Undirected,50,133.0
M Zaharia,K Olukotun,Undirected,51,9.0
M Zaharia,T Hashimoto,Undirected,52,37.199999999999996
M Zaharia,K Winstein,Undirected,53,4.666666666666667
A Aiken,K Fatahalian,Undirected,54,201.1428571428571
A Aiken,W Dally,Undirected,55,65.14285714285712
A Aiken,M Sahami,Undirected,56,48.0
C Liu,S Savarese,Undirected,57,8.4
C Liu,M Bernstein,Undirected,58,4.0
C Liu,C Barrett,Undirected,59,158.0
C Liu,M Horowitz,Undirected,60,2.3333333333333335
J Bohg,S Savarese,Undirected,61,127.19999999999999
J Bohg,D Sadigh,Undirected,62,48.2
C Kozyrakis,S Katti,Undirected,63,49.6
C Kozyrakis,K Olukotun,Undirected,64,1856.5238095238096
C Kozyrakis,M Horowitz,Undirected,65,868.1999999999999
C Kozyrakis,N McKeown,Undirected,66,4.0
C Kozyrakis,K Winstein,Undirected,67,4.666666666666667
G Valiant,J Duchi,Undirected,68,2.6666666666666665
P Hanrahan,A Aiken,Undirected,69,189.6
P Hanrahan,S Follmer,Undirected,70,3.9999999999999996
P Hanrahan,K Fatahalian,Undirected,71,888.4000000000001
P Hanrahan,W Dally,Undirected,72,22.0
S Katti,K Winstein,Undirected,73,12.8
C Potts,T Hashimoto,Undirected,74,0.0
A Goel,C Potts,Undirected,75,0.0
A Goel,N McKeown,Undirected,76,1420.6000000000004
K Olukotun,C Ré,Undirected,77,754.9047619047617
K Olukotun,M Horowitz,Undirected,78,0.857142857142857
K Olukotun,F Kjolstad,Undirected,79,0.0
C Barrett,A Aiken,Undirected,80,0.0
C Barrett,P Hanrahan,Undirected,81,23.333333333333336
C Barrett,A Goel,Undirected,82,27.666666666666668
C Barrett,M Horowitz,Undirected,83,3.0
M Charikar,A Sidford,Undirected,84,62.16666666666667
M Charikar,G Valiant,Undirected,85,800.0
M Charikar,A Goel,Undirected,86,1639.6571428571426
M Charikar,N Anari,Undirected,87,19.5
M Charikar,O Reingold,Undirected,88,25.0
T Hashimoto,J Duchi,Undirected,89,70.66666666666667
M Horowitz,P Hanrahan,Undirected,90,2969.0
M Horowitz,W Dally,Undirected,91,427.0
N McKeown,G Valiant,Undirected,92,0.0
N McKeown,S Katti,Undirected,93,1793.466666666667
N McKeown,M Horowitz,Undirected,94,637.4
N McKeown,C Piech,Undirected,95,60.49999999999999
N McKeown,M Sahami,Undirected,96,40.5
D James,J Bohg,Undirected,97,0.0
D James,K Fatahalian,Undirected,98,0.0
N Anari,A Sidford,Undirected,99,19.5
N Anari,D Sadigh,Undirected,100,50.0
