Source,Target,Type,Id,Label
S Levine,P Abbeel,Undirected,1,51939.761904761894
S Levine,T Darrell,Undirected,2,8904.566666666675
S Levine,M Jordan,Undirected,3,7292.0
S Levine,J Malik,Undirected,4,3805.4285714285706
S Levine,A Efros,Undirected,5,125.6
S Levine,A Dragan,Undirected,6,282.6666666666667
S Levine,K Keutzer,Undirected,7,61.333333333333336
S Levine,A Kanazawa,Undirected,8,716.4000000000002
P Abbeel,T Darrell,Undirected,9,8270.514285714287
P Abbeel,M Jordan,Undirected,10,7298.0
P Abbeel,J Malik,Undirected,11,1240.1571428571428
P Abbeel,K Goldberg,Undirected,12,3287.0619047619048
P Abbeel,A Dragan,Undirected,13,1123.5904761904758
P Abbeel,K Keutzer,Undirected,14,97.14285714285712
P Abbeel,S Seshia,Undirected,15,158.85714285714286
P Abbeel,A Kanazawa,Undirected,16,716.4000000000002
P Abbeel,J Canny,Undirected,17,299.0
P Abbeel,C Spanos,Undirected,18,25.0
P Abbeel,V Stojanovic,Undirected,19,8.299999999999999
T Darrell,J Malik,Undirected,20,29783.071428571428
T Darrell,A Efros,Undirected,21,701.5999999999999
T Darrell,K Keutzer,Undirected,22,673.0571428571427
T Darrell,A Kanazawa,Undirected,23,3.2857142857142856
T Darrell,B Recht,Undirected,24,179.33333333333331
T Darrell,J Canny,Undirected,25,162.8
M Jordan,T Darrell,Undirected,26,20.0
M Jordan,J Malik,Undirected,27,55.2
M Jordan,B Recht,Undirected,28,237.2
M Jordan,M Wainwright,Undirected,29,487.6666666666667
M Jordan,J Steinhardt,Undirected,30,10.4
M Jordan,L Ghaoui,Undirected,31,1508.3333333333333
M Jordan,N Yosef,Undirected,32,26.2
J Malik,A Efros,Undirected,33,8.0
J Malik,A Kanazawa,Undirected,34,3757.1666666666665
I Stoica,S Levine,Undirected,35,311.0
I Stoica,P Abbeel,Undirected,36,292.5190476190477
I Stoica,T Darrell,Undirected,37,5.142857142857142
I Stoica,M Jordan,Undirected,38,18.04761904761905
I Stoica,K Goldberg,Undirected,39,468.8333333333334
I Stoica,V Paxson,Undirected,40,8.57142857142857
I Stoica,S Shenker,Undirected,41,34412.452380952345
I Stoica,S Ratnasamy,Undirected,42,6272.071428571426
I Stoica,B Recht,Undirected,43,1275.4952380952382
I Stoica,J Hellerstein,Undirected,44,226.79999999999995
I Stoica,P Dutta,Undirected,45,581.6000000000001
I Stoica,K Ramchandran,Undirected,46,236.79999999999998
I Stoica,A Bayen,Undirected,47,1.7142857142857142
I Stoica,R Katz,Undirected,48,1775.9809523809529
I Stoica,J Kubiatowicz,Undirected,49,814.0
I Stoica,A Joseph,Undirected,50,13.714285714285712
K Goldberg,T Darrell,Undirected,51,304.1428571428571
K Goldberg,M Jordan,Undirected,52,7.999999999999999
K Goldberg,A Dragan,Undirected,53,139.2
K Goldberg,R Fearing,Undirected,54,38.0
K Goldberg,B Hartmann,Undirected,55,23.2
K Goldberg,A Kanazawa,Undirected,56,0.0
K Goldberg,J Canny,Undirected,57,254.28571428571428
K Goldberg,E Paulos,Undirected,58,0.0
K Goldberg,E Lee,Undirected,59,26.4
