Source,Target,Type,Id,Label
Q Gu,B Zhou,Undirected,1,75.66666666666667
Q Gu,S Osher,Undirected,2,19.2
K Chang,C Hsieh,Undirected,3,4.0
K Chang,J Cho,Undirected,4,0.2857142857142857
A Sahai,E Eskin,Undirected,5,18.857142857142858
A Sahai,E Halperin,Undirected,6,0.0
R Ostrovsky,A Sahai,Undirected,7,7382.4
R Ostrovsky,S Lu,Undirected,8,1615.5095238095244
R Ostrovsky,E Eskin,Undirected,9,7.999999999999999
R Ostrovsky,C Zaniolo,Undirected,10,200.0
Y Sun,Q Gu,Undirected,11,892.2166666666665
Y Sun,B Zhou,Undirected,12,462.0
Y Sun,J Cong,Undirected,13,7.0
Y Sun,M Srivastava,Undirected,14,12.0
Y Sun,J Pearl,Undirected,15,5.0
Y Sun,C Zaniolo,Undirected,16,79.46666666666667
J Cong,J Palsberg,Undirected,17,0.0
J Cong,E Gafni,Undirected,18,10.571428571428573
G Xu,B Zhou,Undirected,19,19.428571428571427
G Xu,N Peng,Undirected,20,2.9722222222222223
M Kim,Q Gu,Undirected,21,11.2
M Kim,N Peng,Undirected,22,0.0
M Kim,J Cong,Undirected,23,4.666666666666667
M Kim,T Millstein,Undirected,24,154.2857142857143
M Kim,S Lu,Undirected,25,14.285714285714286
M Kim,D Terzopoulos,Undirected,26,1.0
M Kim,J Cho,Undirected,27,0.0
A Darwiche,J Cong,Undirected,28,0.0
A Darwiche,E Eskin,Undirected,29,132.0
R Meka,A Sahai,Undirected,30,54.666666666666664
T Millstein,G Broeck,Undirected,31,7.333333333333333
T Millstein,M Srivastava,Undirected,32,0.0
T Millstein,G Varghese,Undirected,33,14.8
T Millstein,J Palsberg,Undirected,34,52.666666666666664
S Lu,A Sahai,Undirected,35,874.0333333333333
S Lu,N Peng,Undirected,36,2.6666666666666665
S Lu,J Cong,Undirected,37,58.300000000000004
S Lu,G Xu,Undirected,38,81.25714285714285
S Lu,M Srivastava,Undirected,39,1.0
S Lu,G Varghese,Undirected,40,12.999999999999998
S Lu,G Reinman,Undirected,41,368.5714285714285
E Eskin,E Halperin,Undirected,42,2435.4952380952373
E Eskin,S Sankararaman,Undirected,43,6.666666666666667
J Pearl,A Darwiche,Undirected,44,1884.0
D Terzopoulos,S Osher,Undirected,45,0.0
S Sankararaman,E Halperin,Undirected,46,997.7999999999998
G Reinman,J Cong,Undirected,47,1997.2666666666678
J Cho,C Zaniolo,Undirected,48,1.0
J Ernst,E Eskin,Undirected,49,11.857142857142858
J Ernst,S Sankararaman,Undirected,50,5.085714285714286
