Source,Target,Type,Id,Label
R Ramamoorthi,M Chandraker,Undirected,1,956.9333333333334
R Ramamoorthi,A Chern,Undirected,2,8.0
R Ramamoorthi,D Kriegman,Undirected,3,578.2666666666668
M Chandraker,D Kriegman,Undirected,4,542.0666666666666
N Vasconcelos,D Kriegman,Undirected,5,27.0
N Vasconcelos,L Saul,Undirected,6,26.0
T Berg-Kirkpatrick,J McAuley,Undirected,7,83.13333333333334
D Kane,S Lovett,Undirected,8,69.46666666666667
D Kane,A Mazumdar,Undirected,9,65.0
J McAuley,G Cottrell,Undirected,10,78.8
F Koushanfar,J McAuley,Undirected,11,153.4666666666667
F Koushanfar,R Kastner,Undirected,12,18.4
F Koushanfar,T Javidi,Undirected,13,353.5999999999998
Z Tu,R Yu,Undirected,14,10.0
Z Tu,D Kriegman,Undirected,15,128.0
S Savage,G Voelker,Undirected,16,19.733333333333338
S Savage,A Snoeren,Undirected,17,1.3333333333333333
S Savage,D Stefan,Undirected,18,0.0
S Savage,L Saul,Undirected,19,64.0
S Savage,G Porter,Undirected,20,52.800000000000004
T Rosing,F Koushanfar,Undirected,21,214.6333333333333
T Rosing,N Atanasov,Undirected,22,10.666666666666666
T Rosing,D Tullsen,Undirected,23,12.666666666666666
T Rosing,G Porter,Undirected,24,363.0
G Voelker,A Snoeren,Undirected,25,1.3333333333333333
G Voelker,L Saul,Undirected,26,33.333333333333336
Z Hu,T Berg-Kirkpatrick,Undirected,27,589.6
Z Hu,P Xie,Undirected,28,368.18412698412703
K Chaudhuri,T Rosing,Undirected,29,0.0
K Chaudhuri,R Jhala,Undirected,30,28.8
K Chaudhuri,T Javidi,Undirected,31,176.00000000000003
K Chaudhuri,L Riek,Undirected,32,5.2
K Chaudhuri,Y Freund,Undirected,33,229.83333333333331
A Snoeren,T Javidi,Undirected,34,0.0
A Snoeren,L Saul,Undirected,35,0.0
A Snoeren,G Porter,Undirected,36,0.8
N Atanasov,M Yip,Undirected,37,9.666666666666666
J Shang,J McAuley,Undirected,38,21.06666666666667
J Zhao,F Koushanfar,Undirected,39,177.36666666666665
J Zhao,Z Tu,Undirected,40,435.46666666666664
J Zhao,P Xie,Undirected,41,994.7857142857142
J Zhao,S Swanson,Undirected,42,0.9999999999999999
J Zhao,D Tullsen,Undirected,43,0.9999999999999999
J Zhao,Y Wang,Undirected,44,8.266666666666667
J Zhao,S Gao,Undirected,45,1.2
J Zhao,M ElSherief,Undirected,46,177.0
J Zhao,Y Ma,Undirected,47,94.66666666666667
M Bellare,D Kane,Undirected,48,214.66666666666663
M Bellare,D Micciancio,Undirected,49,2005.3333333333335
M Bellare,R Impagliazzo,Undirected,50,367.33333333333337
M Bellare,A Vardy,Undirected,51,503.99999999999994
D Bharadia,T Javidi,Undirected,52,25.0
R Jhala,D Stefan,Undirected,53,132.20000000000002
R Jhala,N Polikarpova,Undirected,54,24.571428571428577
B Saha,A Mazumdar,Undirected,55,422.6666666666667
A Mazumdar,T Javidi,Undirected,56,1.2
D Tullsen,S Swanson,Undirected,57,0.9999999999999999
D Tullsen,D Stefan,Undirected,58,38.333333333333336
D Stefan,N Polikarpova,Undirected,59,20.999999999999996
D Stefan,L Irani,Undirected,60,0.0
S Lerner,R Jhala,Undirected,61,1962.8333333333335
S Lerner,D Stefan,Undirected,62,22.6
S Lerner,N Polikarpova,Undirected,63,22.26666666666667
S Lerner,L Saul,Undirected,64,20.0
S Dow,S Klemmer,Undirected,65,797.5000000000002
H Xia,P Guo,Undirected,66,2.0
H Xia,Y Wang,Undirected,67,273.3333333333333
H Xia,R Impagliazzo,Undirected,68,0.0
H Xia,J Hollan,Undirected,69,0.0
R Kastner,P Pannuto,Undirected,70,3.809523809523809
A Schulman,D Bharadia,Undirected,71,20.799999999999997
A Schulman,P Pannuto,Undirected,72,5.6000000000000005
A Schulman,G Porter,Undirected,73,3.9999999999999996
Y Wang,R Ramamoorthi,Undirected,74,20.0
Y Wang,M Chandraker,Undirected,75,20.0
Y Wang,J McAuley,Undirected,76,150.0
Y Wang,Z Tu,Undirected,77,24.557142857142864
Y Wang,Z Hu,Undirected,78,106.25000000000001
Y Wang,K Chaudhuri,Undirected,79,365.83333333333337
Y Wang,J Shang,Undirected,80,3.5
Y Wang,D Bharadia,Undirected,81,0.2857142857142857
Y Wang,R Kastner,Undirected,82,17.714285714285715
Y Wang,R Yu,Undirected,83,24.066666666666663
Y Wang,M Belkin,Undirected,84,1005.0
Y Wang,S Gao,Undirected,85,36.2
Y Wang,G Cottrell,Undirected,86,0.0
Y Wang,A Chern,Undirected,87,0.3333333333333333
Y Wang,T Weng,Undirected,88,8.8
Y Wang,A Yu,Undirected,89,57.047619047619044
Y Wang,Y Fainman,Undirected,90,3.666666666666667
Y Wang,Y Ma,Undirected,91,152.66666666666666
R Yu,J Shang,Undirected,92,0.0
R Yu,V Bafna,Undirected,93,0.0
P Pevzner,V Bafna,Undirected,94,500.0
P Pevzner,N Bandeira,Undirected,95,241.60000000000002
S Gao,T Rosing,Undirected,96,0.0
S Gao,R Kastner,Undirected,97,15.0
T Javidi,G Porter,Undirected,98,24.666666666666668
T Li,N Vasconcelos,Undirected,99,75.71428571428571
T Li,J Zhao,Undirected,100,1.3333333333333333
T Li,Y Wang,Undirected,101,103.63333333333331
M Tolley,N Gravish,Undirected,102,0.0
S Klemmer,N Weibel,Undirected,103,23.0
S Klemmer,J Hollan,Undirected,104,0.0
L Saul,N Weibel,Undirected,105,3.2
R Impagliazzo,S Lovett,Undirected,106,81.0
P Pannuto,G Porter,Undirected,107,3.9999999999999996
B Salimi,A Deutsch,Undirected,108,0.0
B Salimi,Y Papakonstantinou,Undirected,109,0.0
Y Papakonstantinou,S Swanson,Undirected,110,159.13333333333333
Y Papakonstantinou,A Deutsch,Undirected,111,522.5999999999999
Y Papakonstantinou,Y Freund,Undirected,112,21.333333333333332
Y Papakonstantinou,N Bandeira,Undirected,113,4.8
G Porter,Y Fainman,Undirected,114,202.70476190476188
W Griswold,G Voelker,Undirected,115,0.0
W Griswold,J Hollan,Undirected,116,0.0
A Yu,G Cottrell,Undirected,117,0.0
L Bergen,N Polikarpova,Undirected,118,5.333333333333333
Y Freund,R Kastner,Undirected,119,3.0
B Ustun,J McAuley,Undirected,120,0.5
J Hollan,N Weibel,Undirected,121,90.3
S Mirarab,V Bafna,Undirected,122,145.20952380952377
S Mirarab,B Touri,Undirected,123,7.000000000000001
V Bafna,J Shang,Undirected,124,0.0
V Bafna,A Deutsch,Undirected,125,25.2
V Bafna,N Bandeira,Undirected,126,155.0
V Bafna,B Touri,Undirected,127,7.000000000000001
S Buss,R Impagliazzo,Undirected,128,441.66666666666674
R Knight,Y Wang,Undirected,129,60.25
R Knight,S Klemmer,Undirected,130,8.0
A Vardy,S Lovett,Undirected,131,52.0
N Bandeira,S Swanson,Undirected,132,0.0
Y Ma,Z Tu,Undirected,133,826.0000000000001
Y Ma,Z Hu,Undirected,134,3.428571428571429
Y Ma,R Yu,Undirected,135,3.142857142857143
Y Ma,E Fernandes,Undirected,136,4.800000000000001
Y Ma,S Gao,Undirected,137,824.6095238095239
Y Ma,H Jin,Undirected,138,94.66666666666666
Y Ma,D Kriegman,Undirected,139,0.0
T Sejnowski,G Cottrell,Undirected,140,0.0
V Vianu,B Salimi,Undirected,141,0.0
V Vianu,A Deutsch,Undirected,142,1448.9333333333338
V Vianu,Y Papakonstantinou,Undirected,143,1095.4333333333334
