Source,Target,Type,Id,Label
H Ji,H Tong,Undirected,1,29.133333333333336
H Ji,J Torrellas,Undirected,2,35.06666666666667
H Ji,T Abdelzaher,Undirected,3,227.57857142857145
H Ji,C Zhai,Undirected,4,0.0
H Ji,K Karahalios,Undirected,5,0.0
H Ji,D Marinov,Undirected,6,17.942857142857143
H Ji,J Hockenmaier,Undirected,7,4.0
H Ji,H Sundaram,Undirected,8,0.0
A Schwing,J Torrellas,Undirected,9,3.1999999999999997
A Schwing,D Hoiem,Undirected,10,156.00000000000003
A Schwing,S Lazebnik,Undirected,11,483.4285714285714
A Schwing,H Sundaram,Undirected,12,3.0
J Sun,H Ji,Undirected,13,0.0
J Sun,H Tong,Undirected,14,918.5666666666667
J Sun,J Torrellas,Undirected,15,2.0
J Sun,S Wang,Undirected,16,40.61904761904762
J Sun,D Chen,Undirected,17,39.5
J Sun,S Ghose,Undirected,18,30.666666666666668
J Sun,L Sha,Undirected,19,69.0
J Sun,M Snir,Undirected,20,9.0
J Sun,H Sundaram,Undirected,21,230.66666666666666
J Sun,Y Hu,Undirected,22,8.75
J Sun,T Warnow,Undirected,23,83.86666666666666
J Torrellas,C Fletcher,Undirected,24,375.0
J Torrellas,M Snir,Undirected,25,24.0
J Torrellas,L Rauchwerger,Undirected,26,409.46666666666675
J Torrellas,D Padua,Undirected,27,106.0
J He,H Tong,Undirected,28,1360.3095238095248
J He,T Xu,Undirected,29,3.5
J He,C Zhai,Undirected,30,34.0
J He,H Sundaram,Undirected,31,55.23809523809524
J He,Y Hu,Undirected,32,9.485714285714288
J He,L Olson,Undirected,33,9.666666666666668
N Amato,V Adve,Undirected,34,0.0
N Amato,L Rauchwerger,Undirected,35,28.71428571428571
S Wang,H Ji,Undirected,36,13.444444444444445
S Wang,A Schwing,Undirected,37,32.0
S Wang,K Hauser,Undirected,38,31.666666666666664
S Wang,J He,Undirected,39,0.0
S Wang,D Hoiem,Undirected,40,0.0
S Wang,T Xu,Undirected,41,62.0
S Wang,T Abdelzaher,Undirected,42,149.62142857142857
S Wang,C Zhai,Undirected,43,22.0
S Wang,D Forsyth,Undirected,44,0.0
S Wang,R Mehta,Undirected,45,0.6666666666666666
S Wang,P Madhusudan,Undirected,46,6.0
S Wang,L Sha,Undirected,47,1.3333333333333333
S Wang,S Sinha,Undirected,48,8.666666666666666
S Wang,I Gupta,Undirected,49,45.142857142857146
S Wang,Y Hu,Undirected,50,12.066666666666668
W Hwu,S Adve,Undirected,51,40.57142857142857
W Hwu,W Gropp,Undirected,52,42.857142857142854
W Hwu,L Rauchwerger,Undirected,53,4.0
W Hwu,D Padua,Undirected,54,1.714285714285714
T Xu,J Torrellas,Undirected,55,55.19999999999998
T Abdelzaher,H Tong,Undirected,56,1.3333333333333335
T Abdelzaher,B Godfrey,Undirected,57,77.33333333333333
T Abdelzaher,M Caccamo,Undirected,58,963.4285714285714
T Abdelzaher,V Adve,Undirected,59,0.0
T Abdelzaher,S Vasudevan,Undirected,60,3.9999999999999996
T Abdelzaher,I Gupta,Undirected,61,45.142857142857146
T Abdelzaher,K Nahrstedt,Undirected,62,743.3333333333335
T Abdelzaher,R Kravets,Undirected,63,378.46666666666664
C Zhai,H Sundaram,Undirected,64,6.0
D Chen,A Schwing,Undirected,65,84.26666666666667
D Chen,J Torrellas,Undirected,66,108.0
D Chen,J He,Undirected,67,57.05
D Chen,W Hwu,Undirected,68,432.70000000000005
D Chen,T Xu,Undirected,69,1.2
D Chen,T Abdelzaher,Undirected,70,0.0
D Chen,M Hasegawa-Johnson,Undirected,71,25.200000000000003
D Chen,R Kumar,Undirected,72,14.333333333333332
D Chen,M Caccamo,Undirected,73,6.0
D Chen,K Nahrstedt,Undirected,74,124.73333333333335
D Chen,Y Hu,Undirected,75,6.0
D Chen,C Zilles,Undirected,76,108.0
D Chen,T Kesavadas,Undirected,77,72.66666666666666
D Chen,W Sanders,Undirected,78,1.6666666666666667
K Karahalios,W Fu,Undirected,79,3.0
K Karahalios,H Sundaram,Undirected,80,48.53333333333334
K Karahalios,A Kirlik,Undirected,81,17.0
K Karahalios,R Kravets,Undirected,82,16.8
D Forsyth,D Hoiem,Undirected,83,4891.666666666668
D Forsyth,S Lazebnik,Undirected,84,0.0
D Forsyth,B Bailey,Undirected,85,85.33333333333333
Y Wang,J Sun,Undirected,86,1076.7380952380952
Y Wang,H Tong,Undirected,87,65.69047619047622
Y Wang,J He,Undirected,88,37.08333333333333
Y Wang,S Wang,Undirected,89,418.17539682539683
Y Wang,T Xu,Undirected,90,18.799999999999997
Y Wang,D Chen,Undirected,91,292.2222222222223
Y Wang,D Forsyth,Undirected,92,83.26666666666665
Y Wang,S Ghose,Undirected,93,44.71428571428571
Y Wang,S Har-Peled,Undirected,94,639.7666666666667
