Source,Target,Type,Id,Label
R Mihalcea,D Jurgens,Undirected,1,8.0
R Mihalcea,A Owens,Undirected,2,0.0
R Mihalcea,J Chai,Undirected,3,2.6666666666666665
Q Mei,X Nguyen,Undirected,4,252.8
S Mahlke,R Das,Undirected,5,673.6666666666666
S Mahlke,D Blaauw,Undirected,6,147.8095238095238
S Mahlke,S Narayanasamy,Undirected,7,142.66666666666666
S Mahlke,V Bertacco,Undirected,8,686.0
S Mahlke,T Mudge,Undirected,9,1172.67619047619
S Mahlke,T Austin,Undirected,10,607.3333333333334
S Mahlke,S Lafortune,Undirected,11,345.4476190476191
G Schoenebeck,B Mozafari,Undirected,12,69.0
G Schoenebeck,C Peikert,Undirected,13,1.0
G Schoenebeck,D Romero,Undirected,14,529.8333333333333
S Yu,R Dreslinski,Undirected,15,1.0
T Wenisch,G Schoenebeck,Undirected,16,6.0
T Wenisch,J Mars,Undirected,17,145.14285714285714
T Wenisch,R Das,Undirected,18,68.0
T Wenisch,R Dreslinski,Undirected,19,68.0
T Wenisch,B Mozafari,Undirected,20,6.0
E Adar,Q Mei,Undirected,21,59.666666666666664
E Adar,E Lee,Undirected,22,20.0
E Adar,E Gilbert,Undirected,23,3.0
E Adar,S Oney,Undirected,24,18.4
J Mars,S Mahlke,Undirected,25,85.85714285714286
J Mars,R Dreslinski,Undirected,26,0.0
J Mars,T Mudge,Undirected,27,729.4285714285714
J Mars,S Oney,Undirected,28,17.142857142857142
L Tang,S Mahlke,Undirected,29,87.57142857142858
L Tang,S Yu,Undirected,30,0.6666666666666666
L Tang,T Wenisch,Undirected,31,145.14285714285714
L Tang,J Mars,Undirected,32,4509.276190476192
L Tang,T Mudge,Undirected,33,729.4285714285714
L Tang,S Oney,Undirected,34,17.142857142857142
T Saranurak,S Pettie,Undirected,35,28.83333333333333
M Chowdhury,B Mozafari,Undirected,36,44.0
M Chowdhury,H Madhyastha,Undirected,37,25.333333333333332
R Das,R Dreslinski,Undirected,38,356.80000000000007
R Das,D Blaauw,Undirected,39,592.8761904761906
R Das,S Narayanasamy,Undirected,40,551.3333333333334
R Das,V Bertacco,Undirected,41,155.66666666666666
R Das,T Mudge,Undirected,42,82.39999999999999
R Das,T Austin,Undirected,43,234.0
R Dreslinski,D Blaauw,Undirected,44,95.6547619047619
R Dreslinski,T Mudge,Undirected,45,376.9523809523808
R Dreslinski,C Peikert,Undirected,46,25.0
B Mozafari,S Pettie,Undirected,47,14.0
S Pettie,G Bodwin,Undirected,48,102.66666666666667
D Blaauw,T Mudge,Undirected,49,8092.335714285706
D Koutra,B Fish,Undirected,50,0.3333333333333333
S Narayanasamy,D Blaauw,Undirected,51,275.3333333333333
V Bertacco,D Blaauw,Undirected,52,872.3809523809522
V Bertacco,T Mudge,Undirected,53,493.3333333333334
V Bertacco,T Austin,Undirected,54,2108.4357142857148
D Jurgens,C Budak,Undirected,55,41.666666666666664
D Jurgens,D Romero,Undirected,56,35.0
E Lee,K Shin,Undirected,57,25.799999999999994
E Lee,V Bertacco,Undirected,58,0.0
T Mudge,K Sakallah,Undirected,59,0.0
M Nebeling,S Oney,Undirected,60,12.2
M Liu,E Lee,Undirected,61,19.035714285714285
M Liu,K Collins-Thompson,Undirected,62,24.0
M Liu,B Noble,Undirected,63,1611.3333333333333
M Liu,S Lafortune,Undirected,64,0.0
J Chai,Q Mei,Undirected,65,0.5
M Newman,F Schaub,Undirected,66,0.0
M Newman,M Ackerman,Undirected,67,136.0
M Wellman,G Schoenebeck,Undirected,68,10.666666666666666
A Sample,K Fu,Undirected,69,0.0
K Fu,D Blaauw,Undirected,70,4.571428571428571
A Guo,M Nebeling,Undirected,71,100.6666666666667
I Markov,V Bertacco,Undirected,72,10.666666666666666
I Markov,J Hayes,Undirected,73,0.0
I Markov,K Sakallah,Undirected,74,197.16666666666666
V Nagarajan,E Lee,Undirected,75,2.6666666666666665
T Austin,D Blaauw,Undirected,76,2367.1714285714293
T Austin,T Mudge,Undirected,77,4082.7333333333327
T Austin,K Sakallah,Undirected,78,18.666666666666668
M Kapritsos,H Madhyastha,Undirected,79,0.0
M Ackerman,F Schaub,Undirected,80,0.0
J Laird,Z Syed,Undirected,81,0.0
C Budak,D Romero,Undirected,82,14.4
K Collins-Thompson,D Jurgens,Undirected,83,0.0
J Hayes,T Mudge,Undirected,84,10.666666666666666
J Hayes,K Sakallah,Undirected,85,6.0
C Scott,A Tewari,Undirected,86,210.66666666666666
C Scott,L Balzano,Undirected,87,20.97142857142857
L Balzano,J Corso,Undirected,88,0.0
H Kim,S Mahlke,Undirected,89,4.5
H Kim,S Yu,Undirected,90,1.714285714285714
H Kim,R Dreslinski,Undirected,91,5.714285714285714
H Kim,D Blaauw,Undirected,92,12.97142857142857
H Kim,E Lee,Undirected,93,9.571428571428573
H Kim,T Mudge,Undirected,94,5.714285714285714
H Kim,J Hayes,Undirected,95,59.0
H Kim,J Fessler,Undirected,96,0.5
