Source,Target,Type,Id,Label
Z Wang,P Stone,Undirected,1,32.9
Z Wang,D Pan,Undirected,2,0.3333333333333333
Z Wang,Q Huang,Undirected,3,3.238095238095238
Z Wang,Y Zhu,Undirected,4,117.01190476190476
Z Wang,C Caramanis,Undirected,5,20.4
Z Wang,D Moghimi,Undirected,6,0.9999999999999999
Z Wang,C Bajaj,Undirected,7,4.285714285714286
P Stone,Y Zhu,Undirected,8,74.96190476190475
P Stone,R Mooney,Undirected,9,192.57142857142856
P Stone,S Chaudhuri,Undirected,10,0.0
P Stone,J Biswas,Undirected,11,32.0
P Stone,E Witchel,Undirected,12,183.93333333333328
P Stone,A Klivans,Undirected,13,0.0
P Stone,V Chidambaram,Undirected,14,0.0
P Stone,D Ballard,Undirected,15,7.428571428571428
P Stone,V Lifschitz,Undirected,16,33.6
Q Huang,P Krähenbühl,Undirected,17,138.0
Q Huang,S Chaudhuri,Undirected,18,28.333333333333332
Q Huang,E Vouga,Undirected,19,270.4285714285715
Q Huang,C Lin,Undirected,20,0.0
Q Huang,C Bajaj,Undirected,21,50.83333333333334
Q Huang,A Huth,Undirected,22,45.42857142857142
Y Zhu,D Ballard,Undirected,23,13.92857142857143
B Waters,E Witchel,Undirected,24,145.6
B Waters,H Shacham,Undirected,25,6068.533333333333
I Dillig,G Durrett,Undirected,26,195.33333333333326
I Dillig,H Shacham,Undirected,27,12.0
I Dillig,J Bornholt,Undirected,28,0.8
C Caramanis,A Dimakis,Undirected,29,52.7
R Mooney,G Durrett,Undirected,30,0.0
R Mooney,K Erk,Undirected,31,350.0
S Chaudhuri,G Durrett,Undirected,32,30.0
S Chaudhuri,I Dillig,Undirected,33,743.3333333333334
S Chaudhuri,J Biswas,Undirected,34,2.4
L Qiu,A Akella,Undirected,35,130.0
L Qiu,D Kim,Undirected,36,89.0
L Qiu,A Mok,Undirected,37,0.0
J Biswas,I Dillig,Undirected,38,3.4
E Choi,G Durrett,Undirected,39,37.0
E Vouga,A Huth,Undirected,40,45.42857142857142
E Witchel,C Rossbach,Undirected,41,13.333333333333334
C Lin,I Dillig,Undirected,42,219.0
C Lin,E Vouga,Undirected,43,0.0
V Chidambaram,I Dillig,Undirected,44,0.0
V Chidambaram,P Krähenbühl,Undirected,45,8.8
V Chidambaram,E Witchel,Undirected,46,19.857142857142858
V Chidambaram,J Bornholt,Undirected,47,0.0
K Erk,G Durrett,Undirected,48,104.33333333333334
K McMillan,I Dillig,Undirected,49,90.1
S Aaronson,D Moshkovitz,Undirected,50,86.66666666666667
S Aaronson,A Gál,Undirected,51,0.0
D Kim,P Stone,Undirected,52,5.0
D Kim,Y Zhu,Undirected,53,198.92619047619047
D Kim,A Akella,Undirected,54,2.0
D Kim,J Biswas,Undirected,55,0.0
D Zuckerman,C Bajaj,Undirected,56,10.0
D Zuckerman,D Moshkovitz,Undirected,57,21.0
C Bajaj,Y Zhu,Undirected,58,96.57142857142857
C Bajaj,V Ramachandran,Undirected,59,46.666666666666664
R Miikkulainen,P Stone,Undirected,60,620.0666666666666
R Miikkulainen,R Mooney,Undirected,61,0.0
R Miikkulainen,E Vouga,Undirected,62,17.0
R Miikkulainen,K McMillan,Undirected,63,1.3333333333333333
R Miikkulainen,C Bajaj,Undirected,64,0.0
R Miikkulainen,D Ballard,Undirected,65,0.0
R Miikkulainen,V Ramachandran,Undirected,66,0.0
D Batory,I Dillig,Undirected,67,6.0
D Batory,C Lin,Undirected,68,16.0
D Batory,R Geijn,Undirected,69,43.0
