Source,Target,Type,Id,Label
V Singh,J Patel,Undirected,1,0.3333333333333333
V Singh,G Wahba,Undirected,2,43.33333333333334
S Jha,T Reps,Undirected,3,842.0285714285717
S Jha,A Albarghouthi,Undirected,4,54.06666666666666
S Jha,J Patel,Undirected,5,6.0
S Jha,P Barford,Undirected,6,1045.9047619047622
S Jha,D Page,Undirected,7,743.6
S Jha,K Fawaz,Undirected,8,39.6
S Jha,T Rekatsinas,Undirected,9,16.0
S Jha,S Wright,Undirected,10,0.0
S Jha,K Sankaralingam,Undirected,11,128.0
Y Lee,S Jha,Undirected,12,7.933333333333334
Y Lee,G Wahba,Undirected,13,1179.8333333333333
B Mutlu,M Gleicher,Undirected,14,1207.733333333334
T Reps,L D'Antoni,Undirected,15,21.0
A Albarghouthi,L D'Antoni,Undirected,16,156.5
A Albarghouthi,B Mutlu,Undirected,17,79.60000000000001
A Albarghouthi,T Reps,Undirected,18,31.66666666666667
A Albarghouthi,J Patel,Undirected,19,15.999999999999998
A Albarghouthi,K Sankaralingam,Undirected,20,7.0
M Gleicher,K Ponto,Undirected,21,52.333333333333336
Y Liang,S Jha,Undirected,22,210.04761904761904
Y Liang,D Papailiopoulos,Undirected,23,0.0
Y Liang,T Rekatsinas,Undirected,24,0.0
Y Liang,F Sala,Undirected,25,0.0
Y Liang,A Gitter,Undirected,26,82.33333333333333
R Nowak,P Ramanathan,Undirected,27,168.0
X Yu,M Gleicher,Undirected,28,11.0
X Yu,M Swift,Undirected,29,0.5
X Yu,P Koutris,Undirected,30,1.3333333333333333
P Barford,R Nowak,Undirected,31,713.3333333333333
S Banerjee,S Jha,Undirected,32,51.90476190476191
S Banerjee,B Mutlu,Undirected,33,41.0
S Banerjee,M Swift,Undirected,34,1.1428571428571428
S Banerjee,P Barford,Undirected,35,56.400000000000006
S Banerjee,K Fawaz,Undirected,36,96.0
S Banerjee,Y Kim,Undirected,37,35.866666666666674
S Banerjee,R Arpaci-Dusseau,Undirected,38,0.0
S Banerjee,P Ramanathan,Undirected,39,134.66666666666666
P McDaniel,S Jha,Undirected,40,14782.414285714276
P McDaniel,Y Kim,Undirected,41,0.0
S Venkataraman,D Papailiopoulos,Undirected,42,30.0
S Venkataraman,T Rekatsinas,Undirected,43,20.799999999999997
S Venkataraman,R Vinayak,Undirected,44,0.0
K Fawaz,B Mutlu,Undirected,45,41.66666666666666
K Fawaz,P Ramanathan,Undirected,46,35.0
T Rekatsinas,D Papailiopoulos,Undirected,47,0.0
J Cai,Y Lee,Undirected,48,39.75
J Cai,Y Kim,Undirected,49,19.428571428571427
Y Kim,Y Lee,Undirected,50,607.5658730158729
Y Kim,B Mutlu,Undirected,51,105.0
Y Kim,K Fawaz,Undirected,52,46.33333333333333
Y Kim,M Lipasti,Undirected,53,12.857142857142856
E Sifakis,D Negrut,Undirected,54,0.0
Y Zhao,Y Liang,Undirected,55,8.178571428571429
Y Zhao,S Banerjee,Undirected,56,2.5
Y Zhao,Y Kim,Undirected,57,1.7777777777777777
Y Zhao,M Sinclair,Undirected,58,40.0
R Arpaci-Dusseau,P Barford,Undirected,59,1.3333333333333333
R Arpaci-Dusseau,K Fawaz,Undirected,60,0.0
R Arpaci-Dusseau,A Arpaci-Dusseau,Undirected,61,579.9809523809524
P Koutris,A Albarghouthi,Undirected,62,173.16666666666666
P Koutris,J Patel,Undirected,63,15.999999999999998
P Koutris,D Papailiopoulos,Undirected,64,15.2
S Wright,R Nowak,Undirected,65,54.0
S Wright,P Barford,Undirected,66,634.6666666666666
S Wright,D Papailiopoulos,Undirected,67,185.0
S Wright,D Page,Undirected,68,2.8
S Wright,M Lipasti,Undirected,69,9.0
S Wright,M Ferris,Undirected,70,14.533333333333335
S Wright,A Gitter,Undirected,71,0.0
K Sankaralingam,M Sinclair,Undirected,72,33.333333333333336
K Sankaralingam,M Ferris,Undirected,73,36.0
S Tannu,A Albarghouthi,Undirected,74,0.0
L Lessard,S Wright,Undirected,75,32.0
M Craven,D Page,Undirected,76,132.6
M Craven,M Ferris,Undirected,77,3.3333333333333335
B Miller,S Jha,Undirected,78,0.0
B Miller,T Reps,Undirected,79,21.333333333333332
G Wahba,S Wright,Undirected,80,53.53333333333333
G Wahba,M Ferris,Undirected,81,70.28571428571428
A Gitter,R Nowak,Undirected,82,0.0
