Source,Target,Type,Id,Label
C Szepesvári,M White,Undirected,1,6.0
D Schuurmans,C Szepesvári,Undirected,2,339.70000000000005
D Schuurmans,M White,Undirected,3,464.4666666666667
D Schuurmans,R Sutton,Undirected,4,12.0
D Schuurmans,V Bulitko,Undirected,5,12.0
M Bowling,C Szepesvári,Undirected,6,40.16666666666666
M Bowling,D Schuurmans,Undirected,7,461.1666666666665
M Bowling,M White,Undirected,8,63.6
M Bowling,N Sturtevant,Undirected,9,158.66666666666669
M Bowling,R Sutton,Undirected,10,19.0
M Bowling,D Szafron,Undirected,11,199.0333333333334
M Bowling,V Bulitko,Undirected,12,12.0
N Sturtevant,C Szepesvári,Undirected,13,25.2
N Sturtevant,M Guzdial,Undirected,14,12.333333333333334
L Lelis,M Bowling,Undirected,15,1.3333333333333333
G Kondrak,L Mou,Undirected,16,16.0
R Holte,D Schuurmans,Undirected,17,0.0
R Holte,M Bowling,Undirected,18,117.0
R Holte,N Sturtevant,Undirected,19,76.5
R Holte,L Lelis,Undirected,20,5.9
R Holte,D Szafron,Undirected,21,42.0
R Sutton,C Szepesvári,Undirected,22,1.2
R Sutton,M White,Undirected,23,1.3333333333333333
R Sutton,D Szafron,Undirected,24,7.0
R Greiner,C Szepesvári,Undirected,25,66.30000000000001
R Greiner,D Schuurmans,Undirected,26,829.8666666666669
R Greiner,M Bowling,Undirected,27,0.0
R Greiner,N Sturtevant,Undirected,28,25.2
R Greiner,R Holte,Undirected,29,0.0
R Greiner,O Zaïane,Undirected,30,26.666666666666668
R Greiner,A Fyshe,Undirected,31,207.59999999999997
R Greiner,J Schaeffer,Undirected,32,14.0
R Greiner,D Szafron,Undirected,33,736.6785714285717
R Greiner,V Bulitko,Undirected,34,159.56666666666663
R Greiner,R Hayward,Undirected,35,79.66666666666667
R Greiner,N Ray,Undirected,36,158.0
R Greiner,P Boulanger,Undirected,37,42.833333333333336
D Barbosa,G Kondrak,Undirected,38,89.93333333333334
D Barbosa,O Zaïane,Undirected,39,14.0
D Barbosa,D Rafiei,Undirected,40,17.0
D Barbosa,A Hindle,Undirected,41,16.833333333333336
D Barbosa,R Goebel,Undirected,42,29.2
Y Yang,N Ray,Undirected,43,2.0
O Zaïane,L Mou,Undirected,44,4.800000000000001
J Wright,M White,Undirected,45,0.0
A Fyshe,M White,Undirected,46,79.19999999999999
A Hindle,G Kondrak,Undirected,47,0.6666666666666666
A Hindle,R Greiner,Undirected,48,104.66666666666669
A Hindle,V Bulitko,Undirected,49,0.0
J Schaeffer,D Schuurmans,Undirected,50,116.0
J Schaeffer,M Bowling,Undirected,51,0.0
J Schaeffer,N Sturtevant,Undirected,52,349.43333333333317
J Schaeffer,R Holte,Undirected,53,376.6333333333332
J Schaeffer,D Szafron,Undirected,54,2801.1619047619038
J Schaeffer,V Bulitko,Undirected,55,89.33333333333334
D Szafron,A Fyshe,Undirected,56,211.59999999999997
V Bulitko,C Szepesvári,Undirected,57,4.5
V Bulitko,N Sturtevant,Undirected,58,202.33333333333331
V Bulitko,R Sutton,Undirected,59,12.0
R Goebel,D Schuurmans,Undirected,60,0.0
R Goebel,M Bowling,Undirected,61,0.0
R Goebel,G Kondrak,Undirected,62,16.666666666666668
R Goebel,R Holte,Undirected,63,0.0
R Goebel,R Greiner,Undirected,64,0.0
R Goebel,O Zaïane,Undirected,65,338.6666666666667
R Goebel,J Schaeffer,Undirected,66,0.0
R Hayward,G Kondrak,Undirected,67,21.333333333333332
N Ray,P Boulanger,Undirected,68,33.66666666666667
P Boulanger,M Guzdial,Undirected,69,3.3333333333333335
