Source,Target,Type,Id,Label
L Sigal,H Rhodin,Undirected,1,18.666666666666668
L Sigal,F Wood,Undirected,2,48.4
A Sheffer,L Sigal,Undirected,3,23.333333333333332
A Sheffer,H Rhodin,Undirected,4,18.666666666666668
J McGrenere,D Yoon,Undirected,5,16.333333333333336
G Carenini,L Sigal,Undirected,6,9.5
G Carenini,C Conati,Undirected,7,1448.0000000000005
G Carenini,R Ng,Undirected,8,1346.4666666666672
G Carenini,A Mackworth,Undirected,9,66.66666666666666
R Xiao,H Rhodin,Undirected,10,0.0
H Hoos,A Sheffer,Undirected,11,16.0
H Hoos,K Leyton-Brown,Undirected,12,1572.1333333333332
H Hoos,A Hu,Undirected,13,46.0
T Munzner,J McGrenere,Undirected,14,137.46666666666667
T Munzner,G Carenini,Undirected,15,3.8000000000000003
T Munzner,M Seltzer,Undirected,16,0.0
T Munzner,I Beschastnikh,Undirected,17,2.6666666666666665
T Munzner,N Harvey,Undirected,18,0.0
T Munzner,C Conati,Undirected,19,0.8
T Munzner,R Rensink,Undirected,20,30.0
M Seltzer,K Pattabiraman,Undirected,21,0.0
M Seltzer,M Lécuyer,Undirected,22,0.0
M Seltzer,A Fedorova,Undirected,23,630.9999999999999
V Shwartz,L Sigal,Undirected,24,0.0
I Beschastnikh,M Seltzer,Undirected,25,12.0
I Beschastnikh,D Yoon,Undirected,26,0.6666666666666666
I Beschastnikh,J Rubin,Undirected,27,64.28571428571428
I Beschastnikh,R Holmes,Undirected,28,0.8
I Beschastnikh,A Fedorova,Undirected,29,61.08571428571429
I Beschastnikh,C Lemieux,Undirected,30,200.0
K MacLean,J McGrenere,Undirected,31,324.0
K MacLean,T Munzner,Undirected,32,44.4
K MacLean,R Rensink,Undirected,33,30.0
D Yoon,A Sheffer,Undirected,34,0.6666666666666666
J Rubin,K Pattabiraman,Undirected,35,1.3333333333333333
C Conati,J McGrenere,Undirected,36,396.00000000000006
M Ripeanu,K Pattabiraman,Undirected,37,339.5333333333332
R Ng,L Lakshmanan,Undirected,38,0.0
A Fedorova,J Rubin,Undirected,39,4.285714285714286
M Friedlander,N Harvey,Undirected,40,11.5
R Garcia,R Holmes,Undirected,41,4.0
A Mackworth,J Little,Undirected,42,51.26666666666666
A Mackworth,C Conati,Undirected,43,66.66666666666666
A Mackworth,R Ng,Undirected,44,0.0
T Pasquier,M Seltzer,Undirected,45,363.8
A Condon,K Leyton-Brown,Undirected,46,200.06666666666666
A Condon,A Hu,Undirected,47,3.0
W Aiello,I Beschastnikh,Undirected,48,1.0
R Pottinger,L Lakshmanan,Undirected,49,1.6
R Rensink,H Hoos,Undirected,50,16.0
