Source,Target,Type,Id,Label
D Manocha,P Tokekar,Undirected,1,0.0
D Manocha,Z Liu,Undirected,2,28.5
D Manocha,F Huang,Undirected,3,0.0
D Manocha,A Varshney,Undirected,4,821.7142857142859
D Manocha,M Otte,Undirected,5,28.114285714285703
J Boyd-Graber,N Elmqvist,Undirected,6,128.59999999999997
J Dickerson,J Boyd-Graber,Undirected,7,0.0
J Dickerson,T Goldstein,Undirected,8,73.71428571428572
J Dickerson,M Mazurek,Undirected,9,13.666666666666666
J Dickerson,S Feizi,Undirected,10,3.4285714285714284
J Dickerson,P Resnik,Undirected,11,0.0
J Dickerson,M Carpuat,Undirected,12,0.0
J Dickerson,A Sussman,Undirected,13,0.0
T Goldstein,S Feizi,Undirected,14,409.6285714285714
J Huang,Z Liu,Undirected,15,62.0
J Huang,D Abadi,Undirected,16,256.0
J Huang,X Wu,Undirected,17,1.8666666666666665
J Huang,A Memon,Undirected,18,17.0
A Shrivastava,T Goldstein,Undirected,19,2.6666666666666665
A Shrivastava,T Zhou,Undirected,20,0.0
A Shrivastava,P Tokekar,Undirected,21,0.5
A Shrivastava,H Kacorri,Undirected,22,12.0
J Katz,D Dachman-Soled,Undirected,23,81.73333333333333
J Katz,J Baras,Undirected,24,0.0
N Elmqvist,J Lazar,Undirected,25,4.0
N Elmqvist,B Bederson,Undirected,26,0.0
M Lin,D Manocha,Undirected,27,7844.03333333334
M Lin,T Goldstein,Undirected,28,12.0
M Lin,Z Liu,Undirected,29,0.6
M Lin,H Peng,Undirected,30,28.999999999999996
M Lin,X Wu,Undirected,31,0.4
M Zwicker,T Goldstein,Undirected,32,10.8
M Zwicker,A Shrivastava,Undirected,33,39.800000000000004
M Zwicker,A Varshney,Undirected,34,62.599999999999994
D Levin,J Katz,Undirected,35,2.0
D Levin,T Dumitras,Undirected,36,42.333333333333336
D Levin,N Spring,Undirected,37,1000.6285714285714
D Levin,A Memon,Undirected,38,4.0
P Resnik,J Boyd-Graber,Undirected,39,1308.5952380952383
P Resnik,M Carpuat,Undirected,40,37.333333333333336
P Resnik,D Oard,Undirected,41,111.33333333333331
P Resnik,B Bederson,Undirected,42,61.0
A Srinivasan,J Dickerson,Undirected,43,65.26666666666668
A Srinivasan,N Elmqvist,Undirected,44,20.0
A Srinivasan,J Golbeck,Undirected,45,419.33333333333337
A Srinivasan,A Sussman,Undirected,46,0.0
Z Liu,A Shrivastava,Undirected,47,6.444444444444445
Z Liu,N Elmqvist,Undirected,48,46.666666666666664
Z Liu,M Zwicker,Undirected,49,64.25
Z Liu,T Zhou,Undirected,50,433.6
Z Liu,X Wu,Undirected,51,8.533333333333333
Z Liu,A Varshney,Undirected,52,4.5
Z Liu,J Lazar,Undirected,53,1.1428571428571428
M Carpuat,J Boyd-Graber,Undirected,54,0.0
T Dumitras,M Mazurek,Undirected,55,0.0
D Dachman-Soled,U Vishkin,Undirected,56,16.0
A Lazar,H Kacorri,Undirected,57,1.714285714285714
A Lazar,J Lazar,Undirected,58,10.0
H Peng,J Boyd-Graber,Undirected,59,0.8888888888888888
H Peng,J Huang,Undirected,60,0.0
H Peng,N Elmqvist,Undirected,61,0.0
H Peng,Z Liu,Undirected,62,0.0
X Wu,J Katz,Undirected,63,173.0
X Wu,S Feizi,Undirected,64,20.0
X Wu,T Zhou,Undirected,65,215.99999999999997
X Wu,P Tokekar,Undirected,66,1.5238095238095237
X Wu,A Memon,Undirected,67,20.0
F Huang,J Dickerson,Undirected,68,2.2857142857142856
F Huang,T Goldstein,Undirected,69,37.952380952380956
F Huang,S Feizi,Undirected,70,0.0
F Huang,T Zhou,Undirected,71,0.0
F Huang,P Tokekar,Undirected,72,2.0
F Huang,A Varshney,Undirected,73,0.0
F Huang,U Vishkin,Undirected,74,6.0
D Oard,J Boyd-Graber,Undirected,75,36.0
D Oard,C Plaisant,Undirected,76,0.0
D Oard,A Porter,Undirected,77,0.0
D Oard,B Bederson,Undirected,78,0.0
N Roy,R Duraiswami,Undirected,79,0.0
A Deshpande,B Shneiderman,Undirected,80,24.0
A Deshpande,A Sussman,Undirected,81,8.0
A Varshney,R Patro,Undirected,82,84.73333333333338
