Source,Target,Type,Id,Label
D Roth,C Callison-Burch,Undirected,1,75.2
D Roth,O Bastani,Undirected,2,1.3333333333333333
D Roth,A Nenkova,Undirected,3,11.0
D Roth,W Su,Undirected,4,1.5
K Daniilidis,G Pappas,Undirected,5,143.33333333333334
K Daniilidis,D Jayaraman,Undirected,6,38.0
K Daniilidis,P Chaudhari,Undirected,7,10.0
K Daniilidis,J Gallier,Undirected,8,79.2
C Callison-Burch,L Ungar,Undirected,9,53.333333333333336
C Callison-Burch,M Yatskar,Undirected,10,9.600000000000001
C Callison-Burch,M Liberman,Undirected,11,4.0
S Khanna,M Yim,Undirected,12,10.5
S Khanna,I Lee,Undirected,13,76.79999999999998
S Khanna,R Alur,Undirected,14,65.8
S Khanna,M Kearns,Undirected,15,91.86666666666667
S Khanna,A De,Undirected,16,6.0
S Khanna,A Haeberlen,Undirected,17,510.0
S Khanna,S Davidson,Undirected,18,33.0
S Khanna,S Guha,Undirected,19,140.33333333333331
S Khanna,R Vohra,Undirected,20,5.0
C Jiang,K Daniilidis,Undirected,21,19.333333333333332
L Ungar,M Marcus,Undirected,22,11.0
L Ungar,J Gallier,Undirected,23,30.0
L Ungar,M Liberman,Undirected,24,6.0
J Shi,K Daniilidis,Undirected,25,154.9333333333333
J Shi,J Gallier,Undirected,26,52.0
J Shi,J Gee,Undirected,27,14.8
M Naik,O Bastani,Undirected,28,44.333333333333336
M Naik,R Mangharam,Undirected,29,0.0
I Lee,M Yim,Undirected,30,24.93333333333333
I Lee,G Pappas,Undirected,31,112.26666666666667
I Lee,O Bastani,Undirected,32,83.0
I Lee,M Naik,Undirected,33,0.0
I Lee,R Alur,Undirected,34,1048.083333333333
I Lee,L Phan,Undirected,35,2.5
I Lee,R Marcus,Undirected,36,2.3333333333333335
I Lee,P Mishra,Undirected,37,0.0
I Lee,S Davidson,Undirected,38,182.66666666666669
I Lee,R Mangharam,Undirected,39,343.2952380952381
I Lee,A Scedrov,Undirected,40,0.0
R Alur,G Pappas,Undirected,41,86.0
R Alur,O Bastani,Undirected,42,122.66666666666667
R Alur,M Naik,Undirected,43,103.0
R Alur,S Guha,Undirected,44,22.4
R Alur,R Mangharam,Undirected,45,229.71428571428578
M Kearns,R Vohra,Undirected,46,66.85714285714285
D Jayaraman,O Bastani,Undirected,47,48.166666666666664
L Liu,L Ungar,Undirected,48,111.2
L Liu,G Li,Undirected,49,41.17142857142857
V Liu,S Angel,Undirected,50,38.371428571428574
A Nenkova,M Marcus,Undirected,51,65.33333333333334
A Haeberlen,I Lee,Undirected,52,7.000000000000001
A Haeberlen,S Angel,Undirected,53,4.0
A Haeberlen,B Pierce,Undirected,54,18.0
A Haeberlen,M Zhao,Undirected,55,176.62857142857146
S Goel,D Watts,Undirected,56,355.66666666666663
S Zdancewic,O Bastani,Undirected,57,0.0
S Zdancewic,L Ungar,Undirected,58,2.0
S Zdancewic,I Lee,Undirected,59,15.0
S Zdancewic,R Alur,Undirected,60,141.33333333333334
S Zdancewic,B Pierce,Undirected,61,0.0
S Zdancewic,A DeHon,Undirected,62,0.0
S Zdancewic,A Scedrov,Undirected,63,22.666666666666664
Z Ives,D Roth,Undirected,64,32.0
Z Ives,I Lee,Undirected,65,156.33333333333334
Z Ives,A Haeberlen,Undirected,66,89.95000000000002
Z Ives,S Davidson,Undirected,67,1.3333333333333333
Z Ives,S Guha,Undirected,68,0.0
Z Ives,J Smith,Undirected,69,0.0
S Kannan,K Daniilidis,Undirected,70,209.66666666666669
S Kannan,S Khanna,Undirected,71,877.1999999999997
S Kannan,I Lee,Undirected,72,1903.9238095238086
S Kannan,R Alur,Undirected,73,342.3333333333333
S Kannan,M Kearns,Undirected,74,66.85714285714285
S Kannan,A De,Undirected,75,0.0
S Kannan,S Angel,Undirected,76,4.0
S Kannan,S Guha,Undirected,77,41.333333333333336
S Kannan,J Smith,Undirected,78,0.0
S Kannan,M Marcus,Undirected,79,68.0
S Kannan,R Vohra,Undirected,80,99.85714285714283
B Lee,K Daniilidis,Undirected,81,27.333333333333332
B Lee,D Jayaraman,Undirected,82,2.0
G Li,M Yim,Undirected,83,45.53333333333334
P Mishra,R Alur,Undirected,84,136.57142857142858
S Davidson,M Liberman,Undirected,85,1.6
J Smith,I Lee,Undirected,86,0.0
J Smith,C Taylor,Undirected,87,6.5
J Smith,A Head,Undirected,88,18.0
J Smith,A DeHon,Undirected,89,0.0
J Smith,L Wang,Undirected,90,0.2857142857142857
R Mangharam,G Pappas,Undirected,91,13.642857142857144
T Rabin,S Angel,Undirected,92,8.5
N Badler,A Nenkova,Undirected,93,5.0
N Badler,J Gallier,Undirected,94,9.333333333333334
J Gee,J Gallier,Undirected,95,20.8
M Liberman,M Marcus,Undirected,96,12.285714285714286
A Scedrov,B Pierce,Undirected,97,2.4
L Wang,C Jiang,Undirected,98,0.0
L Wang,J Shi,Undirected,99,235.6
L Wang,L Liu,Undirected,100,110.32222222222222
L Wang,V Liu,Undirected,101,9.2
L Wang,W Su,Undirected,102,11.466666666666667
L Wang,G Li,Undirected,103,33.2
