Source,Target,Type,Id,Label
S Fidler,F Chevalier,Undirected,1,20.0
S Fidler,A Jacobson,Undirected,2,162.39999999999998
S Fidler,R Grosse,Undirected,3,65.0
S Fidler,F Shkurti,Undirected,4,13.333333333333334
S Fidler,J Ba,Undirected,5,623.6666666666665
S Fidler,M Brudno,Undirected,6,46.0
S Fidler,S Easterbrook,Undirected,7,54.0
D Wigdor,T Grossman,Undirected,8,1449.1333333333334
D Wigdor,K Truong,Undirected,9,2.4
D Wigdor,K Lyons,Undirected,10,0.0
A Garg,A Jacobson,Undirected,11,38.400000000000006
A Garg,E Grinspun,Undirected,12,202.29999999999995
A Garg,I Gilitschenski,Undirected,13,0.0
A Garg,F Shkurti,Undirected,14,103.60000000000002
A Garg,J Kelly,Undirected,15,27.42857142857142
A Garg,M Erdogdu,Undirected,16,2.0
A Garg,A Anderson,Undirected,17,13.0
A Garg,J Burgner-Kahrs,Undirected,18,27.42857142857142
A Garg,S Dickinson,Undirected,19,8.8
A Garg,A Jepson,Undirected,20,10.4
A Garg,A Goel,Undirected,21,1.5
A Garg,A Goldenberg,Undirected,22,27.42857142857142
A Garg,A Aspuru-Guzik,Undirected,23,6.0
A Garg,S Easterbrook,Undirected,24,2.4
F Chevalier,T Grossman,Undirected,25,265.1
F Chevalier,D Wigdor,Undirected,26,264.69999999999993
F Chevalier,A Jacobson,Undirected,27,1.3333333333333333
F Chevalier,R Balakrishnan,Undirected,28,724.1999999999998
F Chevalier,K Truong,Undirected,29,0.8
F Chevalier,A Goldenberg,Undirected,30,1.0
K Singh,S Fidler,Undirected,31,33.07142857142857
K Singh,T Grossman,Undirected,32,234.8666666666667
K Singh,D Wigdor,Undirected,33,110.44285714285718
K Singh,F Chevalier,Undirected,34,114.2
K Singh,A Jacobson,Undirected,35,6.4
K Singh,R Balakrishnan,Undirected,36,945.6999999999998
K Singh,B Li,Undirected,37,9.0
K Singh,A Goel,Undirected,38,1.3333333333333333
T Barfoot,A Garg,Undirected,39,27.42857142857142
T Barfoot,J Kelly,Undirected,40,37.428571428571416
T Barfoot,J Burgner-Kahrs,Undirected,41,27.42857142857142
T Barfoot,A Goldenberg,Undirected,42,27.42857142857142
A Jacobson,D Duvenaud,Undirected,43,63.6
E Grinspun,A Jacobson,Undirected,44,212.0
R Grosse,J Ba,Undirected,45,348.4
D Duvenaud,R Grosse,Undirected,46,1332.1666666666665
D Duvenaud,J Ba,Undirected,47,9.0
D Duvenaud,A Goldenberg,Undirected,48,205.79999999999998
D Duvenaud,A Aspuru-Guzik,Undirected,49,481.3333333333333
R Balakrishnan,T Grossman,Undirected,50,4342.638095238091
R Balakrishnan,D Wigdor,Undirected,51,2637.4333333333343
G Pekhimenko,T Grossman,Undirected,52,12.0
G Pekhimenko,F Long,Undirected,53,11.0
G Pekhimenko,N Vijaykumar,Undirected,54,888.8
G Pekhimenko,B Schroeder,Undirected,55,4.0
J Kelly,D Duvenaud,Undirected,56,30.166666666666664
J Kelly,I Gilitschenski,Undirected,57,1.0
J Kelly,J Burgner-Kahrs,Undirected,58,27.42857142857142
J Kelly,M Brudno,Undirected,59,1.7142857142857142
J Kelly,A Goldenberg,Undirected,60,27.42857142857142
J Kelly,S Easterbrook,Undirected,61,81.0
N Papernot,S Ahmed,Undirected,62,7.666666666666667
N Papernot,D Lie,Undirected,63,0.8
N Papernot,A Goldenberg,Undirected,64,52.5
J Ba,M Erdogdu,Undirected,65,49.6
S McIlraith,S Sanner,Undirected,66,3.0
S McIlraith,J Ba,Undirected,67,8.0
G Hirst,D Duvenaud,Undirected,68,225.33333333333334
G Hirst,G Penn,Undirected,69,9.999999999999998
F Rudzicz,G Hirst,Undirected,70,141.59999999999997
F Rudzicz,D Fleet,Undirected,71,1.6
F Rudzicz,C Munteanu,Undirected,72,12.799999999999999
F Rudzicz,B Li,Undirected,73,34.71904761904762
F Rudzicz,M Brudno,Undirected,74,101.53333333333333
F Rudzicz,G Penn,Undirected,75,50.285714285714285
N Koudas,Y Ganjali,Undirected,76,84.0
S Dickinson,S Fidler,Undirected,77,636.4952380952382
S Dickinson,D Fleet,Undirected,78,86.0
B Frey,J Ba,Undirected,79,763.3333333333334
B Frey,Q Morris,Undirected,80,150.66666666666669
B Li,K Truong,Undirected,81,0.3333333333333333
B Li,D Fleet,Undirected,82,9.2
B Li,A Goel,Undirected,83,0.0
B Li,S Zhou,Undirected,84,6.0
F Bacchus,R Grosse,Undirected,85,2.4
F Bacchus,S McIlraith,Undirected,86,9.0
F Bacchus,M Fox,Undirected,87,0.0
M Brudno,D Wigdor,Undirected,88,74.00000000000001
M Brudno,F Chevalier,Undirected,89,106.00000000000003
M Brudno,A Goldenberg,Undirected,90,18.0
M Brudno,Q Morris,Undirected,91,21.33333333333333
M Chechik,D Lie,Undirected,92,120.46666666666667
M Chechik,S Easterbrook,Undirected,93,1935.4
A Jepson,S Dickinson,Undirected,94,236.9047619047618
A Jepson,D Fleet,Undirected,95,89.33333333333333
A Goel,C Munteanu,Undirected,96,2.2857142857142856
A Goel,E Lara,Undirected,97,111.55555555555556
A Goel,Y Ganjali,Undirected,98,739.6
A Goel,B Schroeder,Undirected,99,0.0
G Penn,D Wigdor,Undirected,100,48.0
G Penn,R Balakrishnan,Undirected,101,42.0
G Penn,C Munteanu,Undirected,102,263.5238095238095
G Penn,Y Ganjali,Undirected,103,42.0
A Brown,J Beck,Undirected,104,16.333333333333332
S Zhou,M Stumm,Undirected,105,719.0
A Goldenberg,J Burgner-Kahrs,Undirected,106,27.42857142857142
Y Ganjali,R Balakrishnan,Undirected,107,58.0
Y Ganjali,D Lie,Undirected,108,97.33333333333333
A Aspuru-Guzik,F Shkurti,Undirected,109,6.0
A Aspuru-Guzik,N Wiebe,Undirected,110,398.33333333333337
Q Morris,D Duvenaud,Undirected,111,128.0
Q Morris,A Goldenberg,Undirected,112,91.06666666666666
T Abdelrahman,M Stumm,Undirected,113,0.0
M Fox,G Hirst,Undirected,114,0.0
M Grüninger,S McIlraith,Undirected,115,32.0
