Source,Target,Type,Id,Label
N Smith,H Hajishirzi,Undirected,1,192.33333333333331
N Smith,Y Tsvetkov,Undirected,2,78.4
N Smith,K Reinecke,Undirected,3,8.0
Y Choi,N Smith,Undirected,4,73.2
Y Choi,L Zettlemoyer,Undirected,5,2063.1000000000004
Y Choi,H Hajishirzi,Undirected,6,214.4666666666667
Y Choi,S Oh,Undirected,7,2.6666666666666665
Y Choi,J Heer,Undirected,8,0.4
Y Choi,Y Tsvetkov,Undirected,9,0.0
Y Choi,F Roesner,Undirected,10,467.4285714285714
L Zettlemoyer,H Hajishirzi,Undirected,11,924.0190476190478
L Zettlemoyer,T Kohno,Undirected,12,40.0
L Zettlemoyer,M Cakmak,Undirected,13,303.4
H Hajishirzi,L Shapiro,Undirected,14,780.3333333333333
Y Lee,S Patel,Undirected,15,7.0
Y Lee,S Oh,Undirected,16,101.17222222222225
S Kakade,E Todorov,Undirected,17,139.2
S Patel,J Wobbrock,Undirected,18,294.6666666666667
S Patel,J Froehlich,Undirected,19,398.53333333333325
S Patel,T Kohno,Undirected,20,4441.571428571429
S Patel,J Kientz,Undirected,21,0.9999999999999999
S Patel,F Roesner,Undirected,22,4308.0
S Patel,L Ceze,Undirected,23,16.8
S Patel,J Fogarty,Undirected,24,143.48571428571432
S Patel,T Althoff,Undirected,25,1.5
A Krishnamurthy,S Kakade,Undirected,26,199.40000000000003
A Krishnamurthy,T Kohno,Undirected,27,626.5333333333332
A Krishnamurthy,R Mahajan,Undirected,28,90.66666666666666
A Krishnamurthy,F Roesner,Undirected,29,103.00000000000001
A Krishnamurthy,L Ceze,Undirected,30,277.4
A Krishnamurthy,S Peter,Undirected,31,950.719047619047
A Krishnamurthy,T Anderson,Undirected,32,5332.676190476193
A Krishnamurthy,Z Tatlock,Undirected,33,60.93333333333333
J Mankoff,J Heer,Undirected,34,214.13333333333333
J Mankoff,A Dey,Undirected,35,578.452380952381
J Mankoff,J Froehlich,Undirected,36,1043.6666666666665
J Mankoff,J Kientz,Undirected,37,1250.0
J Mankoff,J Fogarty,Undirected,38,16.0
J Mankoff,V Iyer,Undirected,39,8.8
J Mankoff,G Hsieh,Undirected,40,1391.0
J Mankoff,A Schulz,Undirected,41,2.0
S Oh,S Kakade,Undirected,42,72.0
S Oh,L Schmidt,Undirected,43,0.8
S Du,S Kakade,Undirected,44,119.88571428571431
S Du,K Jamieson,Undirected,45,30.400000000000002
S Seitz,I Kemelmacher-Shlizerman,Undirected,46,212.83333333333331
J Heer,K Reinecke,Undirected,47,0.6666666666666666
J Heer,L Battle,Undirected,48,184.0
A Dey,G Hsieh,Undirected,49,124.79999999999998
J Bilmes,M Cakmak,Undirected,50,0.0
J Bilmes,V Iyer,Undirected,51,26.0
T Kohno,S Kakade,Undirected,52,174.85714285714286
R Mahajan,E Lazowska,Undirected,53,8.0
Y Tsvetkov,H Hajishirzi,Undirected,54,2.0
M Cakmak,Z Tatlock,Undirected,55,148.0
M Cakmak,R Rao,Undirected,56,38.4
L Findlater,J Wobbrock,Undirected,57,670.6666666666667
L Findlater,J Froehlich,Undirected,58,2461.2285714285713
L Findlater,A Hiniker,Undirected,59,0.0
L Findlater,R Anderson,Undirected,60,3.333333333333333
J Kientz,R Mahajan,Undirected,61,2.4
H Lin,Y Choi,Undirected,62,0.4
