Source,Target,Type,Id,Label
J Lin,Y Yu,Undirected,1,197.37142857142854
J Lin,S Salihoglu,Undirected,2,271.2
J Lin,M Nagappan,Undirected,3,2.571428571428571
J Lin,O Vechtomova,Undirected,4,271.0
J Lin,Y Lu,Undirected,5,283.0
Y Yu,P Poupart,Undirected,6,60.733333333333334
Y Boykov,O Veksler,Undirected,7,24080.46666666668
P Poupart,V Ganesh,Undirected,8,399.2190476190475
P Poupart,K Larson,Undirected,9,0.0
P Poupart,O Vechtomova,Undirected,10,150.0
P Poupart,R Cohen,Undirected,11,130.66666666666666
W Chen,B Ma,Undirected,12,0.0
E Lank,P Poupart,Undirected,13,30.0
E Lank,J Wallace,Undirected,14,0.0
E Lank,U Hengartner,Undirected,15,45.199999999999996
E Lank,O Vechtomova,Undirected,16,17.0
E Lank,N Day,Undirected,17,0.0
I Ilyas,J Lin,Undirected,18,33.0
I Ilyas,S Ben-David,Undirected,19,18.666666666666668
A Gurfinkel,V Ganesh,Undirected,20,13.0
A Gurfinkel,S Ben-David,Undirected,21,21.0
K Larson,U Hengartner,Undirected,22,14.000000000000002
K Larson,T Brecht,Undirected,23,6.833333333333334
K Larson,R Cohen,Undirected,24,103.86666666666666
K Larson,M Karsten,Undirected,25,5.333333333333333
K Larson,J Könemann,Undirected,26,13.333333333333334
D Stebila,F Kerschbaum,Undirected,27,18.666666666666668
E Law,E Lank,Undirected,28,32.0
E Law,K Larson,Undirected,29,142.66666666666663
E Law,R Cohen,Undirected,30,1.6
Y Zhang,J Lin,Undirected,31,16.933333333333334
Y Zhang,Y Yu,Undirected,32,9.866666666666667
Y Zhang,P Poupart,Undirected,33,11.0
Y Zhang,F Kerschbaum,Undirected,34,67.0
Y Zhang,W Chen,Undirected,35,389.69047619047615
Y Zhang,K Larson,Undirected,36,1.0
Y Zhang,C Sun,Undirected,37,2.4444444444444446
Y Zhang,R Oliveira,Undirected,38,35.5
Y Zhang,Y Li,Undirected,39,697.8238095238092
Y Zhang,Y Lu,Undirected,40,6.0
S Al-Kiswany,Y Zhang,Undirected,41,40.8
S Al-Kiswany,T Brecht,Undirected,42,2.0
C Sun,M Nagappan,Undirected,43,0.0
S Ben-David,Y Yu,Undirected,44,6.666666666666667
C Clarke,G Cormack,Undirected,45,25.0
J Hoey,P Poupart,Undirected,46,1867.323809523809
J Hoey,M Nagappan,Undirected,47,60.666666666666664
J Hoey,R Cohen,Undirected,48,8.666666666666668
S McIntosh,M Nagappan,Undirected,49,133.66666666666666
K Salem,S Salihoglu,Undirected,50,19.200000000000003
M Nagappan,Y Yu,Undirected,51,2.571428571428571
M Nagappan,N Asokan,Undirected,52,4.0
M Nagappan,M Godfrey,Undirected,53,12.0
O Vechtomova,R Cohen,Undirected,54,1.3333333333333333
T Brecht,K Salem,Undirected,55,15.428571428571429
T Brecht,M Karsten,Undirected,56,8.0
Y Li,J Lin,Undirected,57,7.166666666666666
Y Li,Y Yu,Undirected,58,66.85714285714285
Y Li,P Poupart,Undirected,59,26.666666666666668
Y Li,W Chen,Undirected,60,117.91666666666666
Y Li,E Lank,Undirected,61,403.50000000000006
Y Li,A Gurfinkel,Undirected,62,464.9
Y Li,N Asokan,Undirected,63,8.0
Y Li,K Larson,Undirected,64,0.0
Y Li,C Sun,Undirected,65,529.5999999999999
Y Li,R Oliveira,Undirected,66,76.3
Y Li,O Lhoták,Undirected,67,4.666666666666667
Y Li,Y Lu,Undirected,68,19.75
Y Li,J Könemann,Undirected,69,5.0
Y Li,M Godfrey,Undirected,70,0.0
Y Lu,Y Yu,Undirected,71,0.0
Y Lu,N Asokan,Undirected,72,278.0
Y Lu,O Vechtomova,Undirected,73,285.4
Y Lu,J Atlee,Undirected,74,0.0
Y Lu,N Day,Undirected,75,0.0
M Smucker,C Clarke,Undirected,76,46.0
J Atlee,D Berry,Undirected,77,0.0
J Atlee,N Day,Undirected,78,0.0
M Karsten,S Salihoglu,Undirected,79,18.0
M Karsten,K Salem,Undirected,80,24.0
A Nayak,R Boutaba,Undirected,81,86.33333333333334
A Nayak,J Watrous,Undirected,82,526.4
R Boutaba,R Cohen,Undirected,83,4.4
R Boutaba,M Karsten,Undirected,84,8.666666666666668
R Cleve,D Berry,Undirected,85,0.4
W Dietl,O Lhoták,Undirected,86,16.0
D Rayside,V Ganesh,Undirected,87,1.6
D Rayside,J Atlee,Undirected,88,1.6
J Watrous,R Cleve,Undirected,89,2057.3333333333335
