Source,Target,Type,Id,Label
T Ristenpart,N Dell,Undirected,1,218.53333333333336
T Ristenpart,I Miers,Undirected,2,44.466666666666676
T Ristenpart,D Page,Undirected,3,728.0
T Ristenpart,D Micciancio,Undirected,4,2.0
T Ristenpart,J Jaeger,Undirected,5,30.666666666666668
T Ristenpart,B Recht,Undirected,6,27.0
T Ristenpart,D McCoy,Undirected,7,91.33333333333333
T Ristenpart,R Greenstadt,Undirected,8,10.0
N Snavely,B Hariharan,Undirected,9,167.79999999999995
N Snavely,S Marschner,Undirected,10,74.66666666666666
N Snavely,K Bala,Undirected,11,1944.5999999999997
N Snavely,Y Artzi,Undirected,12,196.00000000000003
N Snavely,D Bindel,Undirected,13,65.33333333333333
N Snavely,R Zabih,Undirected,14,0.0
N Snavely,A Davis,Undirected,15,33.0
N Snavely,J Gardner,Undirected,16,172.0
N Snavely,T Zhou,Undirected,17,1265.9
N Snavely,B Curless,Undirected,18,5517.9
N Snavely,Z Popovic,Undirected,19,135.2
N Snavely,R Anderson,Undirected,20,159.33333333333331
N Snavely,R Ramamoorthi,Undirected,21,215.00000000000003
N Snavely,A Owens,Undirected,22,835.5
N Snavely,F Dellaert,Undirected,23,0.0
N Snavely,W Freeman,Undirected,24,0.5714285714285714
N Snavely,D Huttenlocher,Undirected,25,1228.5
N Snavely,D Ramanan,Undirected,26,57.0
N Snavely,S Tulsiani,Undirected,27,150.66666666666666
N Snavely,A Kanazawa,Undirected,28,89.46666666666667
N Snavely,G Wetzstein,Undirected,29,88.0
N Snavely,Y Furukawa,Undirected,30,3420.0
K Weinberger,J Gardner,Undirected,31,103.86666666666666
K Weinberger,L Saul,Undirected,32,140.66666666666666
J Kleinberg,A Benson,Undirected,33,40.0
J Kleinberg,C Danescu-Niculescu-Mizil,Undirected,34,1525.6666666666667
J Kleinberg,L Lee,Undirected,35,1512.0
J Kleinberg,É Tardos,Undirected,36,17446.800000000003
J Kleinberg,D Bindel,Undirected,37,305.3333333333333
J Kleinberg,S Aaronson,Undirected,38,1.9999999999999998
J Kleinberg,S Guha,Undirected,39,1.9999999999999998
J Kleinberg,D Watts,Undirected,40,554.6666666666666
J Kleinberg,C Papadimitriou,Undirected,41,1278.6666666666663
J Kleinberg,D Romero,Undirected,42,525.1666666666665
J Kleinberg,S Kumar,Undirected,43,9.0
J Kleinberg,J Andreas,Undirected,44,24.0
J Kleinberg,A Ozdaglar,Undirected,45,0.0
J Kleinberg,B Berger,Undirected,46,86.66666666666667
J Kleinberg,R Rubinfeld,Undirected,47,252.0
J Kleinberg,D Huttenlocher,Undirected,48,12677.43333333333
J Kleinberg,A Frieze,Undirected,49,49.0
J Kleinberg,M Jordan,Undirected,50,44.33333333333334
J Kleinberg,J Mitchell,Undirected,51,0.0
J Kleinberg,A Sahai,Undirected,52,152.0
J Kleinberg,A Anderson,Undirected,53,3219.233333333334
J Kleinberg,B Ma,Undirected,54,0.0
C Cardie,K Weinberger,Undirected,55,115.2
C Cardie,A Rush,Undirected,56,17.0
C Cardie,B Hariharan,Undirected,57,61.14285714285715
C Cardie,K Bala,Undirected,58,0.0
C Cardie,Y Artzi,Undirected,59,3.2
C Cardie,P Sengers,Undirected,60,0.8
C Cardie,K McKeown,Undirected,61,87.79999999999998
C Cardie,A Ritter,Undirected,62,112.0
C Cardie,A Gray,Undirected,63,75.0
C Cardie,R Williams,Undirected,64,62.0
C Cardie,N Kim,Undirected,65,0.5714285714285714
C Gomes,B Selman,Undirected,66,694.0333333333333
C Gomes,D Shmoys,Undirected,67,140.0
C Gomes,P Stone,Undirected,68,0.0
C Gomes,D Kim,Undirected,69,0.0
C Gomes,L Schmidt,Undirected,70,136.56666666666666
C Gomes,R Impagliazzo,Undirected,71,0.0
C Gomes,R Williams,Undirected,72,62.666666666666664
C Gomes,F Fang,Undirected,73,59.14285714285715
C Gomes,C Barrett,Undirected,74,59.14285714285715
C Gomes,P Smaragdis,Undirected,75,4.0
C Gomes,M Fox,Undirected,76,0.0
B Hariharan,E Andersen,Undirected,77,2.0
B Hariharan,J Hoffman,Undirected,78,596.0000000000001
B Hariharan,D Ramanan,Undirected,79,712.0
B Hariharan,D Pathak,Undirected,80,613.2
B Hariharan,A Aiken,Undirected,81,266.40000000000003
B Hariharan,B Wallace,Undirected,82,53.0
R Kleinberg,J Kleinberg,Undirected,83,623.7333333333332
R Kleinberg,C Cardie,Undirected,84,203.0
R Kleinberg,T Joachims,Undirected,85,1031.3333333333333
R Kleinberg,N Foster,Undirected,86,360.2857142857142
R Kleinberg,É Tardos,Undirected,87,766.3999999999997
R Kleinberg,K Birman,Undirected,88,36.0
R Kleinberg,T Roughgarden,Undirected,89,56.0
R Kleinberg,C Papadimitriou,Undirected,90,54.0
R Kleinberg,C Peikert,Undirected,91,0.0
R Kleinberg,A Parker,Undirected,92,220.33333333333331
R Kleinberg,P Indyk,Undirected,93,2.0
R Kleinberg,T Sandholm,Undirected,94,420.00000000000006
R Kleinberg,A Frieze,Undirected,95,0.0
R Kleinberg,R Kumar,Undirected,96,0.0
R Kleinberg,R Sundaram,Undirected,97,255.2
R Kleinberg,V King,Undirected,98,0.0
R Kleinberg,W Chen,Undirected,99,21.2
Z Zhang,N Snavely,Undirected,100,32.53333333333334
Z Zhang,B Hariharan,Undirected,101,31.2
Z Zhang,S Marschner,Undirected,102,12.0
Z Zhang,M Udell,Undirected,103,0.4
Z Zhang,S Azenkot,Undirected,104,15.833333333333332
Z Zhang,C Batten,Undirected,105,28.495238095238093
Z Zhang,A Sampson,Undirected,106,0.0
Z Zhang,Z Wang,Undirected,107,106.22936507936507
Z Zhang,Q Huang,Undirected,108,127.3952380952381
Z Zhang,Y Zhu,Undirected,109,9.166666666666666
Z Zhang,I Dillig,Undirected,110,0.4
Z Zhang,L Qiu,Undirected,111,110.53333333333332
Z Zhang,E Vouga,Undirected,112,45.42857142857142
Z Zhang,C Lin,Undirected,113,7.800000000000001
Z Zhang,C Bajaj,Undirected,114,5.5
Z Zhang,D Ballard,Undirected,115,2.6666666666666665
Z Zhang,A Huth,Undirected,116,45.42857142857142
Z Zhang,D Roth,Undirected,117,22.75
Z Zhang,J Shi,Undirected,118,28.22222222222222
Z Zhang,I Lee,Undirected,119,207.7333333333333
Z Zhang,R Alur,Undirected,120,0.0
Z Zhang,L Liu,Undirected,121,3.2222222222222223
Z Zhang,G Li,Undirected,122,21.61904761904762
Z Zhang,R Mangharam,Undirected,123,0.0
Z Zhang,J Boyd-Graber,Undirected,124,0.2857142857142857
Z Zhang,J Huang,Undirected,125,22.976190476190478
Z Zhang,J Katz,Undirected,126,6.8
Z Zhang,T Zhou,Undirected,127,34.8
Z Zhang,P Tokekar,Undirected,128,27.99999999999999
Z Zhang,A Srinivasan,Undirected,129,0.0
Z Zhang,Z Liu,Undirected,130,53.43888888888888
Z Zhang,X Wu,Undirected,131,21.876984126984127
Z Zhang,F Huang,Undirected,132,2.0
Z Zhang,B Shneiderman,Undirected,133,121.33333333333334
Z Zhang,R Duraiswami,Undirected,134,5.0
Z Zhang,E Ruppin,Undirected,135,0.5
Z Zhang,S Jha,Undirected,136,7.5
Z Zhang,A Albarghouthi,Undirected,137,15.999999999999998
Z Zhang,J Patel,Undirected,138,15.999999999999998
Z Zhang,Y Liang,Undirected,139,113.60000000000001
Z Zhang,X Yu,Undirected,140,40.5
Z Zhang,S Venkataraman,Undirected,141,0.0
Z Zhang,Y Kim,Undirected,142,21.190476190476197
Z Zhang,P Koutris,Undirected,143,15.999999999999998
Z Zhang,R Goyal,Undirected,144,3.714285714285714
Z Zhang,S Du,Undirected,145,65.33333333333333
Z Zhang,R Mahajan,Undirected,146,130.4
Z Zhang,R Rao,Undirected,147,2.6666666666666665
Z Zhang,A Zhang,Undirected,148,9.333333333333334
Z Zhang,J Lee,Undirected,149,49.11111111111113
Z Zhang,A Gupta,Undirected,150,1.1428571428571428
Z Zhang,D Xu,Undirected,151,23.7
Z Zhang,N Li,Undirected,152,62.2
Z Zhang,J Honorio,Undirected,153,17.5
Z Zhang,J Tian,Undirected,154,42.73333333333334
Z Zhang,J Ma,Undirected,155,0.0
Z Zhang,Y Hu,Undirected,156,285.8388888888889
Z Zhang,K Quanrud,Undirected,157,14.133333333333333
Z Zhang,E Bertino,Undirected,158,0.0
Z Zhang,D Kihara,Undirected,159,0.6666666666666666
Z Zhang,Y Lu,Undirected,160,19.29285714285714
Z Zhang,R Ramamoorthi,Undirected,161,20.666666666666668
Z Zhang,T Berg-Kirkpatrick,Undirected,162,10.0
Z Zhang,J McAuley,Undirected,163,19.9047619047619
Z Zhang,F Koushanfar,Undirected,164,3.0
Z Zhang,Z Tu,Undirected,165,1870.371428571429
Z Zhang,G Voelker,Undirected,166,19.75
Z Zhang,Z Hu,Undirected,167,48.666666666666664
Z Zhang,J Shang,Undirected,168,4.0
Z Zhang,P Xie,Undirected,169,0.8
Z Zhang,H Xia,Undirected,170,8.666666666666666
Z Zhang,R Kastner,Undirected,171,0.0
Z Zhang,A Schulman,Undirected,172,1.1428571428571428
Z Zhang,Y Wang,Undirected,173,310.6579365079366
Z Zhang,S Gao,Undirected,174,2.111111111111111
Z Zhang,T Rahman,Undirected,175,0.4
Z Zhang,N Weibel,Undirected,176,5.666666666666667
Z Zhang,H Jin,Undirected,177,53.53333333333333
