Source,Target,Type,Id,Label
H Buhrman,R Cleve,Undirected,1,2395.2999999999993
H Buhrman,J Watrous,Undirected,2,1014.0
H Buhrman,R de Wolf,Undirected,3,511.70000000000005
H Buhrman,J Tromp,Undirected,4,31.0
H Buhrman,M Mosca,Undirected,5,342.80000000000007
H Buhrman,R De Wolf,Undirected,6,924.5999999999999
H Buhrman,R Beals,Undirected,7,342.80000000000007
H Buhrman,A Wigderson,Undirected,8,306.6666666666667
H Buhrman,W Van Dam,Undirected,9,132.0
H Buhrman,C Zalka,Undirected,10,79.5
H Buhrman,F Unger,Undirected,11,23.333333333333332
H Buhrman,M Li,Undirected,15,49.5
H Buhrman,T Jiang,Undirected,16,16.5
H Buhrman,P Vitányi,Undirected,17,47.5
R Cleve,J Watrous,Undirected,19,2015.3333333333335
R Cleve,R de Wolf,Undirected,20,511.70000000000005
R Cleve,P Hoyer,Undirected,21,430.0
R Cleve,B Toner,Undirected,22,430.0
R Cleve,R Jain,Undirected,23,19.333333333333332
R Cleve,S Upadhyay,Undirected,24,65.5
R Cleve,A Barenco,Undirected,26,1590.6666666666667
R Cleve,CH Bennett,Undirected,27,1590.6666666666667
R Cleve,DP DiVincenzo,Undirected,28,1662.6666666666667
R Cleve,N Margolus,Undirected,29,1590.6666666666667
R Cleve,P Shor,Undirected,30,1590.6666666666667
R Cleve,D Gottesman,Undirected,31,1091.3333333333335
R Cleve,HK Lo,Undirected,32,943.3333333333333
R Cleve,A Ekert,Undirected,33,696.5999999999999
R Cleve,C Macchiavello,Undirected,34,696.5999999999999
R Cleve,M Mosca,Undirected,35,1053.3999999999996
R Cleve,R De Wolf,Undirected,36,924.5999999999999
R Cleve,AM Childs,Undirected,37,344.1666666666667
R Cleve,E Deotto,Undirected,38,307.6666666666667
R Cleve,E Farhi,Undirected,39,307.6666666666667
R Cleve,S Gutmann,Undirected,40,307.6666666666667
R Cleve,DA Spielman,Undirected,41,307.6666666666667
R Cleve,R Beals,Undirected,42,342.80000000000007
R Cleve,DW Berry,Undirected,43,316.0
R Cleve,G Ahokas,Undirected,44,320.0
R Cleve,BC Sanders,Undirected,45,318.33333333333337
R Cleve,C Dankert,Undirected,46,281.0
R Cleve,J Emerson,Undirected,47,281.0
R Cleve,E Livine,Undirected,48,281.0
R Cleve,A Wigderson,Undirected,49,306.6666666666667
R Cleve,G Brassard,Undirected,50,194.66666666666666
R Cleve,A Tapp,Undirected,51,288.16666666666663
R Cleve,LMK Vandersypen,Undirected,52,84.0
R Cleve,M Steffen,Undirected,53,84.0
R Cleve,G Breyta,Undirected,54,84.0
R Cleve,CS Yannoni,Undirected,55,84.0
R Cleve,IL Chuang,Undirected,56,84.0
R Cleve,NH Bshouty,Undirected,57,199.16666666666669
R Cleve,S Kannan,Undirected,58,117.5
R Cleve,C Tamon,Undirected,59,117.5
R Cleve,W Van Dam,Undirected,60,132.0
R Cleve,W Dam,Undirected,61,93.5
R Cleve,M Nielsen,Undirected,62,93.5
R Cleve,C Zalka,Undirected,63,79.5
R Cleve,F Unger,Undirected,66,88.83333333333334
R Cleve,M Luby,Undirected,88,13.0
J Watrous,R de Wolf,Undirected,93,506.5
J Watrous,A Ambainis,Undirected,94,730.6
J Watrous,E Bach,Undirected,95,573.2
J Watrous,A Nayak,Undirected,96,513.6
J Watrous,A Vishwanath,Undirected,97,513.6
J Watrous,A Kondacs,Undirected,98,504.0
J Watrous,P Hoyer,Undirected,99,430.0
J Watrous,B Toner,Undirected,100,430.0
J Watrous,C Marriott,Undirected,101,242.0
J Watrous,A Kitaev,Undirected,102,211.0
J Watrous,G Gutoski,Undirected,103,244.0
J Watrous,S Coppersmith,Undirected,104,59.6
J Watrous,MP Goldschen,Undirected,105,59.6
J Watrous,R Joynt,Undirected,106,59.6
J Watrous,R Jain,Undirected,109,84.33333333333334
J Watrous,S Upadhyay,Undirected,110,45.333333333333336
J Watrous,R De Wolf,Undirected,114,507.5
R de Wolf,M Mosca,Undirected,115,5.2
R de Wolf,R Beals,Undirected,116,5.2
A Ambainis,E Bach,Undirected,117,513.6
A Ambainis,A Nayak,Undirected,118,723.6
A Ambainis,A Vishwanath,Undirected,119,513.6
A Ambainis,A Ta-Shma,Undirected,120,210.0
A Ambainis,U Vazirani,Undirected,121,210.0
E Bach,A Nayak,Undirected,122,513.6
E Bach,A Vishwanath,Undirected,123,513.6
E Bach,S Coppersmith,Undirected,124,59.6
E Bach,MP Goldschen,Undirected,125,59.6
E Bach,R Joynt,Undirected,126,59.6
A Nayak,A Vishwanath,Undirected,127,747.6
A Nayak,R Jain,Undirected,128,36.00000000000001
A Nayak,P Shor,Undirected,129,63.0
A Nayak,M Mosca,Undirected,130,2.0
A Nayak,C Zalka,Undirected,131,54.8
A Nayak,A Ta-Shma,Undirected,133,275.83333333333326
A Nayak,U Vazirani,Undirected,134,210.0
A Nayak,J Baugh,Undirected,136,56.0
A Nayak,O Moussa,Undirected,137,56.0
A Nayak,CA Ryan,Undirected,138,56.0
A Nayak,R Laflamme,Undirected,139,56.0
A Nayak,T Brun,Undirected,140,54.8
A Nayak,H Klauck,Undirected,141,150.63333333333333
A Nayak,M Rotteler,Undirected,142,54.8
A Nayak,F Magniez,Undirected,143,154.0
P Hoyer,B Toner,Undirected,156,430.0
S Coppersmith,MP Goldschen,Undirected,157,59.6
S Coppersmith,R Joynt,Undirected,158,59.6
MP Goldschen,R Joynt,Undirected,159,59.6
R Jain,S Upadhyay,Undirected,160,45.333333333333336
R Jain,H Klauck,Undirected,162,33.333333333333336
R Jain,M Li,Undirected,164,34.666666666666664
S Upadhyay,F Unger,Undirected,167,65.5
MA Storey,C Best,Undirected,168,63.36666666666665
MA Storey,D Rayside,Undirected,170,65.69999999999999
MA Storey,M Litoiu,Undirected,171,65.69999999999999
C Best,D Rayside,Undirected,178,63.36666666666665
C Best,M Litoiu,Undirected,179,63.36666666666665
D Rayside,M Litoiu,Undirected,185,65.69999999999999
D Rayside,D Jackson,Undirected,196,108.16666666666667
D Rayside,P Lam,Undirected,207,8.799999999999999
D Rayside,F Qian,Undirected,209,8.799999999999999
D Jackson,A Mihailidis,Undirected,242,4.0
D Jackson,J Hoey,Undirected,243,0.6666666666666666
D Jackson,J Boger,Undirected,244,4.0
P Lam,F Qian,Undirected,265,25.999999999999996
P Lam,R Vallée-Rai,Undirected,267,310.5333333333333
P Lam,E Gagnon,Undirected,268,148.13333333333335
P Lam,L Hendren,Undirected,269,479.33333333333314
P Lam,P Pominville,Undirected,270,146.93333333333337
P Lam,V Sundaresan,Undirected,271,304.9333333333333
P Lam,C Razafimahefa,Undirected,272,156.8
P Lam,V Kuncak,Undirected,273,339.73333333333335
P Lam,M Rinard,Undirected,274,385.2333333333334
P Lam,E Bodden,Undirected,275,180.79999999999995
P Lam,O Lhoták,Undirected,276,80.79999999999998
P Lam,NA Naeem,Undirected,277,78.79999999999998
F Qian,R Vallée-Rai,Undirected,291,5.6
F Qian,L Hendren,Undirected,292,130.0
F Qian,P Pominville,Undirected,293,5.6
F Qian,E Bodden,Undirected,294,8.0
F Qian,O Lhoták,Undirected,295,130.4
F Qian,M Berndl,Undirected,300,128.4
F Qian,N Umanee,Undirected,301,128.4
P Bose,JF Buss,Undirected,340,162.0
P Bose,A Lubiw,Undirected,341,309.6904761904762
P Bose,ED Demaine,Undirected,344,49.5
P Bose,H Meijer,Undirected,348,20.857142857142858
JF Buss,A Lubiw,Undirected,350,162.0
A Lubiw,M Dror,Undirected,351,90.0
A Lubiw,A Efrat,Undirected,352,155.33333333333331
A Lubiw,JSB Mitchell,Undirected,353,90.0
A Lubiw,ED Demaine,Undirected,357,197.8666666666667
A Lubiw,T Biedl,Undirected,359,128.33333333333334
A Lubiw,E Demaine,Undirected,360,92.46666666666667
A Lubiw,M Demaine,Undirected,361,92.46666666666667
A Lubiw,S Lazard,Undirected,362,55.333333333333336
A Lubiw,J O'Rourke,Undirected,363,98.63333333333335
A Lubiw,M Overmars,Undirected,364,52.33333333333333
A Lubiw,ML Demaine,Undirected,366,148.36666666666665
A Lubiw,H Meijer,Undirected,370,56.057142857142864
A Lubiw,M Hasan,Undirected,407,9.0
M Dror,A Efrat,Undirected,416,90.0
M Dror,JSB Mitchell,Undirected,417,90.0
A Efrat,JSB Mitchell,Undirected,418,90.0
A Efrat,P Brass,Undirected,419,54.333333333333336
A Efrat,E Cenek,Undirected,420,54.333333333333336
A Efrat,CA Duncan,Undirected,421,54.333333333333336
A Efrat,C Erten,Undirected,422,54.333333333333336
A Efrat,DP Ismailescu,Undirected,423,54.333333333333336
P Brass,E Cenek,Undirected,425,54.333333333333336
P Brass,CA Duncan,Undirected,426,54.333333333333336
P Brass,C Erten,Undirected,427,54.333333333333336
P Brass,DP Ismailescu,Undirected,428,54.333333333333336
E Cenek,CA Duncan,Undirected,429,54.333333333333336
E Cenek,C Erten,Undirected,430,54.333333333333336
E Cenek,DP Ismailescu,Undirected,431,54.333333333333336
CA Duncan,C Erten,Undirected,432,54.333333333333336
CA Duncan,DP Ismailescu,Undirected,433,54.333333333333336
C Erten,DP Ismailescu,Undirected,434,54.333333333333336
ED Demaine,J O'Rourke,Undirected,439,24.5
ED Demaine,ML Demaine,Undirected,440,148.36666666666665
T Biedl,E Demaine,Undirected,442,83.66666666666666
T Biedl,M Demaine,Undirected,443,83.66666666666666
T Biedl,S Lazard,Undirected,444,55.333333333333336
T Biedl,J O'Rourke,Undirected,445,55.333333333333336
T Biedl,M Overmars,Undirected,446,28.333333333333332
E Demaine,M Demaine,Undirected,451,92.46666666666667
E Demaine,S Lazard,Undirected,452,55.333333333333336
E Demaine,J O'Rourke,Undirected,453,64.13333333333334
E Demaine,M Overmars,Undirected,454,28.333333333333332
M Demaine,S Lazard,Undirected,457,55.333333333333336
M Demaine,J O'Rourke,Undirected,458,64.13333333333334
M Demaine,M Overmars,Undirected,459,28.333333333333332
S Lazard,J O'Rourke,Undirected,462,55.333333333333336
J O'Rourke,ML Demaine,Undirected,463,24.5
M Hasan,R Boutaba,Undirected,514,202.5
M Hasan,E Al-Shaer,Undirected,515,202.5
M Hasan,H Hamed,Undirected,516,202.5
D Jao,R Venkatesan,Undirected,551,105.33333333333336
W Dietl,P Müller,Undirected,576,422.73333333333323
W Dietl,S Drossopoulou,Undirected,577,109.46666666666668
P Müller,GT Leavens,Undirected,588,41.5
P Müller,E Poll,Undirected,589,41.5
P Müller,C Clifton,Undirected,590,41.5
P Müller,Y Cheon,Undirected,591,41.5
P Müller,C Ruby,Undirected,592,41.5
P Müller,D Cok,Undirected,593,41.5
P Müller,J Kiniry,Undirected,594,41.5
P Müller,S Drossopoulou,Undirected,595,113.73333333333333
GT Leavens,E Poll,Undirected,602,41.5
GT Leavens,C Clifton,Undirected,603,41.5
GT Leavens,Y Cheon,Undirected,604,41.5
