Source,Target,Type,Id,Label
RA Rensink,JK O’Regan,Undirected,1,2197.3333333333335
RA Rensink,JJ Clark,Undirected,2,3441.5000000000005
RA Rensink,DJ Simons,Undirected,3,1442.0
RA Rensink,V Di Lollo,Undirected,4,696.6666666666666
RA Rensink,JT Enns,Undirected,5,2360.6666666666674
RA Rensink,JK O'Regan,Undirected,6,940.0
RA Rensink,H Deubel,Undirected,7,353.5
RA Rensink,JK O'regan,Undirected,8,274.6666666666667
RA Rensink,G Kuhn,Undirected,9,418.66666666666674
RA Rensink,AA Amlani,Undirected,10,205.66666666666666
RA Rensink,J Boy,Undirected,11,112.0
RA Rensink,E Bertini,Undirected,12,112.0
RA Rensink,JD Fekete,Undirected,13,112.0
RA Rensink,IM Thornton,Undirected,14,136.66666666666666
RA Rensink,M Shiffrar,Undirected,15,136.66666666666666
RA Rensink,V Aginsky,Undirected,16,105.83333333333334
RA Rensink,CL Harris,Undirected,17,104.5
RA Rensink,JM Beusmans,Undirected,18,140.5
RA Rensink,A Lleras,Undirected,20,119.99999999999999
RA Rensink,J Harrison,Undirected,24,110.66666666666666
RA Rensink,M van de Panne,Undirected,25,56.00000000000001
RA Rensink,F Yang,Undirected,28,18.8
RA Rensink,K MacLean,Undirected,36,14.4
RA Rensink,T Munzner,Undirected,37,75.73333333333333
RA Rensink,H Lam,Undirected,38,41.333333333333336
RA Rensink,S Fels,Undirected,40,18.0
RA Rensink,L Chen,Undirected,43,7.333333333333333
RA Rensink,HH Hoos,Undirected,64,30.0
RA Rensink,J Kilian,Undirected,65,30.0
RA Rensink,M Van De Panne,Undirected,66,54.666666666666664
JK O’Regan,JJ Clark,Undirected,67,2197.3333333333335
JJ Clark,JK O'Regan,Undirected,68,940.0
JJ Clark,H Deubel,Undirected,69,351.5
JJ Clark,JK O'regan,Undirected,70,274.6666666666667
V Di Lollo,JT Enns,Undirected,72,696.6666666666666
JT Enns,A Lleras,Undirected,73,119.99999999999999
JK O'Regan,H Deubel,Undirected,75,340.0
G Kuhn,AA Amlani,Undirected,78,159.33333333333334
J Boy,E Bertini,Undirected,84,112.0
J Boy,JD Fekete,Undirected,85,112.0
E Bertini,JD Fekete,Undirected,86,112.0
IM Thornton,M Shiffrar,Undirected,87,136.66666666666666
V Aginsky,CL Harris,Undirected,88,104.5
V Aginsky,JM Beusmans,Undirected,89,104.5
CL Harris,JM Beusmans,Undirected,91,104.5
J Harrison,M van de Panne,Undirected,95,56.00000000000001
J Harrison,M Van De Panne,Undirected,96,54.666666666666664
M van de Panne,T Munzner,Undirected,97,42.666666666666664
M van de Panne,J Snoeyink,Undirected,98,4.0
M van de Panne,D Cohen-Or,Undirected,99,38.4
M van de Panne,KK Yin,Undirected,100,345.0
M van de Panne,L Liu,Undirected,101,45.5
M van de Panne,DK Pai,Undirected,102,60.0
M van de Panne,PG Kry,Undirected,103,8.666666666666666
M van de Panne,X Zhang,Undirected,105,21.0
M van de Panne,Z Chen,Undirected,106,0.5
M van de Panne,Z Wang,Undirected,107,17.0
M van de Panne,A Sheffer,Undirected,110,64.66666666666666
M van de Panne,W Xu,Undirected,111,3.0
M van de Panne,C Yang,Undirected,114,74.66666666666667
M van de Panne,XB Peng,Undirected,115,438.66666666666663
M van de Panne,K Loken,Undirected,116,8.666666666666666
M van de Panne,G Berseth,Undirected,117,354.26666666666654
M van de Panne,P Faloutsos,Undirected,118,75.33333333333333
M van de Panne,D Terzopoulos,Undirected,119,75.33333333333333
M van de Panne,E Fiume,Undirected,120,336.66666666666674
M van de Panne,M Thorne,Undirected,121,232.00000000000003
M van de Panne,D Burke,Undirected,122,232.00000000000003
M van de Panne,S Coros,Undirected,123,126.16666666666666
M van de Panne,P Beaudoin,Undirected,124,167.5
M van de Panne,J Laszlo,Undirected,125,302.0
M van de Panne,H Carr,Undirected,126,4.0
M van de Panne,AT Layton,Undirected,127,220.0
M van de Panne,P Poulin,Undirected,128,124.0
M van de Panne,Z Xie,Undirected,129,96.8
M van de Panne,P Clary,Undirected,130,40.8
M van de Panne,J Hurst,Undirected,131,40.8
M van de Panne,M Kalisiak,Undirected,132,204.0
M van de Panne,D Sharon,Undirected,135,164.66666666666669
M van de Panne,B Guo,Undirected,139,48.5
M van de Panne,V Kraevoy,Undirected,140,64.66666666666666
M van de Panne,K Zhou,Undirected,141,3.0
M van de Panne,HY Ling,Undirected,142,35.33333333333333
F Yang,I Beschastnikh,Undirected,171,48.05714285714286
F Yang,X Chen,Undirected,172,36.857142857142854
F Yang,L Zhou,Undirected,173,36.857142857142854
F Yang,Z Qian,Undirected,174,36.857142857142854
F Yang,L Zhuang,Undirected,175,36.857142857142854
F Yang,J Shen,Undirected,177,21.771428571428572
K MacLean,T Munzner,Undirected,199,44.4
K MacLean,S Fels,Undirected,201,50.33333333333333
K MacLean,C Swindells,Undirected,202,46.0
K MacLean,P Kruchten,Undirected,203,0.5
K MacLean,J Smith,Undirected,204,200.0
K MacLean,H Zhang,Undirected,205,1.0
K MacLean,D Tam,Undirected,207,14.5
K MacLean,D Johnson,Undirected,208,58.333333333333336
K MacLean,B Fisher,Undirected,210,30.0
K MacLean,A Chan,Undirected,211,322.6666666666667
K MacLean,J McGrenere,Undirected,212,322.6666666666667
K MacLean,M Allen,Undirected,213,7.5
K MacLean,K Booth,Undirected,214,46.0
K MacLean,J Luk,Undirected,219,124.0
K MacLean,J Pasquero,Undirected,220,124.0
K MacLean,S Little,Undirected,221,124.0
K MacLean,V Levesque,Undirected,222,154.33333333333334
K MacLean,V Hayward,Undirected,223,96.0
K MacLean,M Enriquez,Undirected,224,430.33333333333337
K MacLean,S Yohanan,Undirected,225,64.29523809523809
K MacLean,AJ Moon,Undirected,226,6.0
K MacLean,B Gleeson,Undirected,227,78.23333333333335
K MacLean,L Oram,Undirected,228,87.23333333333335
K MacLean,A Cockburn,Undirected,229,58.333333333333336
K MacLean,ND Marchuk,Undirected,230,54.333333333333336
K MacLean,A Haddadi,Undirected,231,68.4
K MacLean,E Croft,Undirected,232,81.66190476190476
K MacLean,J Alcazar,Undirected,233,70.9
K MacLean,C Chita,Undirected,234,92.0
K MacLean,I Karuei,Undirected,235,1.6
K MacLean,L Chu,Undirected,238,49.2
K MacLean,R Leung,Undirected,240,55.0
K MacLean,O Schneider,Undirected,243,46.0
K MacLean,EA Croft,Undirected,249,6.0
K MacLean,OS Schneider,Undirected,250,1.6
K MacLean,P McLachlan,Undirected,252,24.0
K MacLean,J Chang,Undirected,255,34.095238095238095
K MacLean,XL Cang,Undirected,257,9.166666666666666
T Munzner,H Lam,Undirected,302,217.16666666666669
T Munzner,S Fels,Undirected,303,30.0
T Munzner,M Tory,Undirected,306,344.9
T Munzner,RT Ng,Undirected,307,18.857142857142858
T Munzner,G Carenini,Undirected,308,3.8000000000000003
T Munzner,D Archambault,Undirected,309,398.6666666666667
T Munzner,L Zhang,Undirected,310,191.2
T Munzner,I Beschastnikh,Undirected,311,2.0
T Munzner,Y Zhou,Undirected,312,191.2
T Munzner,M Phillips,Undirected,313,105.86666666666666
T Munzner,C Conati,Undirected,314,0.8
T Munzner,J Lee,Undirected,315,18.857142857142858
T Munzner,B Lee,Undirected,322,70.0
T Munzner,Y Wang,Undirected,324,1.0
T Munzner,B Fisher,Undirected,326,30.0
T Munzner,J McGrenere,Undirected,327,101.46666666666667
T Munzner,D Toker,Undirected,329,0.8
T Munzner,J Enns,Undirected,330,0.8
T Munzner,S Ingram,Undirected,332,377.66666666666663
T Munzner,F Guimbretière,Undirected,333,72.8
T Munzner,F Guimbretiere,Undirected,334,225.86666666666667
T Munzner,L Oram,Undirected,335,16.666666666666668
T Munzner,P McLachlan,Undirected,336,125.0
T Munzner,M Brehmer,Undirected,340,960.3333333333333
T Munzner,H Pfister,Undirected,345,324.4000000000001
T Munzner,M Sedlmair,Undirected,346,925.0666666666667
T Munzner,M Meyer,Undirected,347,846.066666666667
T Munzner,S Tasiran,Undirected,348,191.2
T Munzner,A Barsky,Undirected,349,181.0
T Munzner,JL Gardy,Undirected,350,158.16666666666669
T Munzner,P Burchard,Undirected,351,312.5
T Munzner,E Koutsofios,Undirected,352,125.0
T Munzner,S North,Undirected,353,125.0
T Munzner,D Auber,Undirected,354,411.6666666666667
T Munzner,C Johnson,Undirected,355,130.66666666666666
T Munzner,R Moorhead,Undirected,356,105.00000000000001
T Munzner,P Rheingans,Undirected,357,106.33333333333336
T Munzner,TS Yoo,Undirected,358,106.33333333333336
T Munzner,M Olano,Undirected,359,146.0
T Munzner,REW Hancock,Undirected,360,105.5
T Munzner,K Risden,Undirected,361,89.5
T Munzner,MP Czerwinski,Undirected,362,89.5
T Munzner,DB Cook,Undirected,363,89.5
T Munzner,B Bach,Undirected,364,70.0
T Munzner,NH Riche,Undirected,365,70.0
T Munzner,M Agrawala,Undirected,366,108.0
T Munzner,D Zorin,Undirected,367,108.0
T Munzner,A Tatu,Undirected,369,76.5
T Munzner,V Irvine,Undirected,370,43.0
T Munzner,S Bergner,Undirected,371,43.0
T Munzner,T Möller,Undirected,372,91.0
T Munzner,R Kincaid,Undirected,375,120.16666666666666
T Munzner,S Levy,Undirected,379,108.7
T Munzner,D Nekrasovski,Undirected,385,72.8
T Munzner,A Bodnar,Undirected,386,72.8
T Munzner,N Amenta,Undirected,399,30.0
T Munzner,MVD Panne,Undirected,431,16.0
H Lam,M Tory,Undirected,472,48.666666666666664
H Lam,R Kincaid,Undirected,473,42.666666666666664
S Fels,JJ Little,Undirected,477,321.00000000000006
S Fels,B Fisher,Undirected,478,30.0
S Fels,J McGrenere,Undirected,479,7.0
S Fels,I Roll,Undirected,480,25.419047619047625
S Fels,D Yoon,Undirected,483,26.75238095238096
S Fels,K Maclean,Undirected,490,51.333333333333336
S Fels,H Jiang,Undirected,492,316.6666666666667
L Chen,R Ng,Undirected,509,1025.0
H Hoos,F Hutter,Undirected,533,1318.9333333333332
H Hoos,K Leyton-Brown,Undirected,534,1521.9333333333334
H Hoos,A Hu,Undirected,535,45.0
H Hoos,O Etzioni,Undirected,536,0.5714285714285714
H Hoos,A Fréchette,Undirected,537,11.666666666666666
H Hoos,A Wagner,Undirected,538,18.0
H Hoos,S Bayless,Undirected,539,92.60000000000002
H Hoos,A Sheffer,Undirected,541,15.0
H Hoos,T Stützle,Undirected,542,570.2333333333336
H Hoos,T Stutzle,Undirected,543,1403.0
H Hoos,L Xu,Undirected,544,518.3333333333333
H Hoos,L Kotthoff,Undirected,545,44.766666666666666
H Hoos,N Aghaeepour,Undirected,546,218.20000000000002
H Hoos,G Finak,Undirected,547,203.00000000000003
H Hoos,TR Mosmann,Undirected,548,203.00000000000003
H Hoos,R Brinkman,Undirected,549,203.00000000000003
H Hoos,R Gottardo,Undirected,550,203.00000000000003
H Hoos,K Eggensperger,Undirected,551,352.3333333333333
H Hoos,M Feurer,Undirected,552,238.0
H Hoos,J Bergstra,Undirected,553,238.0
H Hoos,J Snoek,Undirected,554,238.0
H Hoos,P Kerschke,Undirected,555,31.5
H Hoos,H Trautmann,Undirected,556,31.5
H Hoos,E Nudelman,Undirected,557,134.0
H Hoos,A Devkar,Undirected,558,134.0
H Hoos,Y Shoham,Undirected,559,134.0
