Id,Label,Description,Area
Y Guo,Yuhong Guo,21091.93809523811,ai
O Kaick,Oliver van Kaick,20.333333333333332,graphics
S Chiasson,Sonia Chiasson,13983.966666666673,hci
A Girouard,Audrey Girouard,5178.600000000004,hci
P Morin,Pat Morin,6782.176190476187,theory
A El-Roby,Ahmed El-Roby,229.86666666666673,db
P Bose,Prosenjit Bose,21958.152380952393,theory
A Abdou,AbdelRahman Abdou,285.1666666666667,security
A Arya,Ali Arya,2178.966666666666,Unknown
O Baysal,Olga Baysal,5370.066666666667,se
L Bertossi,Leopoldo E. Bertossi,5602.480952380951,Unknown
F Dehne,Frank Dehne,6814.638095238097,Unknown
A Somayaji,Anil Somayaji,16254.799999999996,Unknown
