Id,Label,Description,Area
G Dudek,Gregory Dudek,35522.10714285716,robotics
J Cheung,Jackie Chi Kit Cheung,97.75,nlp
D Meger,David Meger,12112.709523809532,robotics
D Nowrouzezahrai,Derek Nowrouzezahrai,7140.366666666674,graphics
S Reddy,Siva Reddy,26312.830952380955,nlp
A Vetta,Adrian Vetta,7509.5,ecom
P Panangaden,Prakash Panangaden,10623.657142857142,logic
R Robere,Robert Robere,549.9523809523807,theory
M Robillard,Martin P. Robillard,1340.4666666666672,se
X Si,Xujie Si,1605.7952380952381,ml
K Siddiqi,Kaleem Siddiqi,24271.752380952377,vision
T O'Donnell,Timothy J. O'Donnell,240.83333333333337,nlp
D Ruths,Derek Ruths,7961.609523809521,nlp
P Kry,Paul G. Kry,242.90476190476184,graphics
B Pientka,Brigitte Pientka,2654.3857142857146,pl
R Rabbany,Reihaneh Rabbany,1941.8999999999994,ml
J Waldispühl,Jérôme Waldispühl,1910.633333333333,comp. bio
M Blanchette,Mathieu Blanchette,14130.87142857143,comp. bio
C Dubach,Christophe Dubach,2558.214285714285,arch
H Hatami,Hamed Hatami,467.59999999999997,theory
B Kemme,Bettina Kemme,8257.566666666668,db
B Reed,Bruce A. Reed,9343.723809523815,theory
M Langer,Michael S. Langer,968.990476190476,Unknown
