Id,Label,Description,Area
Y Wang,Yanzhi Wang,165556.23809523834,eda
D Wichs,Daniel Wichs,19199.833333333347,crypto
X Lin,Xue Lin,24847.68492063493,ai
G Abowd,Gregory D. Abowd,36514.39523809523,hci
H Nguyen,Huy L. Nguyen,5336.261904761901,theory
A Mislove,Alan Mislove,39261.930952380964,metrics
D Choffnes,David R. Choffnes,12043.961904761905,metrics
C Wilson,Christo Wilson,25046.957142857165,metrics
J Ullman,Jonathan R. Ullman,11393.21904761905,ml
B Wallace,Byron C. Wallace,17514.18095238096,nlp
C Amato,Christopher Amato,6380.985714285716,robotics
E Elhamifar,Ehsan Elhamifar,11197.9,vision
A Shelat,Abhi Shelat,8222.971428571429,security
E Kirda,Engin Kirda,50728.33809523812,security
S Behnezhad,Soheil Behnezhad,2587.52380952381,theory
E Bertini,Enrico Bertini,12069.376190476194,visualization
J Dy,Jennifer G. Dy,8502.073809523808,ml
C Nita-Rotaru,Cristina Nita-Rotaru,16220.26666666667,security
S Ioannidis,Stratis Ioannidis,15246.288095238084,ml
W Robertson,William K. Robertson,21565.49047619048,security
W Gatterbauer,Wolfgang Gatterbauer,4866.366666666668,db
D Kaeli,David R. Kaeli,10057.239682539692,eda
T Padir,Taskin Padir,1719.2047619047632,robotics
D Bau,David Bau,22688.12857142857,vision
M Derakhshan,Mahsa Derakhshan,2110.8666666666663,theory
C Dunne,Cody Dunne,3363.8571428571418,hci
R Miller,Renée J. Miller,5518.87619047619,db
L Wong,Lawson L. S. Wong,1807.304761904762,robotics
M Borkin,Michelle Borkin,1191.9333333333336,hci
H Jiang,Huaizu Jiang,41964.91587301592,vision
E Mynatt,Elizabeth D. Mynatt,13349.623809523802,hci
M Riedewald,Mirek Riedewald,7032.547619047621,db
E Viola,Emanuele Viola,2725.9333333333334,theory
D Lazer,David Lazer,70404.99285714282,nlp
A Oprea,Alina Oprea,21321.8142857143,security
P Radivojac,Predrag Radivojac,27448.49523809524,ai
F Tip,Frank Tip,13801.242857142863,se
H Zhang,Hongyang R. Zhang,156941.11746031768,ml
A Guha,Arjun Guha,13837.00714285714,pl
P Hand,Paul Hand,1941.8714285714289,ml
G Noubir,Guevara Noubir,7988.516666666667,security
A Ranganathan,Aanjhan Ranganathan,16311.633333333326,security
S Tripakis,Stavros Tripakis,13793.504761904767,embedded
J Vitek,Jan Vitek,14896.449999999979,pl
J Aslam,Javed A. Aslam,6295.928571428571,ml
T Bickmore,Timothy W. Bickmore,24692.166666666628,hci
A To,Alexandra To,3186.75,hci
O Vitek,Olga Vitek,6875.276190476192,comp. bio
R Rajaraman,Rajmohan Rajaraman,14300.666666666662,theory
H Saksono,Herman Saksono,1196.8000000000002,hci
S Savage,Saiph Savage,146929.7761904763,web+ir
D Smith,David A. Smith,3985.4095238095324,nlp
C Brodley,Carla E. Brodley,3118.709523809524,ml
S Cooper,Seth Cooper,19885.338095238105,hci
T Eliassi-Rad,Tina Eliassi-Rad,23527.576190476186,ml
A Ganguly,Auroop R. Ganguly,3713.133333333334,ml
S Holtzen,Steven Holtzen,541.0333333333335,Unknown
P Manolios,Panagiotis Manolios,14252.121428571423,logic
R Sundaram,Ravi Sundaram,10367.633333333337,Unknown
G Cooperman,Gene Cooperman,2881.004761904764,hpc
M Felleisen,Matthias Felleisen,19066.100000000006,pl
M Goodwin,Matthew S. Goodwin,1237.9714285714279,hci
S Intille,Stephen S. Intille,4886.785714285717,hci
S Marsella,Stacy Marsella,17497.3380952381,hci
H Singh,Hanumant Singh,13250.714285714272,robotics
A Vespignani,Alessandro Vespignani,92988.54047619048,ml
A Barabási,Albert-László Barabási,20.0,Unknown
S Ghoreishi,Seyede Fatemeh Ghoreishi,1.3333333333333333,Unknown
M Pavel,Misha Pavel,15796.095238095224,Unknown
C Riedl,Christoph Riedl,4955.709523809524,Unknown
J Shin,Ji-Yong Shin,5777.255555555554,Unknown
