Id,Label,Description,Area
C Hsieh,Cho-Jui Hsieh,176.66666666666666,ml
Q Gu,Quanquan Gu,28884.575396825432,ml
K Chang,Kai-Wei Chang,18412.419047619056,nlp
M Schaar,Mihaela van der Schaar,1678.6666666666667,ml
A Sahai,Amit Sahai,158370.10873015877,crypto
B Zhou,Bolei Zhou,102449.11666666661,vision
N Peng,Nanyun Peng,7559.965079365084,nlp
R Ostrovsky,Rafail Ostrovsky,82537.55714285714,crypto
Y Sun,Yizhou Sun,96066.95252525223,ml
J Cong,Jason Cong,61850.86587301591,eda
G Broeck,Guy Van den Broeck,29.666666666666664,ai
G Xu,Guoqing Harry Xu,10633.92380952381,os
M Kim,Miryung Kim,30591.071428571373,se
A Darwiche,Adnan Darwiche,13284.066666666668,ai
A Grover,Aditya Grover,12333.564285714281,ml
R Meka,Raghu Meka,7650.833333333336,theory
T Millstein,Todd D. Millstein,14510.44285714286,networks
S Lu,Songwu Lu,106464.55772005771,mobile
E Eskin,Eleazar Eskin,61127.32619047621,comp. bio
M Srivastava,Mani B. Srivastava,58471.300000000025,mobile
G Varghese,George Varghese,63024.22380952379,networks
J Pearl,Judea Pearl,47283.93333333332,ai
B Mirzasoleiman,Baharan Mirzasoleiman,3297.9000000000005,ml
J Palsberg,Jens Palsberg,11136.968253968253,pl
O Abari,Omid Abari,5410.633333333333,networks
T Nowatzki,Tony Nowatzki,3560.2571428571428,arch
A Kadambi,Achuta Kadambi,3386.7761904761896,vision
A Sherstov,Alexander A. Sherstov,16.0,theory
C Zaniolo,Carlo Zaniolo,18874.609523809537,db
A Fletcher,Alyson K. Fletcher,190.29523809523812,ml
R Korf,Richard E. Korf,753.1714285714286,ai
E Halperin,Eran Halperin,24092.47142857142,comp. bio
S Osher,Stanley J. Osher,189406.04285714298,ml
D Terzopoulos,Demetri Terzopoulos,109690.16904761906,graphics
S Sankararaman,Sriram Sankararaman,14199.814285714285,comp. bio
G Reinman,Glenn Reinman,15576.32380952381,eda
J Cho,Junghoo Cho,17187.661111111076,web+ir
J Ernst,Jason Ernst,76021.99523809527,Unknown
E Gafni,Eli Gafni,8070.723809523808,Unknown
