Id,Label,Description,Area
C Szepesvári,Csaba Szepesvári,27247.161904761906,ml
D Schuurmans,Dale Schuurmans,24237.51190476191,ml
M Bowling,Michael H. Bowling,18928.190476190484,ai
L Mou,Lili Mou,11173.183333333336,nlp
M White,Martha White,5931.052380952379,ml
M Jägersand,Martin Jägersand,1187.0333333333333,robotics
N Sturtevant,Nathan R. Sturtevant,5137.757142857142,ai
L Lelis,Levi Lelis,382.4333333333332,ai
M Taylor,Matthew E. Taylor,6935.471428571427,ai
G Kondrak,Grzegorz Kondrak,4118.685714285713,nlp
R Holte,Robert C. Holte,2833.3666666666654,ai
R Sutton,Richard S. Sutton,129.16666666666666,ml
R Greiner,Russell Greiner,22440.4119047619,ml
D Barbosa,Denilson Barbosa,966.3904761904762,nlp
Y Yang,Yee-Hong Yang,97902.13816738814,vision
A Mahmood,A. Rupam Mahmood,85.83333333333333,ml
O Zaïane,Osmar R. Zaïane,1427.5000000000002,nlp
J Wright,James R. Wright,82142.66984126982,ml
A Fyshe,Alona Fyshe,2643.4333333333307,nlp
D Rafiei,Davood Rafiei,2423.2,web+ir
M Salavatipour,Mohammad R. Salavatipour,116.5,theory
M Guzdial,Matthew Guzdial,29770.852380952358,ai
A Hindle,Abram Hindle,10811.909523809512,se
J Schaeffer,Jonathan Schaeffer,21465.461904761887,ai
D Szafron,Duane Szafron,17832.326190476197,ai
V Bulitko,Vadim Bulitko,4816.138095238094,ai
R Goebel,Randy Goebel,8035.729365079369,nlp
R Hayward,Ryan B. Hayward,1109.3666666666666,ai
S Nadi,Sarah Nadi,4089.366666666666,se
P Pilarski,Patrick M. Pilarski,262.25714285714287,Unknown
N Ray,Nilanjan Ray,6094.499999999997,Unknown
P Boulanger,Pierre Boulanger,1568.3761904761905,Unknown
