Id,Label,Description,Area
Y Bengio,Yoshua Bengio,897893.0952380971,ml
A Courville,Aaron C. Courville,352422.31904761906,ml
C Pal,Christopher Joseph Pal,39287.957142857136,ml
L Paull,Liam Paull,6742.652380952379,robotics
S Lacoste-Julien,Simon Lacoste-Julien,14047.8,ml
J Nie,Jian-Yun Nie,1044.2444444444445,web+ir
I Mitliagkas,Ioannis Mitliagkas,10824.238095238094,ml
I Rish,Irina Rish,9514.680952380979,ai
G Berseth,Glen Berseth,7156.723809523808,robotics
A Agrawal,Aishwarya Agrawal,14546.490476190465,nlp
G Lajoie,Guillaume Lajoie,6398.880952380948,ml
G Rabusseau,Guillaume Rabusseau,549.9333333333332,ml
M Bessmeltsev,Mikhail Bessmeltsev,986.2999999999998,graphics
P Poulin,Pierre Poulin,6008.799999999999,graphics
A Tapp,Alain Tapp,15551.833333333338,Unknown
G Brassard,Gilles Brassard,91062.19999999998,Unknown
C Frasson,Claude Frasson,5340.099999999999,Unknown
G Lapalme,Guy Lapalme,10941.895238095245,Unknown
P McKenzie,Pierre McKenzie,439.96666666666664,Unknown
J Meunier,Jean Meunier,815.4952380952382,Unknown
