Id,Label,Description,Area
D Roth,Dan Roth,46197.419047619056,nlp
K Daniilidis,Kostas Daniilidis,36343.966666666674,robotics
M Yim,Mark Yim,14438.700000000004,robotics
C Callison-Burch,Chris Callison-Burch,33865.72857142856,nlp
G Pappas,George J. Pappas,6739.580952380954,robotics
S Khanna,Sanjeev Khanna,36437.895238095196,theory
C Jiang,Chenfanfu Jiang,7520.4857142857145,graphics
O Bastani,Osbert Bastani,5951.949999999999,ml
L Ungar,Lyle H. Ungar,17167.797619047647,nlp
J Shi,Jianbo Shi,102168.17063492053,vision
M Naik,Mayur Naik,25134.423809523818,pl
I Lee,Insup Lee,58976.9468253967,embedded
R Alur,Rajeev Alur,72910.32142857136,logic
M Kearns,Michael Kearns,38719.29047619048,ml
A De,Anindya De,3745.0619047619034,theory
M Hsieh,M. Ani Hsieh,70.66666666666666,robotics
D Jayaraman,Dinesh Jayaraman,6004.552380952382,vision
L Phan,Linh T. X. Phan,33.5,embedded
C Taylor,Camillo J. Taylor,3347.714285714285,robotics
L Liu,Lingjie Liu,77268.19213564214,vision
V Liu,Vincent Liu,7470.495238095235,networks
B Loo,Boon Thau Loo,0.0,networks
A Nenkova,Ani Nenkova,17626.361904761918,nlp
M Yatskar,Mark Yatskar,20753.690476190488,nlp
A Haeberlen,Andreas Haeberlen,18005.29761904764,os
S Angel,Sebastian Angel,1279.0523809523809,security
J Gardner,Jacob R. Gardner,3096.5595238095243,ml
S Goel,Surbhi Goel,7910.209523809528,ml
W Su,Weijie J. Su,3005.814285714286,ml
E Waingarten,Erik Waingarten,1388.8666666666663,theory
S Zdancewic,Steve Zdancewic,14346.690476190477,pl
P Chaudhari,Pratik Chaudhari,5314.752380952381,ml
B Pierce,Benjamin C. Pierce,3627.7666666666673,pl
R Marcus,Ryan Marcus,2791.3000000000006,db
A Head,Andrew Head,2258.7285714285713,hci
Z Ives,Zachary G. Ives,15968.964285714292,db
S Kannan,Sampath Kannan,33212.00476190474,theory
B Lee,Benjamin C. Lee,28279.341269841254,arch
A Rakhlin,Alexander Rakhlin,17586.409523809514,ml
M Zhao,Mingmin Zhao,14369.684920634914,vision
G Li,Gushu Li,16135.704761904775,arch
P Mishra,Pratyush Mishra,8231.619047619042,security
S Davidson,Susan B. Davidson,35235.53174603174,db
A DeHon,André DeHon,15058.366666666663,security
M Posa,Michael Posa,2958.9285714285716,robotics
S Guha,Sudipto Guha,55079.628571428526,ml
J Smith,Jonathan M. Smith,9801.809523809516,arch
R Mangharam,Rahul Mangharam,11619.090476190482,embedded
T Rabin,Tal Rabin,20248.900000000005,security
M Marcus,Mitchell P. Marcus,9267.385714285712,nlp
D Watts,Duncan J. Watts,52758.33333333333,ecom
N Badler,Norman I. Badler,9324.814285714288,robotics
D Metaxa,Danaë Metaxa,394.59999999999997,hci
R Vohra,Rakesh V. Vohra,5327.719047619047,ecom
J Gallier,Jean H. Gallier,2647.2666666666664,Unknown
J Gee,James C. Gee,439.4714285714287,vision
M Liberman,Mark Liberman,13747.271428571428,nlp
A Scedrov,Andre Scedrov,17555.9857142857,Unknown
L Wang,Li-San Wang,69566.70158730159,Unknown
