Id,Label,Description,Area
M Nacenta,Miguel A. Nacenta,1738.4666666666662,hci
C Perin,Charles Perin,2805.166666666667,visualization
T Schneider,Teseo Schneider,7794.704761904764,graphics
M Storey,Margaret-Anne D. Storey,275.6666666666667,se
A Thomo,Alex Thomo,4282.34761904762,db
D Damian,Daniela E. Damian,20930.566666666666,se
B Kapron,Bruce M. Kapron,677.8,crypto
N Mehta,Nishant A. Mehta,1412.228571428572,ml
S Somanath,Sowmya Somanath,1093.433333333334,hci
S Chester,Sean Chester,2086.6285714285714,db
V King,Valerie King,7059.109523809526,theory
B Wyvill,Brian Wyvill,11863.09047619048,graphics
I Numanagic,Ibrahim Numanagic,17.333333333333332,comp. bio
N Ernst,Neil A. Ernst,3032.6142857142854,Unknown
S Koroth,Sajin Koroth,136.03333333333333,Unknown
