Id,Label,Description,Area
M Brown,Michael S. Brown,7225.628571428568,vision
K Derpanis,Konstantinos G. Derpanis,889.3095238095237,vision
M Brubaker,Marcus A. Brubaker,838.8142857142858,vision
R Wildes,Richard P. Wildes,1307.7190476190478,vision
R Urner,Ruth Urner,1843.6000000000004,ml
M Jenkin,Michael R. M. Jenkin,26976.480952380945,robotics
Z Jiang,Zhen Ming (Jack) Jiang,21677.413492063468,se
J Gryz,Jarek Gryz,5287.333333333334,db
J Tsotsos,John K. Tsotsos,2977.0333333333347,vision
A An,Aijun An,8866.204761904763,Unknown
P Dymond,Patrick W. Dymond,378.33333333333326,Unknown
J Edmonds,Jeff Edmonds,5344.92857142857,Unknown
S MacKenzie,Scott MacKenzie,66.0,Unknown
M Papagelis,Manos Papagelis,2486.066666666668,Unknown
