Id,Label,Description,Area
H Buhrman,H Buhrman,6289.199999999999,Unknown
R Cleve,Richard Cleve,26060.666666666657,theory
J Watrous,John Watrous,9179.133333333337,quantum
R de Wolf,R de Wolf,1540.3000000000002,Unknown
A Ambainis,A Ambainis,2901.4,Unknown
E Bach,E Bach,2292.7999999999997,Unknown
A Nayak,Ashwin Nayak,4383.433333333333,theory
A Vishwanath,A Vishwanath,2288.4,Unknown
A Kondacs,A Kondacs,504.0,Unknown
P Hoyer,P Hoyer,1290.0,Unknown
B Toner,B Toner,1290.0,Unknown
C Marriott,C Marriott,242.0,Unknown
A Kitaev,A Kitaev,211.0,Unknown
G Gutoski,G Gutoski,244.0,Unknown
S Coppersmith,S Coppersmith,238.4,Unknown
MP Goldschen,MP Goldschen,238.4,Unknown
R Joynt,R Joynt,238.4,Unknown
R Jain,R Jain,307.66666666666674,Unknown
S Upadhyay,S Upadhyay,287.1666666666667,Unknown
MA Storey,MA Storey,292.2999999999999,Unknown
C Best,C Best,280.63333333333327,Unknown
D Rayside,Derek Rayside,1057.3333333333333,se
M Litoiu,M Litoiu,292.2999999999999,Unknown
D Jackson,D Jackson,325.1666666666668,Unknown
P Lam,Patrick Lam,2835.8666666666663,se
F Qian,F Qian,607.6,Unknown
C O’Shaughnessy,C O’Shaughnessy,247.99999999999997,Unknown
P Bose,P Bose,752.309523809524,Unknown
JF Buss,JF Buss,324.0,Unknown
A Lubiw,Anna Lubiw,3118.895238095237,theory
M Dror,M Dror,270.0,Unknown
A Efrat,A Efrat,672.3333333333334,Unknown
JSB Mitchell,JSB Mitchell,270.0,Unknown
P Brass,P Brass,271.6666666666667,Unknown
E Cenek,E Cenek,271.6666666666667,Unknown
CA Duncan,CA Duncan,271.6666666666667,Unknown
C Erten,C Erten,271.6666666666667,Unknown
DP Ismailescu,DP Ismailescu,271.6666666666667,Unknown
ED Demaine,ED Demaine,480.1333333333334,Unknown
T Biedl,T Biedl,507.6666666666665,Unknown
E Demaine,E Demaine,453.5333333333333,Unknown
M Demaine,M Demaine,453.5333333333333,Unknown
S Lazard,S Lazard,276.6666666666667,Unknown
J O'Rourke,J O'Rourke,405.3666666666667,Unknown
M Overmars,M Overmars,261.66666666666663,Unknown
ML Demaine,ML Demaine,331.63333333333327,Unknown
H Meijer,H Meijer,241.94285714285712,Unknown
M Hasan,M Hasan,616.5,Unknown
D Jao,David Jao,427.99999999999994,Unknown
R Venkatesan,R Venkatesan,256.1666666666667,Unknown
W Dietl,Werner Dietl,685.1999999999997,se
P Müller,P Müller,873.0999999999998,Unknown
GT Leavens,GT Leavens,290.5,Unknown
E Poll,E Poll,290.5,Unknown
C Clifton,C Clifton,304.9000000000001,Unknown
Y Cheon,Y Cheon,290.5,Unknown
C Ruby,C Ruby,290.5,Unknown
D Cok,D Cok,290.5,Unknown
J Kiniry,J Kiniry,290.5,Unknown
S Drossopoulou,S Drossopoulou,257.8666666666667,Unknown
J Niu,J Niu,370.7142857142857,Unknown
JM Atlee,JM Atlee,5171.714285714287,Unknown
NA Day,NA Day,917.2142857142858,Unknown
MD Aagaard,MD Aagaard,219.16666666666669,Unknown
D Svetinovic,D Svetinovic,203.66666666666669,Unknown
MW Godfrey,Michael W. Godfrey,6608.947619047623,se
A Gurfinkel,Arie Gurfinkel,1718.7,logic
M Chechik,M Chechik,1623.9666666666667,Unknown
K Tout,K Tout,282.6666666666667,Unknown
M Zaslow,M Zaslow,439.4285714285714,Unknown
D Berry,Daniel M. Berry,487.4285714285714,Unknown
F Rossi,F Rossi,7148.0,Unknown
P van Beek,P van Beek,9523.83333333333,Unknown
T Walsh,T Walsh,7318.0,Unknown
M Vilain,M Vilain,766.6666666666666,Unknown
H Kautz,H Kautz,766.6666666666666,Unknown
P Van Beek,P Van Beek,1449.5,Unknown
G Kondrak,G Kondrak,292.0,Unknown
R Cohen,Robin Cohen,5936.54285714286,ai
X Chen,X Chen,11979.45,Unknown
F Bacchus,F Bacchus,400.0,Unknown
R Dechter,R Dechter,416.0,Unknown
A López-Ortiz,A López-Ortiz,489.0999999999999,Unknown
CG Quimper,CG Quimper,489.0999999999999,Unknown
J Tromp,J Tromp,7513.442857142859,Unknown
A Golynski,A Golynski,267.1,Unknown
P Beek,Peter van Beek,406.1000000000001,ai
W Li,W Li,517.1666666666666,Unknown
P Poupart,Pascal Poupart,6778.266666666668,ai
R Vallée-Rai,R Vallée-Rai,1383.4666666666665,Unknown
E Gagnon,E Gagnon,733.8666666666668,Unknown
L Hendren,L Hendren,5749.266666666665,Unknown
P Pominville,P Pominville,729.0666666666668,Unknown
V Sundaresan,V Sundaresan,1361.0666666666664,Unknown
C Razafimahefa,C Razafimahefa,627.2,Unknown
V Kuncak,V Kuncak,782.2666666666667,Unknown
M Rinard,M Rinard,1336.9333333333332,Unknown
E Bodden,E Bodden,889.1999999999998,Unknown
O Lhoták,Ondrej Lhoták,4430.133333333332,pl
NA Naeem,NA Naeem,441.19999999999993,Unknown
Q Tu,Q Tu,1278.0,Unknown
CJ Kapser,CJ Kapser,2173.3999999999996,Unknown
L Zou,L Zou,1511.5,Unknown
A Grosskurth,A Grosskurth,294.0,Unknown
J Bevan,J Bevan,268.5,Unknown
EJ Whitehead Jr,EJ Whitehead Jr,268.5,Unknown
S Kim,S Kim,280.5,Unknown
DM German,DM German,391.0,Unknown
AJ Hindle,AJ Hindle,753.1999999999998,Unknown
RC Holt,RC Holt,1544.5333333333333,Unknown
EHS Lee,EHS Lee,271.5,Unknown
O Baysal,O Baysal,293.6,Unknown
A Barenco,A Barenco,7953.333333333334,Unknown
CH Bennett,CH Bennett,9654.400000000001,Unknown
DP DiVincenzo,DP DiVincenzo,8025.333333333334,Unknown
N Margolus,N Margolus,7953.333333333334,Unknown
P Shor,P Shor,8016.333333333334,Unknown
D Gottesman,D Gottesman,2088.666666666667,Unknown
HK Lo,HK Lo,1886.6666666666665,Unknown
A Ekert,A Ekert,2115.3999999999996,Unknown
C Macchiavello,C Macchiavello,2115.3999999999996,Unknown
M Mosca,M Mosca,3630.6,Unknown
R De Wolf,R De Wolf,3111.3999999999996,Unknown
AM Childs,AM Childs,1647.8333333333335,Unknown
E Deotto,E Deotto,1538.3333333333335,Unknown
E Farhi,E Farhi,1538.3333333333335,Unknown
S Gutmann,S Gutmann,1538.3333333333335,Unknown
DA Spielman,DA Spielman,1538.3333333333335,Unknown
R Beals,R Beals,1371.2000000000003,Unknown
DW Berry,DW Berry,946.0,Unknown
G Ahokas,G Ahokas,954.0,Unknown
BC Sanders,BC Sanders,963.6666666666669,Unknown
C Dankert,C Dankert,843.0,Unknown
J Emerson,J Emerson,843.0,Unknown
E Livine,E Livine,843.0,Unknown
A Wigderson,A Wigderson,1515.7333333333331,Unknown
