Id,Label,Description,Area
RA Rensink,RA Rensink,14635.133333333331,Unknown
JK O’Regan,JK O’Regan,4394.666666666667,Unknown
JJ Clark,JJ Clark,7234.500000000001,Unknown
DJ Simons,DJ Simons,1442.0,Unknown
V Di Lollo,V Di Lollo,1393.3333333333333,Unknown
JT Enns,JT Enns,3223.333333333334,Unknown
JK O'Regan,JK O'Regan,2220.0,Unknown
H Deubel,H Deubel,1058.5,Unknown
JK O'regan,JK O'regan,549.3333333333334,Unknown
G Kuhn,G Kuhn,677.3333333333335,Unknown
AA Amlani,AA Amlani,434.3333333333333,Unknown
J Boy,J Boy,336.0,Unknown
E Bertini,E Bertini,336.0,Unknown
JD Fekete,JD Fekete,336.0,Unknown
IM Thornton,IM Thornton,273.3333333333333,Unknown
M Shiffrar,M Shiffrar,273.3333333333333,Unknown
V Aginsky,V Aginsky,316.1666666666667,Unknown
CL Harris,CL Harris,313.5,Unknown
JM Beusmans,JM Beusmans,385.5,Unknown
A Lleras,A Lleras,239.99999999999997,Unknown
J Harrison,J Harrison,221.33333333333331,Unknown
M van de Panne,M van de Panne,4933.666666666666,Unknown
F Yang,F Yang,341.1428571428571,Unknown
K MacLean,Karon E. MacLean,4030.538095238096,hci
T Munzner,Tamara Munzner,11486.909523809518,visualization
H Lam,H Lam,418.83333333333337,Unknown
S Fels,S Fels,1101.5809523809526,Unknown
L Chen,L Chen,1061.6666666666667,Unknown
H Hoos,Holger H. Hoos,9502.995238095238,ai
M Panne,Michiel van de Panne,479.99999999999994,graphics
PA Bernstein,PA Bernstein,1156.333333333333,Unknown
AY Halevy,AY Halevy,598.6666666666666,Unknown
RA Pottinger,RA Pottinger,1007.6666666666665,Unknown
R Pottinger,Rachel Pottinger,2440.0476190476193,Unknown
A Halevy,A Halevy,398.0,Unknown
A Levy,A Levy,351.7142857142857,Unknown
A Bonifati,A Bonifati,494.0166666666666,Unknown
LVS Lakshmanan,LVS Lakshmanan,30130.166666666664,Unknown
T Ho,T Ho,361.6,Unknown
MP Nepal,MP Nepal,376.5,Unknown
S Staub-French,S Staub-French,857.5333333333335,Unknown
J Zhang,J Zhang,252.79999999999998,Unknown
PA Zadeh,PA Zadeh,226.89999999999998,Unknown
HB Cavka,HB Cavka,234.66666666666663,Unknown
M Lawrence,M Lawrence,206.96666666666664,Unknown
M Tory,M Tory,1104.6000000000001,Unknown
D Huang,D Huang,262.7,Unknown
C Swindells,C Swindells,435.5,Unknown
R Babanezhad,R Babanezhad,499.8333333333333,Unknown
S Saroiu,S Saroiu,1969.9142857142858,Unknown
S Rajagopalan,S Rajagopalan,208.3333333333333,Unknown
F Tompa,F Tompa,204.2,Unknown
RT Ng,RT Ng,36702.55476190472,Unknown
G Carenini,Giuseppe Carenini,14224.042857142858,nlp
P Kruchten,P Kruchten,726.8333333333333,Unknown
Y Liu,Y Liu,361.5238095238095,Unknown
M Blum,M Blum,660.8,Unknown
W Evans,William S. Evans,3615.7523809523827,Unknown
P Gemmell,P Gemmell,660.8,Unknown
S Kannan,S Kannan,660.8,Unknown
M Naor,M Naor,660.8,Unknown
SK Debray,SK Debray,513.0,Unknown
R Muth,R Muth,576.0,Unknown
B De Sutter,B De Sutter,576.0,Unknown
C Kenyon,C Kenyon,408.0,Unknown
Y Peres,Y Peres,408.0,Unknown
LJ Schulman,LJ Schulman,650.0,Unknown
J Ernst,J Ernst,392.0,Unknown
CW Fraser,CW Fraser,659.0,Unknown
TA Proebsting,TA Proebsting,392.0,Unknown
S Lucco,S Lucco,392.0,Unknown
D Kirkpatrick,D Kirkpatrick,755.8333333333333,Unknown
G Townsend,G Townsend,325.3333333333333,Unknown
C Bettini,C Bettini,337.6,Unknown
CE Dyreson,CE Dyreson,508.6,Unknown
WS Evans,WS Evans,1466.7761904761903,Unknown
RT Snodgrass,RT Snodgrass,508.6,Unknown
XS Wang,XS Wang,337.6,Unknown
F Ma,F Ma,212.0,Unknown
P Bose,P Bose,555.3333333333335,Unknown
L Devroye,L Devroye,377.6666666666667,Unknown
S Debray,S Debray,203.0,Unknown
G Liotta,G Liotta,330.62857142857143,Unknown
J Snoeyink,J Snoeyink,580.0,Unknown
J Smith,J Smith,526.6666666666667,Unknown
D Archambault,D Archambault,801.3333333333334,Unknown
W Aiello,William Aiello,8065.733333333331,Unknown
F Chung,F Chung,2865.333333333333,Unknown
L Lu,L Lu,2865.333333333333,Unknown
G Goodell,G Goodell,563.3333333333334,Unknown
T Griffin,T Griffin,563.3333333333334,Unknown
J Ioannidis,J Ioannidis,1325.3333333333333,Unknown
PD McDaniel,PD McDaniel,563.3333333333334,Unknown
AD Rubin,AD Rubin,699.6,Unknown
SM Bellovin,SM Bellovin,556.9333333333333,Unknown
M Blaze,M Blaze,530.0000000000001,Unknown
R Canetti,R Canetti,530.0000000000001,Unknown
AD Keromytis,AD Keromytis,530.0000000000001,Unknown
S McLaughlin,S McLaughlin,390.6666666666667,Unknown
P McDaniel,P McDaniel,1449.0190476190483,Unknown
S Lodha,S Lodha,493.33333333333337,Unknown
R Ostrovsky,R Ostrovsky,775.3333333333334,Unknown
J Hastad,J Hastad,245.66666666666666,Unknown
P Colp,P Colp,584.5714285714287,Unknown
M Nanavati,M Nanavati,436.90476190476204,Unknown
J Zhu,J Zhu,344.5714285714286,Unknown
G Coker,G Coker,344.5714285714286,Unknown
T Deegan,T Deegan,344.5714285714286,Unknown
P Loscocco,P Loscocco,344.5714285714286,Unknown
WA Aiello,WA Aiello,1214.8333333333335,Unknown
CR Kalmanek Jr,CR Kalmanek Jr,336.00000000000006,Unknown
WJ Leighton III,WJ Leighton III,302.40000000000003,Unknown
S Sen,S Sen,881.4190476190475,Unknown
Y Mansour,Y Mansour,291.5,Unknown
S Rajagopolan,S Rajagopolan,243.0,Unknown
A Rosén,A Rosén,415.5,Unknown
D Williams-King,D Williams-King,240.0,Unknown
G Gobieski,G Gobieski,240.0,Unknown
K Williams-King,K Williams-King,240.0,Unknown
JP Blake,JP Blake,240.0,Unknown
X Yuan,X Yuan,240.0,Unknown
S Bellovin,S Bellovin,240.0,Unknown
E Crandall,E Crandall,240.0,Unknown
