Id,Label,Description,Area
G Liti,G Liti,2791.8095238095243,Unknown
DM Carter,DM Carter,2645.142857142857,Unknown
AM Moses,AM Moses,10152.91428571429,Unknown
J Warringer,J Warringer,3640.1428571428564,Unknown
L Parts,L Parts,3571.609523809523,Unknown
SA James,SA James,2645.142857142857,Unknown
RP Davey,RP Davey,2645.142857142857,Unknown
LA Pennacchio,LA Pennacchio,2092.2,Unknown
N Ahituv,N Ahituv,1987.2,Unknown
S Prabhakar,S Prabhakar,2124.4999999999995,Unknown
MA Nobrega,MA Nobrega,1987.2,Unknown
AN Nguyen Ba,AN Nguyen Ba,1586.4333333333345,Unknown
A Pogoutse,A Pogoutse,792.0,Unknown
N Provart,N Provart,792.0,Unknown
DA Pollard,DA Pollard,1527.6714285714284,Unknown
VN Iyer,VN Iyer,1527.6714285714284,Unknown
MB Eisen,MB Eisen,2587.138095238094,Unknown
J Ruan,J Ruan,600.25,Unknown
H Li,H Li,3805.1785714285706,Unknown
Z Chen,Z Chen,1507.3166666666662,Unknown
A Coghlan,A Coghlan,600.25,Unknown
LJM Coin,LJM Coin,600.25,Unknown
Y Guo,Y Guo,1054.983333333333,Unknown
JK Heriche,JK Heriche,600.25,Unknown
Y Hu,Y Hu,975.4801587301586,Unknown
A Haudry,A Haudry,553.3333333333334,Unknown
AE Platts,AE Platts,553.3333333333334,Unknown
E Vello,E Vello,553.3333333333334,Unknown
DR Hoen,DR Hoen,553.3333333333334,Unknown
M Leclercq,M Leclercq,553.3333333333334,Unknown
RJ Williamson,RJ Williamson,553.3333333333334,Unknown
E Zörgö,E Zörgö,553.3333333333334,Unknown
FA Cubillos,FA Cubillos,1141.6666666666665,Unknown
A Zia,A Zia,1097.3333333333335,Unknown
A Gjuvsland,A Gjuvsland,553.3333333333334,Unknown
JT Simpson,JT Simpson,1033.3333333333335,Unknown
DA Nix,DA Nix,500.5714285714286,Unknown
XY Li,XY Li,500.5714285714286,Unknown
MD Biggin,MD Biggin,500.5714285714286,Unknown
YT Chong,YT Chong,777.0428571428572,Unknown
JLY Koh,JLY Koh,833.1428571428571,Unknown
H Friesen,H Friesen,854.8761904761902,Unknown
SK Duffy,SK Duffy,498.8571428571428,Unknown
MJ Cox,MJ Cox,537.190476190476,Unknown
A Moses,Alan M. Moses,751.1428571428571,Unknown
J Moffat,J Moffat,1781.4761904761906,Unknown
A Bergström,A Bergström,626.6666666666667,Unknown
F Salinas,F Salinas,921.6666666666667,Unknown
B Barré,B Barré,480.0,Unknown
AP Gasch,AP Gasch,443.33333333333337,Unknown
DY Chiang,DY Chiang,1389.0666666666666,Unknown
HB Fraser,HB Fraser,663.3333333333334,Unknown
M Berardini,M Berardini,443.33333333333337,Unknown
K Jain,K Jain,441.66666666666663,Unknown
SJ Bumpstead,SJ Bumpstead,441.66666666666663,Unknown
M Kellis,M Kellis,428.8,Unknown
ES Lander,ES Lander,428.8,Unknown
EE Schadt,EE Schadt,219.99999999999997,Unknown
NE Davey,NE Davey,206.66666666666666,Unknown
MS Cyert,MS Cyert,206.66666666666666,Unknown
S Lumba,S Lumba,204.0,Unknown
S Toh,S Toh,204.0,Unknown
LF Handfield,LF Handfield,330.56666666666666,Unknown
M Swan,M Swan,204.0,Unknown
R Liu,R Liu,204.0,Unknown
JY Youn,JY Youn,1606.6190476190477,Unknown
SR Cutler,SR Cutler,204.0,Unknown
BJ Yeh,BJ Yeh,266.66666666666663,Unknown
BJ Andrews,BJ Andrews,1835.5333333333335,Unknown
R Durbin,R Durbin,263.16666666666663,Unknown
C Boone,C Boone,1754.3333333333328,Unknown
T Zarin,T Zarin,579.3333333333334,Unknown
B Strome,B Strome,338.4333333333334,Unknown
ANN Ba,ANN Ba,308.33333333333326,Unknown
JD Forman-Kay,JD Forman-Kay,297.46666666666664,Unknown
JT Westwood,JT Westwood,339.0952380952381,Unknown
AX Lu,AX Lu,304.8333333333333,Unknown
OZ Kraus,OZ Kraus,2215.5476190476184,Unknown
I Pritišanac,I Pritišanac,204.79999999999998,Unknown
W Wang,W Wang,2980.6619047619056,Unknown
S Khan,S Khan,3556.5761904761907,Unknown
J Parkinson,J Parkinson,237.85714285714283,Unknown
Y Wang,Y Wang,3089.6873015872975,Unknown
H Zhang,H Zhang,747.0777777777779,Unknown
M Ghassemi,M Ghassemi,930.7523809523809,Unknown
Y Li,Y Li,1845.8484126984129,Unknown
Z Zhang,Z Zhang,4162.149206349206,Unknown
Q Wang,Q Wang,1031.2904761904758,Unknown
R Zhang,R Zhang,569.4238095238095,Unknown
S Sinha,S Sinha,247.2142857142857,Unknown
L Li,L Li,517.7190476190475,Unknown
Z Yang,Z Yang,1039.105555555556,Unknown
PR Messinger,PR Messinger,1483.8571428571427,Unknown
E Stroulia,E Stroulia,1738.4904761904756,Unknown
K Lyons,Kelly A. Lyons,4099.049999999998,Unknown
M Bone,M Bone,1326.857142857143,Unknown
RH Niu,RH Niu,1022.4666666666668,Unknown
K Smirnov,K Smirnov,1378.0571428571425,Unknown
PP Maglio,PP Maglio,639.9999999999999,Unknown
CA Kieliszewski,CA Kieliszewski,639.9999999999999,Unknown
JC Spohrer,JC Spohrer,639.9999999999999,Unknown
L Patrício,L Patrício,639.9999999999999,Unknown
Y Sawatani,Y Sawatani,639.9999999999999,Unknown
J Hawkins,J Hawkins,644.9523809523811,Unknown
D Khusial,D Khusial,469.33333333333337,Unknown
M McAllister,M McAllister,470.26190476190476,Unknown
J Slonim,J Slonim,469.83333333333337,Unknown
M Smit,M Smit,463.83333333333337,Unknown
X Ge,X Ge,454.5333333333334,Unknown
D Barbosa,D Barbosa,355.5,Unknown
A Mendelzon,A Mendelzon,432.83333333333337,Unknown
J Keenleyside,J Keenleyside,355.5,Unknown
SG Akl,SG Akl,224.0,Unknown
KA Lyons,KA Lyons,521.0,Unknown
P Messinger,P Messinger,238.93333333333337,Unknown
D Rappaport,D Rappaport,204.66666666666666,Unknown
P Kolari,P Kolari,226.11904761904762,Unknown
T Finin,T Finin,857.7857142857141,Unknown
Y Yesha,Y Yesha,344.9761904761905,Unknown
HM Kim,HM Kim,932.1666666666667,Unknown
R Leung,R Leung,808.8000000000002,Unknown
SE Sim,SE Sim,813.1333333333336,Unknown
H Kim,H Kim,552.6666666666666,Unknown
M Cheng,M Cheng,215.33333333333334,Unknown
S Hassas Yeganeh,S Hassas Yeganeh,969.0,Unknown
L Lessard,L Lessard,214.83333333333334,Unknown
Y Liu,Y Liu,2439.7000000000025,Unknown
S Vembu,S Vembu,1162.9214285714288,Unknown
W Chen,W Chen,1317.4071428571428,Unknown
M Uschold,M Uschold,6749.333333333335,Unknown
M Gruninger,M Gruninger,15739.961904761887,Unknown
M Grüninger,Michael Grüninger,8082.000000000003,Unknown
MS Fox,MS Fox,24404.133333333342,Unknown
M Barbuceanu,M Barbuceanu,4602.466666666667,Unknown
C Menzel,C Menzel,336.3333333333334,Unknown
K Atefi,K Atefi,512.0,Unknown
J Lee,J Lee,2014.9857142857138,Unknown
Y Jin,Y Jin,487.69047619047603,Unknown
T Malone,T Malone,429.19047619047603,Unknown
A Tate,A Tate,430.69047619047603,Unknown
G Yost,G Yost,429.19047619047603,Unknown
PIF Working Group,PIF Working Group,330.8571428571428,Unknown
M Ciocoiu,M Ciocoiu,424.53333333333336,Unknown
DS Nau,DS Nau,245.33333333333334,Unknown
FG Fadel,FG Fadel,898.6666666666666,Unknown
S Battle,S Battle,923.2,Unknown
A Bernstein,A Bernstein,960.0000000000002,Unknown
H Boley,H Boley,923.2,Unknown
B Grosof,B Grosof,912.0,Unknown
R Hull,R Hull,1126.8666666666663,Unknown
M Kifer,M Kifer,912.0,Unknown
C Bock,C Bock,212.9047619047619,Unknown
AF Cutting-Decelle,AF Cutting-Decelle,228.0,Unknown
C Schlenoff,C Schlenoff,250.2,Unknown
S Ray,S Ray,687.7666666666665,Unknown
L Obrst,L Obrst,239.2666666666666,Unknown
T Hahmann,T Hahmann,358.3666666666667,Unknown
A Hashemi,A Hashemi,533.1380952380953,Unknown
J Cheng,J Cheng,480.1166666666666,Unknown
S McIlraith,Sheila A. McIlraith,11450.81428571428,ai
J Lin,J Lin,581.2309523809527,Unknown
M Katsumi,M Katsumi,220.33333333333337,Unknown
Y Peng,Y Peng,217.31190476190469,Unknown
Z Li,Z Li,3956.9619047619017,Unknown
T Schneider,T Schneider,551.5523809523806,Unknown
Z Yao,Z Yao,1639.3428571428562,Unknown
SA McIlraith,SA McIlraith,12989.199999999999,Unknown
JC Beck,JC Beck,7121.57619047619,Unknown
M Chignell,M Chignell,495.20000000000005,Unknown
B Smith,B Smith,827.7333333333332,Unknown
M Rezanejad,M Rezanejad,216.13333333333333,Unknown
S Sanner,Scott Sanner,8127.54761904762,ai
J Wilder,J Wilder,232.99999999999997,Unknown
S McRoy,S McRoy,252.8,Unknown
J Huang,J Huang,987.9126984126983,Unknown
J Crawford,J Crawford,261.6666666666667,Unknown
Y Chen,Y Chen,359.25238095238086,Unknown
D Chen,D Chen,752.9238095238096,Unknown
SF Smith,SF Smith,1441.6666666666665,Unknown
R Teigen,R Teigen,1217.3333333333333,Unknown
M Zweben,M Zweben,526.5,Unknown
M Fox,Mark S. Fox,1172.947619047618,Unknown
K Sycara,K Sycara,1890.2666666666667,Unknown
SF Roth,SF Roth,730.5,Unknown
N Sadeh,N Sadeh,1543.8333333333333,Unknown
PS Ow,PS Ow,422.6666666666667,Unknown
JF Chionglo,JF Chionglo,755.9999999999999,Unknown
T Bilgic,T Bilgic,431.33333333333337,Unknown
CT Kemper,CT Kemper,309.3333333333333,Unknown
S Lowenfeld,S Lowenfeld,469.3333333333333,Unknown
C Baykan,C Baykan,301.3333333333333,Unknown
A Sathi,A Sathi,414.0,Unknown
KP Sycara,KP Sycara,268.5,Unknown
M Greenberg,M Greenberg,225.33333333333334,Unknown
BP Allen,BP Allen,343.33333333333337,Unknown
G Strohm,G Strohm,206.83333333333334,Unknown
N Husain,N Husain,337.99999999999994,Unknown
M McRoberts,M McRoberts,287.33333333333337,Unknown
AJ Davenport,AJ Davenport,707.6666666666667,Unknown
EM Sitarski,EM Sitarski,342.0,Unknown
CA Baykan,CA Baykan,298.5,Unknown
YV Reddy,YV Reddy,226.16666666666669,Unknown
E Yu,E Yu,318.7809523809524,Unknown
Z Wang,Z Wang,2085.1333333333314,Unknown
J Zhang,J Zhang,1535.4523809523814,Unknown
S Diamond,S Diamond,449.4999999999999,Unknown
Y Gao,Y Gao,373.9619047619047,Unknown
D Silver,D Silver,25907.499999999996,Unknown
X Sun,X Sun,278.945238095238,Unknown
D Braziunas,D Braziunas,401.8,Unknown
F Bacchus,Fahiem Bacchus,11058.9,ai
JY Halpern,JY Halpern,1164.0,Unknown
HJ Levesque,HJ Levesque,315.99999999999994,Unknown
C Boutilier,C Boutilier,887.0,Unknown
G Hirst,Graeme Hirst,15752.661904761908,nlp
D Lin,D Lin,2247.1000000000004,Unknown
Q Yang,Q Yang,515.0,Unknown
B Nuseibeh,B Nuseibeh,4745.0,Unknown
S Easterbrook,Steve M. Easterbrook,17590.014285714267,Unknown
J Singer,J Singer,2473.5,Unknown
MA Storey,MA Storey,2473.5,Unknown
D Damian,D Damian,2490.166666666667,Unknown
S Nejati,S Nejati,3449.3999999999996,Unknown
M Sabetzadeh,M Sabetzadeh,3221.3333333333335,Unknown
M Chechik,Marsha Chechik,12543.238095238083,se
P Zave,P Zave,1345.6000000000004,Unknown
RC Holt,RC Holt,570.6666666666667,Unknown
B Devereux,B Devereux,1640.0666666666668,Unknown
A Gurfinkel,A Gurfinkel,2949.6999999999985,Unknown
A Russo,A Russo,652.0,Unknown
A Al-Rawas,A Al-Rawas,257.0,Unknown
M Sharples,M Sharples,743.3333333333331,Unknown
JS Goodlet,JS Goodlet,715.0,Unknown
EE Beck,EE Beck,715.0,Unknown
CC Wood,CC Wood,715.0,Unknown
SM Easterbrook,SM Easterbrook,1781.3666666666668,Unknown
L Plowman,L Plowman,743.3333333333333,Unknown
R Lutz,R Lutz,400.0,Unknown
R Covington,R Covington,400.0,Unknown
J Kelly,Jonathan Kelly,3162.6999999999975,robotics
Y Ampo,Y Ampo,400.0,Unknown
D Hamilton,D Hamilton,400.0,Unknown
C Becker,C Becker,790.8666666666667,Unknown
R Chitchyan,R Chitchyan,834.0666666666667,Unknown
L Duboc,L Duboc,889.7333333333335,Unknown
B Penzenstadler,B Penzenstadler,505.5333333333334,Unknown
N Seyff,N Seyff,421.6666666666667,Unknown
G Brunet,G Brunet,1088.3666666666663,Unknown
N Niu,N Niu,1151.5333333333333,Unknown
S Betz,S Betz,425.7333333333333,Unknown
A Finkelstein,A Finkelstein,295.0,Unknown
J Kramer,J Kramer,285.0,Unknown
J Callahan,J Callahan,393.0,Unknown
F Schneider,F Schneider,386.33333333333337,Unknown
DE Perry,DE Perry,242.66666666666669,Unknown
J Aranda,J Aranda,855.4476190476191,Unknown
G Wilson,G Wilson,210.6666666666667,Unknown
S Liaskos,S Liaskos,1060.833333333333,Unknown
WQ Liu,WQ Liu,200.33333333333331,Unknown
J Mylopoulos,J Mylopoulos,1004.8666666666667,Unknown
V Petrovykh,V Petrovykh,482.5333333333333,Unknown
Y Fan,Y Fan,247.2142857142857,Unknown
J Horkoff,J Horkoff,775.9476190476188,Unknown
J Cabot,J Cabot,223.33333333333331,Unknown
Y Yu,Y Yu,466.30000000000007,Unknown
R Salay,R Salay,1804.866666666666,Unknown
Z Diskin,Z Diskin,283.3333333333334,Unknown
P McCormick,P McCormick,221.46666666666664,Unknown
W Yu,W Yu,1378.0111111111114,Unknown
Y Lu,Y Lu,583.690476190476,Unknown
S Fidler,Sanja Fidler,37474.63571428574,vision
J Rubin,J Rubin,1819.3380952380944,Unknown
J Chen,J Chen,2306.6730158730147,Unknown
J Luo,J Luo,1287.0246031746033,Unknown
A Garg,Animesh Garg,5974.238095238088,robotics
J Williams,Joseph Jay Williams,1281.0761904761894,hci
A Khan,A Khan,2096.266666666666,Unknown
J Matejka,J Matejka,2560.4000000000005,Unknown
S Uchitel,S Uchitel,896.1666666666664,Unknown
A Bhangu,A Bhangu,456.0,Unknown
AO Ademuyiwa,AO Ademuyiwa,456.0,Unknown
ML Aguilera,ML Aguilera,456.0,Unknown
P Alexander,P Alexander,456.0,Unknown
SW Al-Saqqa,SW Al-Saqqa,456.0,Unknown
GlobalSurg Collaborative,GlobalSurg Collaborative,406.4,Unknown
JEF Fitzgerald,JEF Fitzgerald,406.4,Unknown
C Khatri,C Khatri,406.4,Unknown
JC Glasbey,JC Glasbey,406.4,Unknown
M Mohan,M Mohan,406.4,Unknown
AT Mohammed,AT Mohammed,221.8,Unknown
AM Ahmed,AM Ahmed,213.1333333333333,Unknown
T Turk,T Turk,212.73333333333335,Unknown
B Schroeder,Bianca Schroeder,9763.3,Unknown
GA Gibson,GA Gibson,3376.0,Unknown
E Pinheiro,E Pinheiro,1287.9999999999998,Unknown
WD Weber,WD Weber,1287.9999999999998,Unknown
M Harchol-Balter,M Harchol-Balter,2155.8666666666663,Unknown
N Bansal,N Bansal,1913.8999999999996,Unknown
M Agrawal,M Agrawal,655.5,Unknown
LN Bairavasundaram,LN Bairavasundaram,518.6666666666666,Unknown
AC Arpaci-Dusseau,AC Arpaci-Dusseau,518.6666666666666,Unknown
RH Arpaci-Dusseau,RH Arpaci-Dusseau,518.6666666666666,Unknown
AA Hwang,AA Hwang,905.5999999999999,Unknown
IA Stefanovici,IA Stefanovici,904.0,Unknown
A Wierman,A Wierman,667.1999999999997,Unknown
N El-Sayed,N El-Sayed,714.5999999999999,Unknown
G Amvrosiadis,G Amvrosiadis,631.7333333333333,Unknown
R Lagisetty,R Lagisetty,397.3333333333333,Unknown
A Merchant,A Merchant,397.3333333333333,Unknown
S Damouras,S Damouras,269.3333333333333,Unknown
P Gill,P Gill,675.7333333333333,Unknown
A Nucci,A Nucci,417.59999999999997,Unknown
S Bhattacharyya,S Bhattacharyya,976.2666666666667,Unknown
N Taft,N Taft,446.59999999999997,Unknown
C Diot,C Diot,1322.1111111111113,Unknown
A Iyengar,A Iyengar,379.03333333333336,Unknown
E Nahum,E Nahum,361.7,Unknown
DT McWherter,DT McWherter,252.0,Unknown
A Ailamaki,A Ailamaki,1532.2999999999997,Unknown
H Zhu,H Zhu,736.1333333333334,Unknown
M Akrout,M Akrout,540.0,Unknown
B Zheng,B Zheng,677.4000000000001,Unknown
A Pelegris,A Pelegris,540.0,Unknown
A Jayarajan,A Jayarajan,632.0999999999998,Unknown
A Phanishayee,A Phanishayee,779.7333333333333,Unknown
G Gibson,G Gibson,284.26666666666665,Unknown
I Stefanovici,I Stefanovici,302.26666666666665,Unknown
M Gabel,M Gabel,277.66666666666663,Unknown
R Azimi,R Azimi,1610.7000000000003,Unknown
G Pekhimenko,Gennady Pekhimenko,6280.285714285711,arch
L Bairavasundaram,L Bairavasundaram,487.9,Unknown
D Xu,D Xu,1594.952380952381,Unknown
A Goel,Ashvin Goel,9256.465873015868,arch
AD Brown,AD Brown,2500.033333333333,Unknown
D Warde-Farley,D Warde-Farley,13536.190476190473,Unknown
SL Donaldson,SL Donaldson,14976.666666666662,Unknown
O Comes,O Comes,10583.333333333332,Unknown
K Zuberi,K Zuberi,17096.68571428571,Unknown
R Badrawi,R Badrawi,10583.333333333332,Unknown
P Chao,P Chao,10583.333333333332,Unknown
M Costanzo,M Costanzo,12938.752380952385,Unknown
A Baryshnikova,A Baryshnikova,12685.085714285717,Unknown
J Bellay,J Bellay,12022.0,Unknown
Y Kim,Y Kim,14067.142857142857,Unknown
ED Spear,ED Spear,11770.0,Unknown
CS Sevier,CS Sevier,11770.0,Unknown
D Ray,D Ray,8295.209523809519,Unknown
H Kazan,H Kazan,6857.5666666666675,Unknown
KB Cook,KB Cook,5407.085714285717,Unknown
MT Weirauch,MT Weirauch,8316.166666666668,Unknown
HS Najafabadi,HS Najafabadi,4725.000000000002,Unknown
X Li,X Li,9217.18333333333,Unknown
HY Xiong,HY Xiong,6753.766666666666,Unknown
B Alipanahi,B Alipanahi,10242.342857142852,Unknown
LJ Lee,LJ Lee,13146.442857142858,Unknown
H Bretschneider,H Bretschneider,4014.1333333333337,Unknown
D Merico,D Merico,14138.7,Unknown
RKC Yuen,RKC Yuen,4269.866666666668,Unknown
G Badis,G Badis,2832.0000000000005,Unknown
MF Berger,MF Berger,2832.0000000000005,Unknown
AA Philippakis,AA Philippakis,3524.033333333334,Unknown
S Talukder,S Talukder,3617.0000000000005,Unknown
AR Gehrke,AR Gehrke,2832.0000000000005,Unknown
SA Jaeger,SA Jaeger,1738.3333333333335,Unknown
S Mostafavi,S Mostafavi,1887.533333333333,Unknown
C Grouios,C Grouios,1575.4285714285718,Unknown
Q Morris,Quaid Morris,15040.738095238094,ml
IW Taylor,IW Taylor,1410.857142857143,Unknown
R Linding,R Linding,1589.1904761904766,Unknown
C Pesquita,C Pesquita,1410.857142857143,Unknown
D Faria,D Faria,1410.857142857143,Unknown
S Bull,S Bull,1410.857142857143,Unknown
CT Lopes,CT Lopes,4723.333333333333,Unknown
M Franz,M Franz,6494.190476190476,Unknown
F Kazi,F Kazi,4393.333333333333,Unknown
GD Bader,GD Bader,49074.08333333335,Unknown
S Mnaimneh,S Mnaimneh,2779.999999999999,Unknown
AP Davierwala,AP Davierwala,1128.3333333333333,Unknown
J Haynes,J Haynes,1343.3333333333333,Unknown
WT Peng,WT Peng,2118.3333333333335,Unknown
W Zhang,W Zhang,4970.485714285716,Unknown
