Source,Target,Type,Id,Label
H Buhrman,R Cleve,Undirected,1,2680.7999999999997
H Buhrman,J Watrous,Undirected,2,1014.0
H Buhrman,R de Wolf,Undirected,3,511.70000000000005
H Buhrman,J Tromp,Undirected,4,31.0
H Buhrman,M Mosca,Undirected,5,342.80000000000007
H Buhrman,R De Wolf,Undirected,6,1183.1
H Buhrman,R Beals,Undirected,7,342.80000000000007
H Buhrman,S Massar,Undirected,8,258.5
H Buhrman,A Wigderson,Undirected,9,306.6666666666667
H Buhrman,W Van Dam,Undirected,10,132.0
H Buhrman,C Zalka,Undirected,11,79.5
H Buhrman,F Unger,Undirected,12,23.333333333333332
H Buhrman,M Li,Undirected,23,49.5
H Buhrman,T Jiang,Undirected,24,16.5
H Buhrman,P Vitányi,Undirected,25,47.5
R Cleve,J Watrous,Undirected,27,2015.3333333333335
R Cleve,R de Wolf,Undirected,28,511.70000000000005
R Cleve,P Hoyer,Undirected,29,430.0
R Cleve,B Toner,Undirected,30,430.0
R Cleve,R Jain,Undirected,31,19.333333333333332
R Cleve,S Upadhyay,Undirected,32,65.5
R Cleve,A Childs,Undirected,37,0.4
R Cleve,D Berry,Undirected,38,0.4
R Cleve,A Barenco,Undirected,39,1590.6666666666667
R Cleve,CH Bennett,Undirected,40,1590.6666666666667
R Cleve,DP DiVincenzo,Undirected,41,1662.6666666666667
R Cleve,N Margolus,Undirected,42,1590.6666666666667
R Cleve,P Shor,Undirected,43,1590.6666666666667
R Cleve,D Gottesman,Undirected,44,1092.3333333333335
R Cleve,HK Lo,Undirected,45,943.3333333333333
R Cleve,A Ekert,Undirected,46,696.5999999999999
R Cleve,C Macchiavello,Undirected,47,696.5999999999999
R Cleve,M Mosca,Undirected,48,1053.3999999999996
R Cleve,R De Wolf,Undirected,49,1183.1
R Cleve,AM Childs,Undirected,50,631.7666666666667
R Cleve,E Deotto,Undirected,51,307.6666666666667
R Cleve,E Farhi,Undirected,52,307.6666666666667
R Cleve,S Gutmann,Undirected,53,307.6666666666667
R Cleve,DA Spielman,Undirected,54,307.6666666666667
R Cleve,R Beals,Undirected,55,342.80000000000007
R Cleve,DW Berry,Undirected,56,631.6
R Cleve,G Ahokas,Undirected,57,320.0
R Cleve,BC Sanders,Undirected,58,318.33333333333337
R Cleve,C Dankert,Undirected,59,281.0
R Cleve,J Emerson,Undirected,60,281.0
R Cleve,E Livine,Undirected,61,281.0
R Cleve,S Massar,Undirected,62,304.0
R Cleve,R Kothari,Undirected,63,288.0
R Cleve,RD Somma,Undirected,64,314.9333333333334
R Cleve,A Wigderson,Undirected,65,306.6666666666667
R Cleve,G Brassard,Undirected,66,194.66666666666666
R Cleve,A Tapp,Undirected,67,297.16666666666663
R Cleve,LMK Vandersypen,Undirected,68,84.0
R Cleve,M Steffen,Undirected,69,84.0
R Cleve,G Breyta,Undirected,70,84.0
R Cleve,CS Yannoni,Undirected,71,84.0
R Cleve,IL Chuang,Undirected,72,84.0
R Cleve,NH Bshouty,Undirected,73,199.16666666666669
R Cleve,S Kannan,Undirected,74,117.5
R Cleve,C Tamon,Undirected,75,117.5
R Cleve,W Van Dam,Undirected,76,141.0
R Cleve,W Dam,Undirected,77,93.5
R Cleve,M Nielsen,Undirected,78,102.5
R Cleve,C Zalka,Undirected,79,79.5
R Cleve,W Slofstra,Undirected,81,101.5
R Cleve,F Unger,Undirected,82,88.83333333333334
R Cleve,L Liu,Undirected,92,83.33333333333334
R Cleve,C Wang,Undirected,93,52.5
R Cleve,M Luby,Undirected,113,13.0
J Watrous,R de Wolf,Undirected,124,506.5
J Watrous,A Ambainis,Undirected,125,730.6
J Watrous,E Bach,Undirected,126,573.2
J Watrous,A Nayak,Undirected,127,513.6
J Watrous,A Vishwanath,Undirected,128,513.6
J Watrous,A Kondacs,Undirected,129,504.0
J Watrous,P Hoyer,Undirected,130,430.0
J Watrous,B Toner,Undirected,131,462.0
J Watrous,M Piani,Undirected,132,527.3333333333333
J Watrous,C Marriott,Undirected,133,242.0
J Watrous,A Kitaev,Undirected,134,211.0
J Watrous,G Gutoski,Undirected,135,244.0
J Watrous,R Jain,Undirected,136,174.33333333333334
J Watrous,Z Ji,Undirected,137,113.0
J Watrous,S Upadhyay,Undirected,138,135.33333333333334
J Watrous,S Coppersmith,Undirected,139,59.6
J Watrous,MP Goldschen,Undirected,140,59.6
J Watrous,R Joynt,Undirected,141,59.6
J Watrous,S Aaronson,Undirected,142,127.0
J Watrous,R De Wolf,Undirected,183,507.5
R de Wolf,M Mosca,Undirected,184,5.2
R de Wolf,R Beals,Undirected,185,5.2
A Ambainis,E Bach,Undirected,186,513.6
A Ambainis,A Nayak,Undirected,187,723.6
A Ambainis,A Vishwanath,Undirected,188,513.6
A Ambainis,A Ta-Shma,Undirected,189,210.0
A Ambainis,U Vazirani,Undirected,190,210.0
E Bach,A Nayak,Undirected,191,513.6
E Bach,A Vishwanath,Undirected,192,513.6
E Bach,S Coppersmith,Undirected,193,59.6
E Bach,MP Goldschen,Undirected,194,59.6
E Bach,R Joynt,Undirected,195,59.6
A Nayak,A Vishwanath,Undirected,196,747.6
A Nayak,R Jain,Undirected,197,151.4
A Nayak,S Aaronson,Undirected,198,23.2
A Nayak,Y Su,Undirected,201,2.666666666666667
A Nayak,X Chen,Undirected,202,23.2
A Nayak,P Shor,Undirected,203,63.0
A Nayak,M Mosca,Undirected,204,34.666666666666664
A Nayak,G Brassard,Undirected,205,10.0
A Nayak,A Tapp,Undirected,206,10.0
A Nayak,C Zalka,Undirected,207,54.8
A Nayak,F Unger,Undirected,208,10.0
A Nayak,R Boutaba,Undirected,209,85.66666666666667
A Nayak,H Saleet,Undirected,210,85.66666666666667
A Nayak,R Langar,Undirected,211,85.66666666666667
A Nayak,K Naik,Undirected,212,83.33333333333333
A Nayak,N Goel,Undirected,213,85.33333333333333
A Nayak,F Magniez,Undirected,218,467.33333333333337
A Nayak,J Roland,Undirected,219,191.0
A Nayak,M Santha,Undirected,220,312.0
A Nayak,A Ta-Shma,Undirected,221,275.83333333333326
A Nayak,U Vazirani,Undirected,222,210.0
A Nayak,J Baugh,Undirected,223,56.0
A Nayak,O Moussa,Undirected,224,56.0
A Nayak,CA Ryan,Undirected,225,56.0
A Nayak,R Laflamme,Undirected,226,56.0
A Nayak,T Brun,Undirected,227,54.8
A Nayak,H Klauck,Undirected,228,150.63333333333333
A Nayak,M Rotteler,Undirected,229,54.8
A Nayak,PC Richter,Undirected,230,96.0
A Nayak,G Tardos,Undirected,242,10.0
P Hoyer,B Toner,Undirected,256,430.0
G Gutoski,D Stebila,Undirected,260,119.66666666666666
R Jain,Z Ji,Undirected,261,90.0
R Jain,S Upadhyay,Undirected,262,135.33333333333334
R Jain,Y Su,Undirected,263,2.666666666666667
R Jain,R Boutaba,Undirected,265,1.7142857142857142
R Jain,H Klauck,Undirected,271,33.333333333333336
R Jain,M Li,Undirected,275,34.666666666666664
Z Ji,S Upadhyay,Undirected,277,90.0
Z Ji,O Veksler,Undirected,280,1.0
S Upadhyay,W Slofstra,Undirected,281,65.5
S Upadhyay,F Unger,Undirected,282,65.5
S Coppersmith,MP Goldschen,Undirected,283,59.6
S Coppersmith,R Joynt,Undirected,284,59.6
MP Goldschen,R Joynt,Undirected,285,59.6
S Aaronson,X Chen,Undirected,286,23.2
S Ghosh,J Hoey,Undirected,361,63.666666666666664
S Ghosh,J Joshi,Undirected,362,63.666666666666664
