Id,Label,Description,Area
H Buhrman,H Buhrman,7181.699999999999,Unknown
R Cleve,Richard Cleve,28504.833333333318,theory
J Watrous,John Watrous,10615.323809523808,quantum
R de Wolf,R de Wolf,1540.3000000000002,Unknown
A Ambainis,A Ambainis,2901.4,Unknown
E Bach,E Bach,2292.7999999999997,Unknown
A Nayak,Ashwin Nayak,6095.166666666665,theory
A Vishwanath,A Vishwanath,2288.4,Unknown
A Kondacs,A Kondacs,504.0,Unknown
P Hoyer,P Hoyer,1290.0,Unknown
B Toner,B Toner,1354.0,Unknown
M Piani,M Piani,542.6666666666666,Unknown
C Marriott,C Marriott,242.0,Unknown
A Kitaev,A Kitaev,211.0,Unknown
G Gutoski,G Gutoski,416.33333333333337,Unknown
R Jain,R Jain,706.5523809523806,Unknown
Z Ji,Z Ji,340.0,Unknown
S Upadhyay,S Upadhyay,557.1666666666667,Unknown
S Coppersmith,S Coppersmith,238.4,Unknown
MP Goldschen,MP Goldschen,238.4,Unknown
R Joynt,R Joynt,238.4,Unknown
S Aaronson,S Aaronson,219.79999999999995,Unknown
S Ghosh,S Ghosh,318.3333333333333,Unknown
Y Su,Y Su,330.46190476190475,Unknown
MA Storey,MA Storey,292.2999999999999,Unknown
C Best,C Best,280.63333333333327,Unknown
D Rayside,Derek Rayside,2337.176190476191,se
M Litoiu,M Litoiu,358.9666666666666,Unknown
R Olaechea,R Olaechea,477.42857142857133,Unknown
J Guo,J Guo,1354.285714285714,Unknown
K Czarnecki,K Czarnecki,3264.945238095237,Unknown
T Lutellier,T Lutellier,328.04761904761904,Unknown
D Chollak,D Chollak,238.33333333333334,Unknown
J Garcia,J Garcia,238.33333333333334,Unknown
L Tan,L Tan,2891.3666666666672,Unknown
D Jackson,D Jackson,680.3095238095235,Unknown
E Zulkoski,E Zulkoski,379.62857142857143,Unknown
S Apel,S Apel,239.12857142857146,Unknown
JM Atlee,JM Atlee,6909.942857142857,Unknown
A Ibrahim,A Ibrahim,1160.9523809523812,Unknown
P Lam,Patrick Lam,6999.333333333333,se
F Qian,F Qian,607.6,Unknown
P Shaker,P Shaker,281.33333333333337,Unknown
J Li,J Li,2161.6904761904766,Unknown
M Berzish,M Berzish,346.3619047619048,Unknown
A Khan,A Khan,901.7047619047617,Unknown
V Ganesh,Vijay Ganesh,10587.045238095236,ai
NA Day,NA Day,1281.6142857142856,Unknown
L Guerrouj,L Guerrouj,225.6,Unknown
S Fischmeister,S Fischmeister,282.26666666666665,Unknown
C O’Shaughnessy,C O’Shaughnessy,247.99999999999997,Unknown
P Bose,P Bose,859.6428571428571,Unknown
JF Buss,JF Buss,324.0,Unknown
A Lubiw,Anna Lubiw,4423.928571428567,theory
M Dror,M Dror,270.0,Unknown
A Efrat,A Efrat,672.3333333333334,Unknown
JSB Mitchell,JSB Mitchell,270.0,Unknown
P Brass,P Brass,280.6666666666667,Unknown
E Cenek,E Cenek,271.6666666666667,Unknown
CA Duncan,CA Duncan,271.6666666666667,Unknown
C Erten,C Erten,271.6666666666667,Unknown
DP Ismailescu,DP Ismailescu,271.6666666666667,Unknown
ED Demaine,ED Demaine,756.6142857142859,Unknown
T Biedl,T Biedl,675.5761904761902,Unknown
E Demaine,E Demaine,485.5333333333333,Unknown
M Demaine,M Demaine,485.5333333333333,Unknown
S Lazard,S Lazard,276.6666666666667,Unknown
J O'Rourke,J O'Rourke,443.2238095238096,Unknown
M Overmars,M Overmars,261.66666666666663,Unknown
ML Demaine,ML Demaine,539.304761904762,Unknown
H Meijer,H Meijer,241.94285714285712,Unknown
G Liotta,G Liotta,203.43333333333328,Unknown
S Alamdari,S Alamdari,231.05714285714285,Unknown
TM Chan,TM Chan,487.87142857142857,Unknown
E Grant,E Grant,397.39047619047625,Unknown
S Keshav,S Keshav,780.4238095238095,Unknown
J Sun,J Sun,256.28888888888883,Unknown
HF Hoffmann,HF Hoffmann,206.5,Unknown
K Jain,K Jain,494.02857142857124,Unknown
M Hasan,M Hasan,616.5,Unknown
L Li,L Li,320.5380952380952,Unknown
D Jao,David Jao,4336.461904761906,Unknown
LD Feo,LD Feo,860.6666666666669,Unknown
L De Feo,L De Feo,815.3333333333335,Unknown
J Plût,J Plût,598.6666666666666,Unknown
A Childs,A Childs,430.9333333333333,Unknown
V Soukharev,V Soukharev,871.6999999999999,Unknown
R Azarderakhsh,R Azarderakhsh,1673.795238095238,Unknown
M Campagna,M Campagna,529.1714285714286,Unknown
C Costello,C Costello,2011.2380952380952,Unknown
B Hess,B Hess,466.90476190476187,Unknown
A Jalali,A Jalali,753.0380952380954,Unknown
P Longa,P Longa,351.4428571428571,Unknown
M Naehrig,M Naehrig,1624.9999999999998,Unknown
J Renes,J Renes,225.0,Unknown
D Urbanik,D Urbanik,261.0,Unknown
Y Yoo,Y Yoo,211.2,Unknown
B Koziel,B Koziel,590.6,Unknown
MM Kermani,MM Kermani,320.2,Unknown
C Leonardi,C Leonardi,241.8142857142857,Unknown
R Venkatesan,R Venkatesan,257.6666666666667,Unknown
