Id,Label,Description,Area
A Kondacs,A Kondacs,504.0,Unknown
J Watrous,John Watrous,504.0,quantum
P Bose,P Bose,324.0,Unknown
JF Buss,JF Buss,324.0,Unknown
A Lubiw,Anna Lubiw,1537.4190476190483,theory
M Overmars,M Overmars,261.66666666666663,Unknown
ED Demaine,ED Demaine,228.79999999999995,Unknown
ML Demaine,ML Demaine,228.79999999999995,Unknown
M Vilain,M Vilain,766.6666666666666,Unknown
H Kautz,H Kautz,766.6666666666666,Unknown
P Van Beek,P Van Beek,1074.1666666666665,Unknown
P van Beek,P van Beek,1725.6666666666667,Unknown
G Kondrak,G Kondrak,292.0,Unknown
R Cohen,Robin Cohen,3007.9428571428543,ai
X Chen,X Chen,735.6666666666666,Unknown
F Bacchus,F Bacchus,235.0,Unknown
R Dechter,R Dechter,416.0,Unknown
RC Holt,RC Holt,393.33333333333337,Unknown
A Barenco,A Barenco,7953.333333333334,Unknown
CH Bennett,CH Bennett,9223.733333333335,Unknown
R Cleve,Richard Cleve,14927.7,theory
DP DiVincenzo,DP DiVincenzo,8025.333333333334,Unknown
N Margolus,N Margolus,7953.333333333334,Unknown
P Shor,P Shor,7953.333333333334,Unknown
D Gottesman,D Gottesman,2016.6666666666667,Unknown
HK Lo,HK Lo,1886.6666666666665,Unknown
A Ekert,A Ekert,2115.3999999999996,Unknown
C Macchiavello,C Macchiavello,2115.3999999999996,Unknown
M Mosca,M Mosca,2128.1999999999994,Unknown
H Buhrman,H Buhrman,1480.1333333333337,Unknown
A Wigderson,A Wigderson,1515.7333333333331,Unknown
G Brassard,G Brassard,389.3333333333333,Unknown
A Tapp,A Tapp,669.8333333333333,Unknown
NH Bshouty,NH Bshouty,483.5,Unknown
S Kannan,S Kannan,451.70000000000005,Unknown
C Tamon,C Tamon,352.5,Unknown
W Dam,W Dam,280.5,Unknown
M Nielsen,M Nielsen,280.5,Unknown
R De Wolf,R De Wolf,238.5,Unknown
C Zalka,C Zalka,238.5,Unknown
M Luby,M Luby,491.5,Unknown
N Alon,N Alon,823.9285714285714,Unknown
P Dini,P Dini,244.00000000000006,Unknown
R Boutaba,Raouf Boutaba,628.7333333333332,networks
A Nayak,Ashwin Nayak,462.5,theory
A Ambainis,A Ambainis,244.5,Unknown
A Ta-Shma,A Ta-Shma,244.5,Unknown
U Vazirani,U Vazirani,269.5,Unknown
M Li,Ming Li,28273.36666666667,comp. bio
B Ma,Bin Ma,700.0,nlp
L Wang,L Wang,602.6428571428573,Unknown
L Zhang,L Zhang,637.3095238095236,Unknown
A Brunner,A Brunner,306.6666666666667,Unknown
K Mäder,K Mäder,2105.0666666666666,Unknown
A Göpferich,A Göpferich,306.6666666666667,Unknown
B Gallez,B Gallez,274.5,Unknown
KJ Liu,KJ Liu,292.5,Unknown
HM Swartz,HM Swartz,825.4000000000001,Unknown
